image_id,building,condition,information,k_classes,pool,pool_workers,n_pool,n_all,unknown_workers,stable_fraction,unified_fraction,multiple_fraction,undetermined_fraction,supported_modes,topology_disagreement,same_point_dispersion,class_a_unified,class_b_unified,class_a_n,class_b_n,both_classes_unified80,class_a_stable,class_b_stable,class_a_undetermined,class_b_undetermined,both_stable80,process_transition
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,24,24,0,1,1,0,0,1,0,0.022511757592,1,1,6,18,True,1,1,0,0,True,both_unified_to_unified
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,T,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,23,24,1,1,1,0,0,1,0,0.0225323512909,1,1,12,11,True,1,1,0,0,True,both_unified_to_unified
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,QTSB,4,B+C,W001;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W028;W032;W033;W036,15,24,1,1,1,0,0,1,0,0.0217976270825,1,1,8,7,True,1,1,0,0,True,both_unified_to_unified
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,QTSB,4,B+D,W008;W015;W017;W018;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,14,24,1,1,1,0,0,1,0,0.0222496743786,1,1,8,6,True,1,1,0,0,True,both_unified_to_unified
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,QTSB,4,C+D,W001;W006;W010;W011;W012;W013;W021;W029;W030;W031;W034;W035;W037,13,24,1,1,1,0,0,1,0,0.0297248216606,1,1,7,6,True,1,1,0,0,True,both_unified_to_unified
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,quality_time_edit,3,A+C,W001;W002;W008;W010;W012;W013;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,20,24,1,1,1,0,0,1,0,0.0228980422612,1,1,5,15,True,1,1,0,0,True,both_unified_to_unified
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,Q,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,24,24,0,0,0,0,1,2,0.235507246377,0.0495689986325,1,0,6,18,False,1,0,0,1,False,union_undetermined
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,T,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,23,24,1,0,0,0,1,2,0.245059288538,0.0499903805456,0,0,12,11,False,0,0,1,1,False,union_undetermined
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,QTSB,4,B+C,W001;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W028;W032;W033;W036,15,24,1,0,0,0,1,2,0.361904761905,0.0144547055008,0,0,8,7,False,0,0,1,1,False,union_undetermined
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,QTSB,4,B+D,W008;W015;W017;W018;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,14,24,1,0,0,0,1,2,0.263736263736,0.133526332487,0,0,8,6,False,0,0,1,1,False,union_undetermined
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,QTSB,4,C+D,W001;W006;W010;W011;W012;W013;W021;W029;W030;W031;W034;W035;W037,13,24,1,0,0,0,1,1,0.153846153846,0.0690457546832,0,0,7,6,False,0,0,1,1,False,union_undetermined
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,semi,quality_time_edit,3,A+C,W001;W002;W008;W010;W012;W013;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,20,24,1,0,0,0,1,2,0.189473684211,0.0659253425163,1,0,5,15,False,1,0,0,1,False,union_undetermined
