image_id,condition,information,k_classes,cluster,point_count,people,total_people,workers,canonical_ids,class_membership,all_from_one_known_class,semantic_legitimacy
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,Q,2,1,6,2,24,W028;W032,843ee33e6df34cd4;b8541e4707e39e94,"{""B"": 2}",True,requires_local_image_review
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,T,2,1,6,2,24,W028;W032,843ee33e6df34cd4;b8541e4707e39e94,"{""B"": 2}",True,requires_local_image_review
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,B,2,1,6,2,24,W028;W032,843ee33e6df34cd4;b8541e4707e39e94,"{""B"": 2}",True,requires_local_image_review
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,QTSB,4,1,6,2,24,W028;W032,843ee33e6df34cd4;b8541e4707e39e94,"{""B"": 2}",True,requires_local_image_review
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,quality_time_edit,3,1,6,2,24,W028;W032,843ee33e6df34cd4;b8541e4707e39e94,"{""C"": 2}",True,requires_local_image_review
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,Q,2,1,8,2,24,W028;W031,cd3a2f4a0e0ad07e;55e7158552d3913a,"{""B"": 2}",True,requires_local_image_review
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,Q,2,2,8,2,24,W029;W030,2d656d0b379aca23;272f8ef889915150,"{""B"": 2}",True,requires_local_image_review
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,Q,2,3,8,2,24,W001;W012,8ded0001dfe26e8d;e7ac757b87291eaa,"{""B"": 2}",True,requires_local_image_review
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,Q,2,7,12,3,24,W011;W021;W036,6c4eb5c014ae5538;726df974bcd4c84b;43fca0253b1b4fff,"{""B"": 2, ""A"": 1}",False,requires_local_image_review
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,T,2,1,8,2,24,W028;W031,cd3a2f4a0e0ad07e;55e7158552d3913a,"{""B"": 2}",True,requires_local_image_review
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,T,2,2,8,2,24,W029;W030,2d656d0b379aca23;272f8ef889915150,"{""B"": 1, ""A"": 1}",False,requires_local_image_review
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,T,2,3,8,2,24,W001;W012,8ded0001dfe26e8d;e7ac757b87291eaa,"{""A"": 2}",True,requires_local_image_review
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,T,2,7,12,3,24,W011;W021;W036,6c4eb5c014ae5538;726df974bcd4c84b;43fca0253b1b4fff,"{""B"": 2, ""A"": 1}",False,requires_local_image_review
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,B,2,1,8,2,24,W028;W031,cd3a2f4a0e0ad07e;55e7158552d3913a,"{""A"": 1, ""B"": 1}",False,requires_local_image_review
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,B,2,2,8,2,24,W029;W030,2d656d0b379aca23;272f8ef889915150,"{""B"": 2}",True,requires_local_image_review
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,B,2,3,8,2,24,W001;W012,8ded0001dfe26e8d;e7ac757b87291eaa,"{""B"": 2}",True,requires_local_image_review
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,B,2,7,12,3,24,W011;W021;W036,6c4eb5c014ae5538;726df974bcd4c84b;43fca0253b1b4fff,"{""A"": 3}",True,requires_local_image_review
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,QTSB,4,1,8,2,24,W028;W031,cd3a2f4a0e0ad07e;55e7158552d3913a,"{""C"": 1, ""D"": 1}",False,requires_local_image_review
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,QTSB,4,2,8,2,24,W029;W030,2d656d0b379aca23;272f8ef889915150,"{""D"": 2}",True,requires_local_image_review
