image_id,building,condition,information,k_classes,pool,pool_workers,n_pool,n_all,unknown_workers,stable_fraction,unified_fraction,multiple_fraction,undetermined_fraction,supported_modes,topology_disagreement,same_point_dispersion,class_a_unified,class_b_unified,class_a_n,class_b_n,both_classes_unified80
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,2,A,W002;W015;W017;W018;W021;W027,6,24,0,1,1,0,0,1,0,0.0122259230262,,,,,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,2,B,W001;W006;W008;W010;W011;W012;W013;W014;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,18,24,0,1,1,0,0,1,0,0.0248509036281,,,,,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,Q,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,24,24,0,1,1,0,0,1,0,0.022511757592,1,1,6,18,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,T,2,A,W001;W002;W006;W010;W011;W012;W013;W017;W018;W021;W030;W034,12,24,1,1,1,0,0,1,0,0.0245176220408,,,,,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,T,2,B,W008;W015;W027;W028;W029;W031;W032;W033;W035;W036;W037,11,24,1,1,1,0,0,1,0,0.0223186943834,,,,,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,T,2,A+B,W001;W002;W006;W008;W010;W011;W012;W013;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,23,24,1,1,1,0,0,1,0,0.0225323512909,1,1,12,11,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,B,2,A,W006;W011;W021,3,24,0,0,0,0,1,1,0,0.0242299867004,,,,,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,B,2,B,W001;W002;W008;W010;W012;W013;W014;W015;W017;W018;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,21,24,0,1,1,0,0,1,0,0.0225256711386,,,,,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,QTSB,4,A,W002;W027,2,24,1,0,0,0,1,1,0,0.0128752702655,,,,,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,manual,QTSB,4,B,W008;W015;W017;W018;W028;W032;W033;W036,8,24,1,1,1,0,0,1,0,0.0146748998798,,,,,
