split,image_id,image_path,model_pair_count,adopted_pair_count,mp3d_pair_count,no_occ_pair_count,model_vs_adopted_topology_mismatch,model_vs_mp3d_topology_mismatch,model_vs_no_occ_topology_mismatch,adopted_vs_mp3d_topology_mismatch,adopted_vs_no_occ_topology_mismatch,mp3d_vs_no_occ_topology_mismatch,adopted_difference,adopted_boundary_rmse_px,mp3d_difference,no_occ_difference,adopted_mismatch_resolved_by_mp3d_count,adopted_mismatch_resolved_by_no_occ_count
test,7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.png,8,8,8,8,False,False,False,False,False,False,0.029979589623246095,5.6483073234558105,0.029979589623246095,0.032587594287662,False,False
test,7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.png,8,6,6,6,True,True,True,False,False,False,0.10080048646342898,26.888519287109375,0.10080048646342898,0.15686232811749046,False,False
test,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.png,4,6,6,6,True,True,True,False,False,False,0.17064843743882485,23.14809799194336,0.17064843743882485,0.24537392888661147,False,False
test,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.png,4,4,4,4,False,False,False,False,False,False,0.01103058158034298,2.315048933029175,0.01103058158034298,0.010191127880077366,False,False
test,7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.png,8,8,8,8,False,False,False,False,False,False,0.04833949989380848,7.724153995513916,0.04833949989380848,0.1224724358191952,False,False
test,7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.png,8,8,8,8,False,False,False,False,False,False,0.17938169462601516,35.282615661621094,0.17938169462601516,0.2479211011778062,False,False
test,7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.png,6,6,6,6,False,False,False,False,False,False,0.09448693329435143,11.826409339904785,0.09448693329435143,0.09428474670810172,False,False
test,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce.png,10,10,10,10,False,False,False,False,False,False,0.16103927537446128,50.309547424316406,0.16103927537446128,0.16186795791041997,False,False
test,7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.png,4,4,4,4,False,False,False,False,False,False,0.029185581461143806,4.000702381134033,0.029185581461143806,0.03015007523051405,False,False
test,7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.png,10,6,6,6,True,True,True,False,False,False,0.38835169433147765,94.37085723876953,0.38835169433147765,0.44686724977291514,False,False
test,7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,D:/Work/HOHONET/data/mp3d_layout/test/img/7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861.png,6,4,4,4,True,True,True,False,False,False,0.16578790933291976,31.569128036499023,0.16578790933291976,0.16674633421613594,False,False
