task_id,annotation_id,annotator_id,scope,geometry_debug_scope_vote,geometry_debug_not_oos_adjudication,geometry_debug_preview_status,geometry_debug_n_pairs,geometry_debug_fit_status,geometry_debug_fit_confidence,geometry_debug_fit_residual,geometry_debug_max_abs_delta,geometry_debug_layout_height_spread,geometry_debug_problem_flag,geometry_debug_problem_reason,audit_eligible,audit_ineligibility_reason
2948,2614,9,normal,normal,True,compatibility_failure_odd_keypoint,6,,,,,,True,compatibility_failure_odd_keypoint,True,
2948,2624,2,normal,normal,True,compatible,4,ok,high,0.00034317622603872343,0.031964234553065296,0.01619605449098005,False,,True,
2948,2626,11,normal,normal,True,compatibility_failure_duplicate,4,,,,,,True,compatibility_failure_duplicate,True,
2948,2631,10,normal,normal,True,compatible,4,ok,high,0.00034317622603872343,0.031964234553065296,0.01619605449098005,False,,True,
2948,2641,13,normal,normal,True,compatible,4,ok,high,0.0010351175062860596,0.21438356141885606,0.06258715791286829,False,,True,
2948,2651,8,normal,normal,True,compatible,4,ok,high,0.00034317622603872343,0.031964234553065296,0.01619605449098005,False,,True,
2948,2656,6,normal,normal,True,compatibility_failure_duplicate,4,,,,,,True,compatibility_failure_duplicate,True,
2948,2661,15,normal,normal,True,compatible,4,ok,high,0.0010944355599293073,0.037701474487796816,0.0199875105091345,False,,True,
2948,2667,17,normal,normal,True,compatible,4,ok,high,0.000834768327363215,0.0895972284430826,0.05345698728472614,False,,True,
2949,2615,9,normal,normal,True,compatible,6,ok,low,0.07613659862840115,9.203673990471728,0.6161834523317413,True,large_candidate_delta,True,
2949,2627,11,oos_split_level,oos_split_level,True,compatible,6,ok,medium,0.004968887513409991,2.236346792284138,0.0991602846893791,False,,False,oos_split_level
2949,2632,10,oos_split_level,oos_split_level,True,compatible,6,ok,high,0.0010294975171978283,0.1814756855336448,0.011743534442679504,False,,False,oos_split_level
2949,2642,13,oos_split_level,oos_split_level,True,compatible,6,ok,low,0.08134166910182865,9.31758225251582,0.8048374890367977,True,large_candidate_delta,False,oos_split_level
2949,2652,8,normal,normal,True,compatible,6,ok,low,0.09410975256952664,11.367745006426773,0.9538006365859815,True,large_candidate_delta,True,
2949,2657,6,oos_split_level,oos_split_level,True,compatible,6,failed,unavailable,,,,True,self_crossing_candidate,False,oos_split_level
2949,2662,15,normal,normal,True,compatible,6,ok,high,0.0010294975171978283,0.1814756855336448,0.011743534442679504,False,,True,
2950,2616,9,normal,normal,True,compatible,4,ok,high,0.00021909016056935715,0.1059687221955592,0.0,False,,True,
2950,2628,11,normal,normal,True,compatible,4,ok,high,0.0012169891441367242,0.19184119593926852,0.002793693360443328,False,,True,
2950,2633,10,normal,normal,True,compatible,4,ok,high,0.00021909016056935715,0.1059687221955592,0.0,False,,True,
2950,2643,13,normal,normal,True,compatible,4,ok,high,0.012136334440185,0.4991822692236383,0.010940704016596747,False,,True,
2950,2653,8,normal,normal,True,compatible,4,ok,high,0.00021909016056935715,0.1059687221955592,0.0,False,,True,
2950,2658,6,normal,normal,True,compatible,4,ok,high,0.009834989589750764,1.3276481479702866,0.026514294260727045,False,,True,
2950,2663,15,normal,normal,True,compatible,4,ok,high,0.00021909016056935715,0.1059687221955592,0.0,False,,True,
2951,2617,9,normal,normal,True,compatible,4,ok,high,0.0011055414830894662,0.08916407371818025,0.0013585934833373337,False,,True,
2951,2629,11,normal,normal,True,compatible,4,ok,high,0.0011055414830894662,0.08916407371818025,0.0013585934833373337,False,,True,
2951,2634,10,normal,normal,True,compatible,4,ok,medium,0.037027746799550176,1.0305854812275754,0.016274156801055817,False,,True,
2951,2644,13,normal,normal,True,compatible,4,ok,high,0.026421383729162206,1.288695149222299,0.056591304666418374,False,,True,
2951,2654,8,normal,normal,True,compatible,4,ok,high,0.017987551034517726,0.6975290187939862,0.04036292958922871,False,,True,
2951,2659,6,normal,normal,True,compatible,4,ok,medium,0.021256255693567292,3.6781430374142445,0.11170575367876046,False,,True,
2951,2664,15,normal,normal,True,compatible,4,ok,high,0.0011055414830894662,0.08916407371818025,0.0013585934833373337,False,,True,
2952,2618,9,oos_geometry,oos_geometry,True,compatible,4,ok,high,0.001259322619668255,0.09530310101703421,0.0022890535036101944,False,,False,oos_geometry
2952,2630,11,normal,normal,True,compatible,4,ok,high,0.001259322619668255,0.09530310101703421,0.0022890535036101944,False,,True,
2952,2635,10,normal,normal,True,compatible,4,ok,high,0.001259322619668255,0.09530310101703421,0.0022890535036101944,False,,True,
2952,2645,13,normal,normal,True,compatible,4,ok,high,0.001259322619668255,0.09530310101703421,0.0022890535036101944,False,,True,
2952,2655,8,normal,normal,True,compatible,4,ok,high,0.001259322619668255,0.09530310101703421,0.0022890535036101944,False,,True,
2952,2660,6,normal,normal,True,compatible,4,ok,high,0.001259322619668255,0.09530310101703421,0.0022890535036101944,False,,True,
2952,2665,15,normal,normal,True,compatible,4,ok,high,0.001259322619668255,0.09530310101703421,0.0022890535036101944,False,,True,
