stratification,stratum,n_images,n_buildings,n_labels,label_entropy,simple,medium,hard,labelled_images
scene_category,"('储藏与家务辅助',)",2,1,1,-0,2,0,0,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384;uNb9QFRL6hY_dba77340b24340be9c7242cba42f1e28
scene_category,"('卧室',)",33,6,2,0.884963636383,23,10,0,S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636;S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54;S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf;S9hNv5qa7GM_dbcf0a37c275473094e1160770291679;S9hNv5qa7GM_e5e6c99e38014827b50ad33cd22e3c9d;e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8;e9zR4mvMWw7_192fb2a16486430a96b34dffc2e8cbbc;e9zR4mvMWw7_1cbe7276fcee411c8695f5f11ac45eb5;e9zR4mvMWw7_2e52341d21b940b5b38a9e26c4cf4200;e9zR4mvMWw7_83347153d2184d33869626c6c83318f9;e9zR4mvMWw7_891cb55a08dd4aea9ee76656f6b4850d;jtcxE69GiFV_001ad2ad14234e06b2d996d71bb96fc4;jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037;jtcxE69GiFV_6723e18211d244f8b17ced91aae64d99;jtcxE69GiFV_87e96c5b923840bc8276d949ff157948;jtcxE69GiFV_fb7f2438518243b180ae78cf1e2737e3;rPc6DW4iMge_0226db0c3fd24410bbf3db5e6d4b24fe;rPc6DW4iMge_7316bf706e0d46368334c0c989210e09;rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd;uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e;uNb9QFRL6hY_1434b965c3c147419c4ff40310633b58;uNb9QFRL6hY_33dd9892d10e474ead8f7ad38a8da562;uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd;uNb9QFRL6hY_ab84a27288034713b2c24e41b31acc78;uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7;uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d;uNb9QFRL6hY_e8fcf8c5bd324655a25186117151ccbd;uNb9QFRL6hY_fd10460fd2bc4c52af84e36e89357269;wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee;wc2JMjhGNzB_3a035012369c4eb58295238d946fbc66;wc2JMjhGNzB_52ed6a0219e84a0bb6db8037ae700366;wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc;wc2JMjhGNzB_e6693f97b36545f7a76e03c3fe32ba8c
scene_category,"('卫浴',)",22,3,2,0.845350936622,0,6,16,VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a;VFuaQ6m2Qom_24d1e0ee55a542b68d600b81eae4f4d4;VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85;VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d;VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8;VFuaQ6m2Qom_f75a440593bb4140b899730917096859;uNb9QFRL6hY_2ed0e171a7c34f17a85363923a26ab98;uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab;uNb9QFRL6hY_76ba70b55bde4313939a4a0cd78a49d3;uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5;uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8;uNb9QFRL6hY_b98c9460586e4f138658181461df9f51;uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d;uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449;uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b;uNb9QFRL6hY_dcb326d4bb9b4a5f8d7e565ec32bce8e;uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14;wc2JMjhGNzB_02bbd23673904a6980dc0e22b11c6a35;wc2JMjhGNzB_479b5e13d201492086bb3b69be5b124d;wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd;wc2JMjhGNzB_aeb3199e10354e45a4884bb185c03257;wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6
scene_category,"('厨房与用餐',)",13,3,2,0.779349837292,10,3,0,2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59;2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94;2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e;2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371;2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881;Z6MFQCViBuw_2008e72476f84104858e908beeac0193;Z6MFQCViBuw_543e6efcc1e24215b18c4060255a9719;Z6MFQCViBuw_bc4ec1f735f3446aa4b56165d9508b45;Z6MFQCViBuw_d9913cc77dc14f17b7228ac8de469b06;yqstnuAEVhm_19e4188fa39244378481dcdb18c42dbe;yqstnuAEVhm_2b3fb4746d414cc6a31729b222ed79b2;yqstnuAEVhm_4ab11dce32f346b2becac29e0ac6e526;yqstnuAEVhm_a93ea1ea5702412c9ef9c82a436c4599
scene_category,"('复合／待定',)",4,2,1,-0,4,0,0,e9zR4mvMWw7_1f8ee74dbb254dff85771776279eae94;wc2JMjhGNzB_05e7fcde7a00435ebba65933c1758dde;wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31;wc2JMjhGNzB_77962388887942148ee65c2892600e02
scene_category,"('工作与学习',)",7,1,2,0.591672778582,6,1,0,uNb9QFRL6hY_104d12b732794414a42edd37ac554bff;uNb9QFRL6hY_23ed105b1f0f48bbb6ec025df9d313e7;uNb9QFRL6hY_9b675f28ab5f4345bf06ed5c77097426;uNb9QFRL6hY_d5c47aa99b274a67b305aa601234f1f1;uNb9QFRL6hY_e0b8950793b447bd8b9f916e98e849d1;uNb9QFRL6hY_e24473d2b8a24568b89c1c4c2a4a9bf1;uNb9QFRL6hY_fd411e4f6035431593833d9d0beb4d32
scene_category,"('开放复合空间',)",4,1,1,-0,0,4,0,7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040;7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861;7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b;7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f
scene_category,"('无法判断',)",1,1,1,-0,1,0,0,wc2JMjhGNzB_8e093e32e55c4a5dbf453b5e2bf2b24c
scene_category,"('起居与休闲',)",17,2,1,-0,0,17,0,pa4otMbVnkk_63bde48e974d42e59a664bc3b5d9566a;pa4otMbVnkk_82f4e9ccd0ef4351a3d814f1222b03cc;pa4otMbVnkk_867c64cd8f474949bcd87100dc18c2d4;pa4otMbVnkk_8d9a72e210cd480a897945c465e5cade;pa4otMbVnkk_b8245307c038459a9df432be2341ec27;pa4otMbVnkk_e976f604378648b3bd1d1ed1e9638294;uNb9QFRL6hY_00b4950b469b4520b29f895aa029419c;uNb9QFRL6hY_05285f9bc0234526bf0f6362679e38d0;uNb9QFRL6hY_068fb0d52d01455c96fa23659c373bf8;uNb9QFRL6hY_13a430466eb64e2087e7fb5acde7a398;uNb9QFRL6hY_1b7bf6673ca74809a141b57da1d6357f;uNb9QFRL6hY_3450b3accb584493bf13be8e9554dbea;uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62;uNb9QFRL6hY_84722e58b32f4646acc12614994f835b;uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97;uNb9QFRL6hY_a728d2eef41b449f82357899de802dd3;uNb9QFRL6hY_b73ae36f994747e196380b1cb71cf407
scene_category,"('通行与连接',)",3,1,1,-0,3,0,0,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993;B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37;B6ByNegPMKs_dbc3c79b1ce74d209239b1572bd249bb
