canonical_annotation_id,annotation_identity,image_id,building_id,worker_id,raw_condition,stage,raw_annotation_version_id,raw_export_path,raw_point_count,effective_point_count,processing_status,audit_number,reason,pairing_stats,points,candidate_components,zero_candidate_indices,delete_one_candidates,delete_candidate_count,exact_matching_diagnostic,reordered_copy_diagnostic,coordinates_changed,repair_authorized,visual_reviewed,visual_note,final_judgment,figure,image_source,audit_category,recorded_points_scope,current_calculation_view,user_decision
f57527778ab111cb3df8,C2-B|0|77|3452|2|6671,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,S9hNv5qa7GM,2,manual,C2-B,C2-B|77|3452|2|6671,export_label/c2B_Chinese/project-77-at-2026-08-06-14-39-a247e8c0.json,10,10,unchanged,1,incomplete_pairing,"{""n_points"": 10, ""n_pairs"": 4, ""coverage"": 0.8, ""odd_points"": false, ""unpaired_point_count"": 2, ""pairing_ambiguous"": false, ""best_cost"": null, ""second_best_cost"": null, ""optimal_matching_count"": 0, ""ambiguity_reason"": """", ""finite_in_bounds"": true, ""raw_order_pairing_valid"": false, ""unordered_pairing_ambiguous"": false}","[[430.0537772087067, 190.11523687580026], [406.4532650448143, 149.46991037131883], [609.6798975672215, 194.04865556978234], [430.0537772087067, 389.40845070422534], [608.3687580025609, 390.7195902688861], [633.280409731114, 158.64788732394365], [937.4647887323944, 208.47119078104993], [945.3316261203585, 388.0973111395647], [66.86811779769526, 200.60435339308577], [66.86811779769526, 392.03072983354673]]","[[0, 1, 3], [2, 4, 5], [6, 7], [8, 9]]",[],[],0,"{""complete_matching_exists"": false, ""component_sizes"": [3, 3, 2, 2]}",,False,False,True,浴室窗右侧和柜左侧均可见同一横向附近两个上部点、一个下部点；顶部有高度变化。现有上下成对表示不能直接容纳，未判误点。,,points_01.png,data/mp3d_layout/img_v/S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e.jpg,no_complete_matching_under_current_gate,pre_repair_diagnostic_snapshot,analysis_results/confirmed_point_calculation_view_20260909_v1/reviewed/calculation_view.jsonl.gz,
e350ecfeaafde6028fcd,C2-B|0|77|3485|12|6711,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,pRbA3pwrgk9,12,manual,C2-B,C2-B|77|3485|12|6711,export_label/c2B_Chinese/project-77-at-2026-08-06-14-39-a247e8c0.json,16,16,unchanged,2,incomplete_pairing,"{""n_points"": 16, ""n_pairs"": 7, ""coverage"": 0.875, ""odd_points"": false, ""unpaired_point_count"": 2, ""pairing_ambiguous"": false, ""best_cost"": null, ""second_best_cost"": null, ""optimal_matching_count"": 0, ""ambiguity_reason"": """", ""finite_in_bounds"": true, ""raw_order_pairing_valid"": false, ""unordered_pairing_ambiguous"": false}","[[790.4195519348269, 204.38289205702648], [790.4195519348269, 304.4887983706721], [650.6883910386965, 223.15274949083502], [648.6028513238289, 308.65987780040734], [1003.1446028513238, 118.87576374745417], [994.8024439918534, 435.87780040733196], [33.36863543788187, 129.30346232179227], [362.88391038696534, 331.6008146639511], [22.94093686354379, 433.7922606924643], [379.56822810590626, 433.7922606924643], [181.44195519348267, 329.51527494908356], [392.081466395112, 143.9022403258656], [175.18533604887983, 225.23828920570264], [304.4887983706721, 187.69857433808548], [362.88391038696534, 231.49490835030554], [206.4684317718941, 183.52749490835032]]","[[0, 1], [2, 3], [4, 5, 6, 8], [7, 9, 11, 14], [10, 12, 15], [13]]",[13],[],0,"{""complete_matching_exists"": false, ""component_sizes"": [2, 2, 4, 4, 3, 1]}",,False,False,True,卧室与浴室开口内外均有点；索引13在浴室内上方，未有满足现行横向容差的伙伴。未推断最终墙面连接。,,points_01.png,data/mp3d_layout/img_v/pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494.jpg,no_complete_matching_under_current_gate,pre_repair_diagnostic_snapshot,analysis_results/confirmed_point_calculation_view_20260909_v1/reviewed/calculation_view.jsonl.gz,
c14fda0522180ac6,P1|0|41|3181|26|3838,q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,q9vSo1VnCiC,26,oos,P1,P1|41|3181|26|3838,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-41-at-2026-06-28-05-13-8641854f.json,2,2,unchanged,3,incomplete_pairing,"{""n_points"": 2, ""n_pairs"": 1, ""coverage"": 1.0, ""odd_points"": false, ""unpaired_point_count"": 0, ""pairing_ambiguous"": false, ""best_cost"": 0.0, ""second_best_cost"": null, ""optimal_matching_count"": 1, ""ambiguity_reason"": """", ""finite_in_bounds"": true, ""pairing_search_exhausted"": false, ""pairing_search_nodes"": 2, ""raw_order_pairing_valid"": false, ""unordered_pairing_ambiguous"": false}","[[150.45949784903632, 202.73572708168456], [150.45949784903632, 323.5758793178422]]","[[0, 1]]",[],[],0,"{""complete_matching_exists"": true, ""component_sizes"": [2], ""best_cost"": 0.0, ""best_pairs"": [[0, 1]], ""second_cost"": null, ""second_pairs"": null, ""gap"": null, ""near_margin"": 1e-06, ""ambiguous"": false, ""cached_states"": 2}","{""valid"": false, ""reason"": ""incomplete_pairing"", ""pairing_method"": ""circular_x_pairing"", ""permutation"": [0, 1], ""note"": ""diagnostic copy only; artificial pair order not confirmation of intended walls""}",False,False,True,仅左侧保留一组上下点，其余全景区域没有标注点，不能构造完整布局边界。,,points_01.png,data/mp3d_layout/img_v/q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb.jpg,too_few_points,pre_repair_diagnostic_snapshot,analysis_results/confirmed_point_calculation_view_20260909_v1/reviewed/calculation_view.jsonl.gz,"{""action"": ""temporarily_exclude_response"", ""authorization"": ""用户允许W019/W026特别异常标注暂不纳入；本轮限明确仅1–2点记录"", ""application_status"": ""applied_to_reviewed_calculation_view_and_revised_analyses""}"
8191a93950c2601c,P1|0|28|3060|19|4621,rPc6DW4iMge_cc15fb105d86466faafdd633f89148de,rPc6DW4iMge,19,manual,P1,P1|28|3060|19|4621,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-28-at-2026-07-01-07-14-56a198ba.json,6,6,unchanged,4,incomplete_pairing,"{""n_points"": 6, ""n_pairs"": 1, ""coverage"": 0.3333333333333333, ""odd_points"": false, ""unpaired_point_count"": 4, ""pairing_ambiguous"": false, ""best_cost"": null, ""second_best_cost"": null, ""optimal_matching_count"": 0, ""ambiguity_reason"": """", ""finite_in_bounds"": true, ""raw_order_pairing_valid"": false, ""unordered_pairing_ambiguous"": false}","[[288.7218045112782, 170.66666666666663], [215.57894736842104, 170.66666666666663], [473.50375939849624, 159.11779448621553], [472.2205513784461, 382.3959899749373], [737.844611528822, 171.94987468671678], [809.704260651629, 173.2330827067669]]","[[0], [1], [2, 3], [4], [5]]","[0, 1, 4, 5]",[],0,"{""complete_matching_exists"": false, ""component_sizes"": [1, 1, 2, 1, 1]}",,False,False,True,六点中五点位于图像上部，一点位于浴室门内地面附近，缺少多数下部对应点。,,points_01.png,data/mp3d_layout/img_v/rPc6DW4iMge_cc15fb105d86466faafdd633f89148de.jpg,no_complete_matching_under_current_gate,pre_repair_diagnostic_snapshot,analysis_results/confirmed_point_calculation_view_20260909_v1/reviewed/calculation_view.jsonl.gz,
4d3e4911d8f07aa2,P1|0|41|3176|37|4454,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,37,oos,P1,P1|41|3176|37|4454,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-41-at-2026-06-28-05-13-8641854f.json,11,11,unconfirmed_odd_unchanged,5,odd_keypoint_count,"{""n_points"": 11, ""n_pairs"": 0, ""coverage"": 0.0, ""odd_points"": true, ""unpaired_point_count"": 11, ""pairing_ambiguous"": false, ""best_cost"": null, ""second_best_cost"": null, ""optimal_matching_count"": 0, ""ambiguity_reason"": """", ""finite_in_bounds"": true, ""raw_order_pairing_valid"": false, ""unordered_pairing_ambiguous"": false}","[[501.6699124882024, 234.31351780605542], [526.403924840394, 234.02252942544138], [526.403924840394, 282.9085773685966], [501.6699124882024, 283.1995657492106], [629.4862761541129, 200.013985015004], [622.9594122083382, 329.26678424347944], [566.3381483654002, 331.0932766255097], [800.5943353207314, 155.1851035059102], [802.8232495287677, 383.28529644202433], [104.42624073951605, 107.36782498569958], [104.42624073951605, 426.5297156966148]]","[[0, 1, 2, 3, 6], [4, 5], [7, 8], [9, 10]]",[],"[{""index_zero_based"": 0, ""point"": [501.6699124882024, 234.31351780605542], ""pairing_method"": ""circular_x_pairing""}, {""index_zero_based"": 1, ""point"": [526.403924840394, 234.02252942544138], ""pairing_method"": ""circular_x_pairing""}, {""index_zero_based"": 2, ""point"": [526.403924840394, 282.9085773685966], ""pairing_method"": ""circular_x_pairing""}, {""index_zero_based"": 3, ""point"": [501.6699124882024, 283.1995657492106], ""pairing_method"": ""circular_x_pairing""}, {""index_zero_based"": 6, ""point"": [566.3381483654002, 331.0932766255097], ""pairing_method"": ""circular_x_pairing""}]",5,,,False,False,True,楼梯/栏杆附近有多组高低点，删除候选共有5个，不能从解析通过唯一定位手滑点。,,points_02.png,data/mp3d_layout/img_v/7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09.jpg,multiple_deletion_candidates_unconfirmed,pre_repair_diagnostic_snapshot,analysis_results/confirmed_point_calculation_view_20260909_v1/reviewed/calculation_view.jsonl.gz,
f6bfdcf15004e457,P1|0|39|3129|32|4253,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,32,manual,P1,P1|39|3129|32|4253,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-39-at-2026-06-28-05-14-65ca3316.json,9,9,unconfirmed_odd_unchanged,6,odd_keypoint_count,"{""n_points"": 9, ""n_pairs"": 0, ""coverage"": 0.0, ""odd_points"": true, ""unpaired_point_count"": 9, ""pairing_ambiguous"": false, ""best_cost"": null, ""second_best_cost"": null, ""optimal_matching_count"": 0, ""ambiguity_reason"": """", ""finite_in_bounds"": true, ""raw_order_pairing_valid"": false, ""unordered_pairing_ambiguous"": false}","[[232.38190398450527, 230.82443769853282], [232.0017971715716, 305.3238992263032], [232.38190398450527, 230.0642390457983], [296.99877449380324, 304.18362700803493], [293.9580173156968, 230.06401363850622], [774.8909549468357, 248.24988120608202], [774.3589957776774, 275.734339042143], [762.6559324741152, 275.9116671963202], [762.4786185719595, 248.60450446598446]]","[[0, 1, 2], [3, 4], [5, 6, 7, 8]]",[],"[{""index_zero_based"": 0, ""point"": [232.38190398450527, 230.82443769853282], ""pairing_method"": ""raw_order_pairing""}, {""index_zero_based"": 1, ""point"": [232.0017971715716, 305.3238992263032], ""pairing_method"": ""circular_x_pairing""}, {""index_zero_based"": 2, ""point"": [232.38190398450527, 230.0642390457983], ""pairing_method"": ""raw_order_pairing""}]",3,,,False,False,True,左侧玻璃开口附近3点聚集，原索引0和2几乎重叠，候选0/1/2；右侧也有相邻点组。需放大或原始意图确认。,,points_02.png,data/mp3d_layout/img_v/B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.jpg,multiple_deletion_candidates_unconfirmed,pre_repair_diagnostic_snapshot,analysis_results/confirmed_point_calculation_view_20260909_v1/reviewed/calculation_view.jsonl.gz,
8487d3e12302f924,P1|0|30|3105|17|3408,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,17,oos,P1,P1|30|3105|17|3408,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-30-at-2026-06-30-09-00-69d8051b.json,9,9,unconfirmed_odd_unchanged,7,odd_keypoint_count,"{""n_points"": 9, ""n_pairs"": 0, ""coverage"": 0.0, ""odd_points"": true, ""unpaired_point_count"": 9, ""pairing_ambiguous"": false, ""best_cost"": null, ""second_best_cost"": null, ""optimal_matching_count"": 0, ""ambiguity_reason"": """", ""finite_in_bounds"": true, ""raw_order_pairing_valid"": false, ""unordered_pairing_ambiguous"": false}","[[14.760360360360359, 202.03243243243244], [14.760360360360359, 307.2], [437.27567567567564, 343.1783783783784], [523.9927927927928, 228.78558558558558], [443.73333333333335, 176.20180180180176], [715.8774774774776, 289.67207207207207], [714.0324324324324, 225.0954954954955], [964.0360360360361, 285.05945945945945], [962.1909909909909, 234.32072072072071]]","[[0, 1], [2, 4], [3], [5, 6], [7, 8]]",[3],"[{""index_zero_based"": 3, ""point"": [523.9927927927928, 228.78558558558558], ""pairing_method"": ""raw_order_pairing""}]",1,,,False,True,True,索引3位于玻璃边与木饰面/厨房开口上沿附近，未与其他点重叠；唯一解析候选不证明多余。,remove_confirmed_point,points_02.png,data/mp3d_layout/img_v/UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940.jpg,one_deletion_candidate_unconfirmed,pre_repair_diagnostic_snapshot,analysis_results/confirmed_point_calculation_view_20260909_v1/reviewed/calculation_view.jsonl.gz,"{""action"": ""remove_confirmed_point"", ""user_words"": ""确实是手滑"", ""date"": ""2026-09-09"", ""application_status"": ""applied_to_reviewed_calculation_view_and_revised_analyses""}"
49fa488be3fef090,P1|0|41|3177|26|3834,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,26,oos,P1,P1|41|3177|26|3834,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-41-at-2026-06-28-05-13-8641854f.json,17,17,unconfirmed_odd_unchanged,8,odd_keypoint_count,"{""n_points"": 17, ""n_pairs"": 0, ""coverage"": 0.0, ""odd_points"": true, ""unpaired_point_count"": 17, ""pairing_ambiguous"": false, ""best_cost"": null, ""second_best_cost"": null, ""optimal_matching_count"": 0, ""ambiguity_reason"": """", ""finite_in_bounds"": true, ""raw_order_pairing_valid"": false, ""unordered_pairing_ambiguous"": false}","[[880.7535042868935, 221.90170326961643], [880.7535042868935, 287.1942557724614], [23.265561937216418, 214.54006191164817], [23.265561937216418, 304.7653018165212], [525.4017987159477, 234.38196602105666], [525.4017987159477, 282.8293261395436], [571.9676726485771, 177.04536990788884], [571.9676726485771, 340.9078166431751], [707.8153841003765, 225.6624244154959], [707.8153841003765, 291.45418571122246], [921.92361092718, 305.5031287881972], [932.6115368122714, 213.52303414752498], [932.6115368122714, 304.4660271569905], [960.929162771704, 235.78908784048474], [960.929162771704, 281.6921017209157], [565.1863262815054, 228.18734624890465], [565.1863262815054, 283.1524634617423]]","[[0, 1, 10, 11, 12, 13, 14], [2, 3], [4, 5, 6, 7, 15, 16], [8, 9]]",[],"[{""index_zero_based"": 0, ""point"": [880.7535042868935, 221.90170326961643], ""pairing_method"": ""circular_x_pairing""}, {""index_zero_based"": 1, ""point"": [880.7535042868935, 287.1942557724614], ""pairing_method"": ""circular_x_pairing""}, {""index_zero_based"": 10, ""point"": [921.92361092718, 305.5031287881972], ""pairing_method"": ""raw_order_pairing""}, {""index_zero_based"": 11, ""point"": [932.6115368122714, 213.52303414752498], ""pairing_method"": ""raw_order_pairing""}, {""index_zero_based"": 12, ""point"": [932.6115368122714, 304.4660271569905], ""pairing_method"": ""raw_order_pairing""}, {""index_zero_based"": 13, ""point"": [960.929162771704, 235.78908784048474], ""pairing_method"": ""raw_order_pairing""}, {""index_zero_based"": 14, ""point"": [960.929162771704, 281.6921017209157], ""pairing_method"": ""raw_order_pairing""}]",7,,,False,False,True,同一开放厨房图，厨房右侧及中间转角较密，7个删除候选，存在多种可能配法。,,points_02.png,data/mp3d_layout/img_v/UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940.jpg,multiple_deletion_candidates_unconfirmed,pre_repair_diagnostic_snapshot,analysis_results/confirmed_point_calculation_view_20260909_v1/reviewed/calculation_view.jsonl.gz,
3a3dec28a207f0a0,P1|0|41|3177|28|3949,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,28,oos,P1,P1|41|3177|28|3949,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-41-at-2026-06-28-05-13-8641854f.json,17,17,unconfirmed_odd_unchanged,9,odd_keypoint_count,"{""n_points"": 17, ""n_pairs"": 0, ""coverage"": 0.0, ""odd_points"": true, ""unpaired_point_count"": 17, ""pairing_ambiguous"": false, ""best_cost"": null, ""second_best_cost"": null, ""optimal_matching_count"": 0, ""ambiguity_reason"": """", ""finite_in_bounds"": true, ""raw_order_pairing_valid"": false, ""unordered_pairing_ambiguous"": false}","[[880.7535042868935, 221.90170326961643], [880.7535042868935, 287.1942557724614], [23.265561937216418, 214.54006191164817], [23.265561937216418, 304.7653018165212], [524.132909789655, 222.53900270899038], [524.132909789655, 282.8293261395436], [571.9676726485771, 177.04536990788884], [571.9676726485771, 340.9078166431751], [707.8153841003765, 225.6624244154959], [707.8153841003765, 291.45418571122246], [932.6115368122714, 304.4660271569905], [960.929162771704, 235.78908784048474], [960.929162771704, 281.6921017209157], [565.0878055960173, 218.36954480176738], [565.0878055960173, 297.1920302020222], [544.3160262959016, 220.7414859887778], [544.3160262959016, 283.24480216901526]]","[[0, 1], [2, 3], [4, 5, 6, 7, 13, 14, 15, 16], [8, 9], [10, 11, 12]]",[],"[{""index_zero_based"": 10, ""point"": [932.6115368122714, 304.4660271569905], ""pairing_method"": ""raw_order_pairing""}, {""index_zero_based"": 11, ""point"": [960.929162771704, 235.78908784048474], ""pairing_method"": ""raw_order_pairing""}, {""index_zero_based"": 12, ""point"": [960.929162771704, 281.6921017209157], ""pairing_method"": ""raw_order_pairing""}]",3,,,False,False,True,同图，厨房中右侧和中部柱边点密集，候选10/11/12；未确定误点。,,points_03.png,data/mp3d_layout/img_v/UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940.jpg,multiple_deletion_candidates_unconfirmed,pre_repair_diagnostic_snapshot,analysis_results/confirmed_point_calculation_view_20260909_v1/reviewed/calculation_view.jsonl.gz,
cf3e0b1c47e35600,P1|0|28|3054|19|4615,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,19,manual,P1,P1|28|3054|19|4615,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-28-at-2026-07-01-07-14-56a198ba.json,9,9,unconfirmed_odd_unchanged,10,odd_keypoint_count,"{""n_points"": 9, ""n_pairs"": 0, ""coverage"": 0.0, ""odd_points"": true, ""unpaired_point_count"": 9, ""pairing_ambiguous"": false, ""best_cost"": null, ""second_best_cost"": null, ""optimal_matching_count"": 0, ""ambiguity_reason"": """", ""finite_in_bounds"": true, ""raw_order_pairing_valid"": false, ""unordered_pairing_ambiguous"": false}","[[464.52130325814534, 210.44611528822054], [544.0802005012531, 188.6315789473684], [461.9548872180451, 341.33333333333326], [127.0375939849624, 129.60401002506265], [132.1704260651629, 415.75939849624064], [703.1979949874687, 128.32080200501252], [700.6315789473684, 428.59147869674183], [884.1303258145364, 145.00250626566415], [880.280701754386, 422.17543859649123]]","[[0, 2], [1], [3, 4], [5, 6], [7, 8]]",[1],"[{""index_zero_based"": 1, ""point"": [544.0802005012531, 188.6315789473684], ""pairing_method"": ""raw_order_pairing""}]",1,,,False,True,True,索引1位于右侧开口上方；与索引0并非重合，可能涉及不同边界高度或未配对点，未裁决。,remove_confirmed_point,points_03.png,data/mp3d_layout/img_v/UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.jpg,one_deletion_candidate_unconfirmed,pre_repair_diagnostic_snapshot,analysis_results/confirmed_point_calculation_view_20260909_v1/reviewed/calculation_view.jsonl.gz,"{""action"": ""remove_confirmed_point"", ""user_words"": ""可以去掉"", ""date"": ""2026-09-09"", ""application_status"": ""applied_to_reviewed_calculation_view_and_revised_analyses""}"
