stage,language_cohort,project_id,runtime_task_id,base_task_id,building_id,worker_id,canonical_annotation_id,raw_annotation_id,initialization_artifact_id,initialization_import_sha256,initialization_prediction_sha256,initial_geometry_hash,final_geometry_hash,exact_geometry_equal,geometry_edit_rmse_px,geometry_edit_rmse_panorama_diagonal_normalized,geometry_edit_distance_not_evaluable_reason,U_initial,U_final,delta_U,initial_structurally_valid,final_structurally_valid,initial_quality_status,final_quality_status,proposal_failure,model_issue_choice,issue_reported,acceptable_reported,semi_role,planned_trap_family,trap_family,trap_family_source,trap_source_type,reference_identity,reference_sha256,reference_type,reference_eligible,formal_assignment_eligible,process_eligible,independence_eligible,analysis_eligible,c1_eligible_worker,current20_worker,stage_role,unmodified_trap_submission_eps_0,strict_blind_trust_eps_0,issue_reported_without_quality_improvement_eps_0,quality_improving_correction_eps_0,harmful_correction_eps_0,control_false_alarm_eps_0,control_overcorrection_eps_0,non_harmful_control_handling_eps_0,issue_geometry_edit_concordant_eps_0,unmodified_trap_submission_eps_0_01,strict_blind_trust_eps_0_01,issue_reported_without_quality_improvement_eps_0_01,quality_improving_correction_eps_0_01,harmful_correction_eps_0_01,control_false_alarm_eps_0_01,control_overcorrection_eps_0_01,non_harmful_control_handling_eps_0_01,issue_geometry_edit_concordant_eps_0_01,unmodified_trap_submission_eps_0_02,strict_blind_trust_eps_0_02,issue_reported_without_quality_improvement_eps_0_02,quality_improving_correction_eps_0_02,harmful_correction_eps_0_02,control_false_alarm_eps_0_02,control_overcorrection_eps_0_02,non_harmful_control_handling_eps_0_02,issue_geometry_edit_concordant_eps_0_02,unmodified_trap_submission_eps_0_05,strict_blind_trust_eps_0_05,issue_reported_without_quality_improvement_eps_0_05,quality_improving_correction_eps_0_05,harmful_correction_eps_0_05,control_false_alarm_eps_0_05,control_overcorrection_eps_0_05,non_harmful_control_handling_eps_0_05,issue_geometry_edit_concordant_eps_0_05,diagnostic_pre_stage3,development_only,scientific_conclusion_prohibited,formal_profile_frozen,reviewer_policy_frozen,main_launch_authorized,worker_caused_structural_failure,failure_attribution,frozen_harmonization_validity_status,frozen_harmonization_assertion_source,frozen_initialization_provenance_status,proposal_accepted_unchanged_eps_0,issue_reported_eps_0,geometry_edited_eps_0,non_harmful_handling_eps_0,proposal_accepted_unchanged_eps_0_01,issue_reported_eps_0_01,geometry_edited_eps_0_01,non_harmful_handling_eps_0_01,proposal_accepted_unchanged_eps_0_02,issue_reported_eps_0_02,geometry_edited_eps_0_02,non_harmful_handling_eps_0_02,proposal_accepted_unchanged_eps_0_05,issue_reported_eps_0_05,geometry_edited_eps_0_05,non_harmful_handling_eps_0_05
P1,zh,29,3083,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,1,a98f6bc364bdef1b,4795,init:p1:5783a1f62c62382528fa,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,5783a1f62c62382528fa13a09f59576ead97bc630e327259b9ffdf215e697d30,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,d68b54e70a048330dd672b36098dc364bfe765aa8754ee236381310eacdbeff2,false,12.231427496556385,0.010683712243812558,,0.9883231584145082,0.905439847732394,-0.08288331068211419,true,true,evaluable,evaluable,false,overextend_adjacent;underextend,true,false,control,acceptable,acceptable,frozen_selection,control_natural,task_id:492,0e3578e39313699efebad57eb407af2f689a05e571f4764e46cb4059a2d28d2e,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,true,profile_development_only,,,,,true,true,true,false,true,,,,,true,true,true,false,true,,,,,true,true,true,false,true,,,,,true,true,true,false,true,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3083,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,10,0df21449d15d6f28,3172,init:p1:5783a1f62c62382528fa,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,5783a1f62c62382528fa13a09f59576ead97bc630e327259b9ffdf215e697d30,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,true,0.0,0.0,,0.9883231584145082,0.9883231584145082,0.0,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:492,0e3578e39313699efebad57eb407af2f689a05e571f4764e46cb4059a2d28d2e,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,true,profile_development_only,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3083,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,11,137415ffe0725161,3527,init:p1:5783a1f62c62382528fa,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,5783a1f62c62382528fa13a09f59576ead97bc630e327259b9ffdf215e697d30,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,true,0.0,0.0,,0.9883231584145082,0.9883231584145082,0.0,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:492,0e3578e39313699efebad57eb407af2f689a05e571f4764e46cb4059a2d28d2e,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,true,profile_development_only,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3083,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,12,ce3536534b35ed2e,3435,init:p1:5783a1f62c62382528fa,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,5783a1f62c62382528fa13a09f59576ead97bc630e327259b9ffdf215e697d30,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,faa514f815685566835fb1319bada380e70122bc31d2508c2dc66e0a77ed1a2f,false,7.199137678429847,0.00628818797982389,,0.9883231584145082,0.9386706213314164,-0.04965253708309181,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:492,0e3578e39313699efebad57eb407af2f689a05e571f4764e46cb4059a2d28d2e,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,true,profile_development_only,,,,,true,false,true,false,false,,,,,true,false,true,false,false,,,,,true,false,true,false,false,,,,,false,false,false,true,false,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3083,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,13,f8c614ff9afdc5fe,3332,init:p1:5783a1f62c62382528fa,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,5783a1f62c62382528fa13a09f59576ead97bc630e327259b9ffdf215e697d30,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,2ac64086c0845d3b9f9a227424f2419adc132af921bf1d5b85c98442aa4a8ec3,false,4.83838558321677,0.004226155884932681,,0.9883231584145082,0.9680946006247211,-0.02022855778978716,true,true,evaluable,evaluable,false,corner_drift,true,false,control,acceptable,acceptable,frozen_selection,control_natural,task_id:492,0e3578e39313699efebad57eb407af2f689a05e571f4764e46cb4059a2d28d2e,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,true,profile_development_only,,,,,true,true,true,false,true,,,,,true,true,true,false,true,,,,,true,true,true,false,true,,,,,false,true,false,true,true,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3083,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,14,67807e1e55df3898,3226,init:p1:5783a1f62c62382528fa,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,5783a1f62c62382528fa13a09f59576ead97bc630e327259b9ffdf215e697d30,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,c9aee4866bc41001b405f4cc81b7fd3bd561a69f1604d59aa542c06746a444d2,false,3.599747140269293,0.0031442497294736755,,0.9883231584145082,0.9745940804318011,-0.013729077982707172,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:492,0e3578e39313699efebad57eb407af2f689a05e571f4764e46cb4059a2d28d2e,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,false,profile_development_only,,,,,true,false,true,false,false,,,,,true,false,true,false,false,,,,,false,false,false,true,false,,,,,false,false,false,true,false,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3083,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,15,bb7b44da838a4ce1,3240,init:p1:5783a1f62c62382528fa,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,5783a1f62c62382528fa13a09f59576ead97bc630e327259b9ffdf215e697d30,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,true,0.0,0.0,,0.9883231584145082,0.9883231584145082,0.0,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:492,0e3578e39313699efebad57eb407af2f689a05e571f4764e46cb4059a2d28d2e,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,true,profile_development_only,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3083,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,17,27ae2237bce7474e,3131,init:p1:5783a1f62c62382528fa,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,5783a1f62c62382528fa13a09f59576ead97bc630e327259b9ffdf215e697d30,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,3818e2ea6c3b3c4fc4d247c4583402688e51b0bd4e2430131c5f7cf77e08b650,false,1.9018337184852239,0.0016611833892320933,,0.9883231584145082,0.991019280640433,0.0026961222259247464,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:492,0e3578e39313699efebad57eb407af2f689a05e571f4764e46cb4059a2d28d2e,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,true,profile_development_only,,,,,false,false,false,true,false,,,,,false,false,false,true,false,,,,,false,false,false,true,false,,,,,false,false,false,true,false,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3083,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,18,d46f9d2f3c43ead2,3424,init:p1:5783a1f62c62382528fa,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,5783a1f62c62382528fa13a09f59576ead97bc630e327259b9ffdf215e697d30,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,true,0.0,0.0,,0.9883231584145082,0.9883231584145082,0.0,true,true,evaluable,evaluable,false,acceptable,false,true,control,acceptable,acceptable,frozen_selection,control_natural,task_id:492,0e3578e39313699efebad57eb407af2f689a05e571f4764e46cb4059a2d28d2e,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,true,false,profile_development_only,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,,,,,false,false,false,true,true,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
P1,zh,29,3083,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,19,a77c10f42f17dfe4,4645,init:p1:5783a1f62c62382528fa,7430abf1dea211abd799126fdd3f8883d52a0ae9598a326e7a11c5ad5cc6a014,5783a1f62c62382528fa13a09f59576ead97bc630e327259b9ffdf215e697d30,5ca7f83733012d2218365b3e7d08efdf6db235b9a4594ccf54b043fbb85f4f98,dafd259e60fed50ff1cabae7196abfff5a3eba1276ec349f8908c4e251538d76,false,22.246640755456625,0.01943164101571027,,0.9883231584145082,0.980999605567138,-0.007323552847370185,true,true,evaluable,evaluable,false,overextend_adjacent;underextend,true,false,control,acceptable,acceptable,frozen_selection,control_natural,task_id:492,0e3578e39313699efebad57eb407af2f689a05e571f4764e46cb4059a2d28d2e,final_gold,true,not_applicable_p1,true,not_formally_adjudicated_p1,true,false,false,profile_development_only,,,,,true,true,true,false,true,,,,,false,true,false,true,true,,,,,false,true,false,true,true,,,,,false,true,false,true,true,true,true,true,false,false,false,,,,,,,,,,,,,,,,,,,,,
