image_id,building_id,current_pool,old_review_package,old_manifest_path,old_review_id,old_candidate_role,old_split,old_screen_stratum,record_only_no_pool_change
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va,candidate_remaining_136,annotation_uncertainty_batch1_broad_review_20260828_v1,analysis_results/annotation_uncertainty_batch1_broad_review_20260828_v1/candidate_manifest.json,B1W-117,main,test,pair_count_changed,true
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va,candidate_remaining_136,annotation_uncertainty_batch1_supplement_review_20260828_v1,analysis_results/annotation_uncertainty_batch1_supplement_review_20260828_v1/candidate_manifest.json,B1W-117,main,test,pair_count_changed,true
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,7y3sRwLe3Va,candidate_remaining_136,annotation_uncertainty_batch1_candidate_review_20260827_v2,analysis_results/annotation_uncertainty_batch1_candidate_review_20260827_v2/candidate_manifest.json,B1-015,main,,model_region_extra_dominant,true
7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,7y3sRwLe3Va,candidate_remaining_136,annotation_uncertainty_batch1_broad_review_20260828_v1,analysis_results/annotation_uncertainty_batch1_broad_review_20260828_v1/candidate_manifest.json,B1W-132,main,test,pair_count_changed,true
B6ByNegPMKs_5b3d1c9fefb64512b0c9750a00feece4,B6ByNegPMKs,candidate_remaining_136,annotation_uncertainty_batch1_candidate_review_20260827_v2,analysis_results/annotation_uncertainty_batch1_candidate_review_20260827_v2/candidate_manifest.json,B1-007,main,,reference_region_missing_dominant,true
B6ByNegPMKs_8c889fb13bce4bcebdac872570cb5381,B6ByNegPMKs,candidate_remaining_136,annotation_uncertainty_batch1_broad_review_20260828_v1,analysis_results/annotation_uncertainty_batch1_broad_review_20260828_v1/candidate_manifest.json,B1W-033,main,test,reference_region_missing_dominant,true
B6ByNegPMKs_9a11dae14ce9444287b881b54c6f6b6e,B6ByNegPMKs,candidate_remaining_136,annotation_uncertainty_batch1_broad_review_20260828_v1,analysis_results/annotation_uncertainty_batch1_broad_review_20260828_v1/candidate_manifest.json,B1W-054,main,test,model_region_extra_dominant,true
B6ByNegPMKs_d7ade8d217fe4d068fc3629dd2510898,B6ByNegPMKs,candidate_remaining_136,annotation_uncertainty_batch1_broad_review_20260828_v1,analysis_results/annotation_uncertainty_batch1_broad_review_20260828_v1/candidate_manifest.json,B1W-026,main,test,reference_region_missing_dominant,true
UwV83HsGsw3_92a9d9780863464195c5cfdd1851d623,UwV83HsGsw3,candidate_remaining_136,annotation_uncertainty_batch1_broad_review_20260828_v1,analysis_results/annotation_uncertainty_batch1_broad_review_20260828_v1/candidate_manifest.json,B1W-137,main,test,pair_count_changed,true
UwV83HsGsw3_b51c75363db94cc09b68d661fcfcd186,UwV83HsGsw3,candidate_remaining_136,annotation_uncertainty_batch1_candidate_review_20260827_v2,analysis_results/annotation_uncertainty_batch1_candidate_review_20260827_v2/candidate_manifest.json,B1-019,main,,pair_count_changed,true
X7HyMhZNoso_0595477618f44940b004970372df16dc,X7HyMhZNoso,candidate_remaining_136,annotation_uncertainty_batch1_broad_review_20260828_v1,analysis_results/annotation_uncertainty_batch1_broad_review_20260828_v1/candidate_manifest.json,B1W-123,main,test,pair_count_changed,true
X7HyMhZNoso_b1e740fa45384144b55ef6675440756b,X7HyMhZNoso,candidate_remaining_136,annotation_uncertainty_batch1_broad_review_20260828_v1,analysis_results/annotation_uncertainty_batch1_broad_review_20260828_v1/candidate_manifest.json,B1W-070,main,test,pair_count_changed,true
b8cTxDM8gDG_3892d409b66644439f5afcf3d296efbf,b8cTxDM8gDG,candidate_remaining_136,annotation_uncertainty_batch1_candidate_review_20260827_v2,analysis_results/annotation_uncertainty_batch1_candidate_review_20260827_v2/candidate_manifest.json,B1-010,main,,reference_region_missing_dominant,true
b8cTxDM8gDG_afc1807e6a1946b79137c1a158526913,b8cTxDM8gDG,candidate_remaining_136,annotation_uncertainty_batch1_broad_review_20260828_v1,analysis_results/annotation_uncertainty_batch1_broad_review_20260828_v1/candidate_manifest.json,B1W-122,main,test,pair_count_changed,true
b8cTxDM8gDG_b15db460058c41e8aa0c0720344daa30,b8cTxDM8gDG,candidate_remaining_136,annotation_uncertainty_batch1_broad_review_20260828_v1,analysis_results/annotation_uncertainty_batch1_broad_review_20260828_v1/candidate_manifest.json,B1W-015,main,test,reference_region_missing_dominant,true
b8cTxDM8gDG_bcd82ce0da1846a58f9d97b00e022af2,b8cTxDM8gDG,candidate_remaining_136,annotation_uncertainty_batch1_candidate_review_20260827_v2,analysis_results/annotation_uncertainty_batch1_candidate_review_20260827_v2/candidate_manifest.json,B1-013,main,,model_region_extra_dominant,true
b8cTxDM8gDG_ddc9afa8e031453abd45c783fbfeb4aa,b8cTxDM8gDG,candidate_remaining_136,annotation_uncertainty_batch1_broad_review_20260828_v1,analysis_results/annotation_uncertainty_batch1_broad_review_20260828_v1/candidate_manifest.json,B1W-009,main,test,reference_region_missing_dominant,true
e9zR4mvMWw7_511976eee78f42e6858dcb7845a44777,e9zR4mvMWw7,candidate_remaining_136,annotation_uncertainty_batch1_broad_review_20260828_v1,analysis_results/annotation_uncertainty_batch1_broad_review_20260828_v1/candidate_manifest.json,B1W-083,main,test,pair_count_changed,true
e9zR4mvMWw7_5d711de78dbd400aa4cfd51fc05dfbee,e9zR4mvMWw7,candidate_remaining_136,annotation_uncertainty_batch1_broad_review_20260828_v1,analysis_results/annotation_uncertainty_batch1_broad_review_20260828_v1/candidate_manifest.json,B1W-120,main,test,pair_count_changed,true
e9zR4mvMWw7_6a856f5cb71645558f9f9ee069f37f1b,e9zR4mvMWw7,candidate_remaining_136,annotation_uncertainty_batch1_broad_review_20260828_v1,analysis_results/annotation_uncertainty_batch1_broad_review_20260828_v1/candidate_manifest.json,B1W-089,main,test,pair_count_changed,true
e9zR4mvMWw7_b0a7188b1afc4f648bd497af5202d978,e9zR4mvMWw7,candidate_remaining_136,annotation_uncertainty_batch1_broad_review_20260828_v1,analysis_results/annotation_uncertainty_batch1_broad_review_20260828_v1/candidate_manifest.json,B1W-077,main,test,pair_count_changed,true
e9zR4mvMWw7_f8d915e2d06a4ff8ab6f4cdaf3e42295,e9zR4mvMWw7,candidate_remaining_136,annotation_uncertainty_batch1_candidate_review_20260827_v2,analysis_results/annotation_uncertainty_batch1_candidate_review_20260827_v2/candidate_manifest.json,B1-020,main,,pair_count_changed,true
