image_id,building_id,old214_registry,original_status,gt_status,gt_reason,gt_path,hohonet_txt_status,hohonet_json_status,bi_manifest_status,bi_extended_status,bi_enclosed_status,bi_split,model_asset_issue_codes,asset_overall_status,dense_source,bi_extended_reason,bi_extended_corner_count,bi_extended_corner_path,bi_extended_floor_path,bi_enclosed_reason,bi_enclosed_corner_count,bi_enclosed_corner_path,bi_enclosed_floor_path
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,true,valid,valid,ok,export_label/groudTruth.json,valid,valid,ok,valid,valid,test,,valid,analysis_results/rq1_raw_recompute_20260826/high_density_task_metrics.csv,ok,4,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.txt,ok,4,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.txt
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,true,valid,valid,ok,export_label/groudTruth.json,valid,valid,ok,valid,valid,test,,valid,analysis_results/rq1_raw_recompute_20260826/high_density_task_metrics.csv,ok,4,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086.txt,ok,4,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086.txt
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,true,valid,valid,ok,export_label/groudTruth.json,valid,valid,ok,valid,valid,test,,valid,analysis_results/rq1_raw_recompute_20260826/high_density_task_metrics.csv,ok,4,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.txt,ok,4,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.txt
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,B6ByNegPMKs,true,valid,valid,ok,export_label/groudTruth.json,valid,valid,ok,valid,valid,test,,valid,analysis_results/rq1_raw_recompute_20260826/high_density_task_metrics.csv,ok,4,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624.txt,ok,4,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624.txt
UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,true,valid,valid,ok,export_label/groudTruth.json,valid,valid,ok,valid,valid,test,,valid,analysis_results/rq1_raw_recompute_20260826/high_density_task_metrics.csv,ok,10,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.txt,ok,10,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.txt
UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,true,valid,valid,ok,export_label/groudTruth.json,valid,valid,ok,valid,valid,test,,valid,analysis_results/rq1_raw_recompute_20260826/high_density_task_metrics.csv,ok,4,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.txt,ok,4,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.txt
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,true,valid,valid,ok,export_label/groudTruth.json,valid,valid,ok,valid,valid,test,,valid,analysis_results/rq1_raw_recompute_20260826/high_density_task_metrics.csv,ok,4,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.txt,ok,4,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.txt
X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,X7HyMhZNoso,true,valid,valid,ok,export_label/groudTruth.json,valid,valid,ok,valid,valid,test,,valid,analysis_results/rq1_raw_recompute_20260826/high_density_task_metrics.csv,ok,4,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/X7HyMhZNoso_987fd31155514f6facb131bd5c14881d.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/X7HyMhZNoso_987fd31155514f6facb131bd5c14881d.txt,ok,4,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/X7HyMhZNoso_987fd31155514f6facb131bd5c14881d.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/X7HyMhZNoso_987fd31155514f6facb131bd5c14881d.txt
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,true,valid,valid,ok,export_label/groudTruth.json,valid,valid,ok,valid,valid,test,,valid,analysis_results/rq1_raw_recompute_20260826/high_density_task_metrics.csv,ok,10,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15.txt,ok,10,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15.txt
e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,e9zR4mvMWw7,true,valid,valid,ok,export_label/groudTruth.json,valid,valid,ok,valid,valid,test,,valid,analysis_results/rq1_raw_recompute_20260826/high_density_task_metrics.csv,ok,7,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab.txt,ok,8,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab.txt
