image_id,building_id,machine_id,history_layer,pool,review_id,human_scope_raw,human_prelabel_verdict_raw,human_notes_raw,dense42,old214_registry,original_status,original_reason,gt_status,gt_reason,gt_source_type,gt_point_count,hohonet_txt_status,hohonet_txt_reason,hohonet_point_count,hohonet_json_status,hohonet_json_reason,bi_manifest_status,bi_extended_status,bi_extended_reason,bi_enclosed_status,bi_enclosed_reason,bi_split,model_asset_issue_codes,asset_overall_status,image_path,gt_path,hohonet_txt_path,hohonet_json_path,bi_extended_corner_count,bi_extended_corner_path,bi_extended_floor_path,bi_enclosed_corner_count,bi_enclosed_corner_path,bi_enclosed_floor_path
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,7y3sRwLe3Va,M001,no_existing_annotation_record,candidate_remaining_136,,,,,false,false,valid,known_image_signature,valid,ok,official_mp3d_layout_label_cor_raw_not_no_occ,16,valid,ok,16,valid,ok,ok,valid,ok,valid,ok,test,,valid,data/mp3d_layout/test/img/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.png,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.txt,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.txt,output/layout_json/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.json,8,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.txt,9,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.txt
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va,M002,no_existing_annotation_record,candidate_remaining_136,,,,,false,false,valid,known_image_signature,valid,ok,official_mp3d_layout_label_cor_raw_not_no_occ,12,valid,ok,16,valid,ok,ok,valid,ok,valid,ok,test,,valid,data/mp3d_layout/test/img/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.png,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.txt,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.txt,output/layout_json/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.json,14,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.txt,14,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.txt
7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,7y3sRwLe3Va,M003,no_existing_annotation_record,human_reviewed_30,P30-001,in_scope,,,false,false,valid,known_image_signature,valid,ok,official_mp3d_layout_label_cor_raw_not_no_occ,16,valid,ok,16,valid,ok,ok,valid,ok,valid,ok,test,,valid,data/mp3d_layout/test/img/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.png,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.txt,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.txt,output/layout_json/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.json,9,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.txt,9,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.txt
7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,7y3sRwLe3Va,M004,no_existing_annotation_record,candidate_remaining_136,,,,,false,false,valid,known_image_signature,valid,ok,official_mp3d_layout_label_cor_raw_not_no_occ,16,valid,ok,16,valid,ok,ok,valid,ok,valid,ok,test,,valid,data/mp3d_layout/test/img/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.png,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.txt,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.txt,output/layout_json/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.json,15,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.txt,8,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.txt
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,7y3sRwLe3Va,M005,no_existing_annotation_record,candidate_remaining_136,,,,,false,false,valid,known_image_signature,valid,ok,official_mp3d_layout_label_cor_raw_not_no_occ,12,valid,ok,12,valid,ok,ok,valid,ok,valid,ok,test,,valid,data/mp3d_layout/test/img/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.png,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.txt,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.txt,output/layout_json/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.json,6,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.txt,6,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.txt
7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,7y3sRwLe3Va,M006,no_existing_annotation_record,human_reviewed_30,P30-014,in_scope,,,false,false,valid,known_image_signature,valid,ok,official_mp3d_layout_label_cor_raw_not_no_occ,8,valid,ok,8,valid,ok,ok,valid,ok,valid,ok,test,,valid,data/mp3d_layout/test/img/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.png,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.txt,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.txt,output/layout_json/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.json,4,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.txt,4,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.txt
7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e,7y3sRwLe3Va,M007,no_existing_annotation_record,human_reviewed_30,P30-027,out_of_scope,uncertain,,false,false,valid,known_image_signature,valid,ok,official_mp3d_layout_label_cor_raw_not_no_occ,12,valid,ok,20,valid,ok,ok,valid,ok,valid,ok,test,,valid,data/mp3d_layout/test/img/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.png,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.txt,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.txt,output/layout_json/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.json,10,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.txt,10,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.txt
7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,7y3sRwLe3Va,M008,no_existing_annotation_record,candidate_remaining_136,,,,,false,false,valid,known_image_signature,valid,ok,official_mp3d_layout_label_cor_raw_not_no_occ,8,valid,ok,12,valid,ok,ok,valid,ok,valid,ok,test,,valid,data/mp3d_layout/test/img/7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861.png,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861.txt,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861.txt,output/layout_json/7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861.json,9,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861.txt,10,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861.txt
7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a,7y3sRwLe3Va,M009,historical_annotation_record_exists,historical_148,,,,,false,false,valid,known_image_signature,valid,ok,official_mp3d_layout_label_cor_raw_not_no_occ,12,valid,ok,12,valid,ok,ok,valid,ok,valid,ok,test,,valid,data/mp3d_layout/test/img/7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a.png,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a.txt,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a.txt,output/layout_json/7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a.json,6,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a.txt,6,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a.txt
7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187,7y3sRwLe3Va,M010,historical_annotation_record_exists,historical_148,,,,,false,false,valid,known_image_signature,valid,ok,official_mp3d_layout_label_cor_raw_not_no_occ,12,valid,ok,12,valid,ok,ok,valid,ok,valid,ok,test,,valid,data/mp3d_layout/test/img/7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187.png,data/mp3d_layout/test/label_cor/7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187.txt,output/mp3d_layout/HOHO_layout_aug_efficienthc_Transen1_resnet34/7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187.txt,output/layout_json/7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187.json,6,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/corners_1024x512/7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/extended/floor_uv/7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187.txt,6,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/corners_1024x512/7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187.txt,D:/Work/Manhattan_3D/Bi_layout/exports/mp3d_dual_predictions/test/enclosed/floor_uv/7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187.txt
