condition,expert_tag,grade,comparison_status,images,median_people
manual,中等,,historical_tier_unassigned,11,6
manual,困难,,historical_tier_unassigned,10,5.5
manual,困难,difficult_candidate,same_display_order,1,23
manual,简单,,historical_tier_unassigned,8,14.5
manual,简单,medium,different_construct_or_condition,1,20
manual,简单,simple,same_display_order,2,14.5
semi,中等,,historical_tier_unassigned,1,4
semi,中等,simple,different_construct_or_condition,1,4
semi,简单,,historical_tier_unassigned,5,5
semi,简单,simple,same_display_order,1,4
