image_id,expert_tag,comment_json,selection_record_json,display_group,group_comment,source,use
2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,简单,"{""note"": """"}","{""group"": ""G002"", ""image_id"": ""2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59"", ""number"": 2, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""0–8人"", ""difficulty"": ""简单"", ""note"": """", ""legacy_review"": null}",G002,,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,简单,"{""note"": """"}","{""group"": ""G002"", ""image_id"": ""2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94"", ""number"": 3, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""0–8人"", ""difficulty"": ""简单"", ""note"": """", ""legacy_review"": null}",G002,,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,中等,"{""note"": ""这个视角下难标""}","{""group"": ""G002"", ""image_id"": ""2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e"", ""number"": 5, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": ""这个视角下难标"", ""legacy_review"": null}",G002,,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,中等,"{""note"": ""这个视角下难标""}","{""group"": ""G002"", ""image_id"": ""2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371"", ""number"": 10, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": ""这个视角下难标"", ""legacy_review"": null}",G002,,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881,中等,"{""note"": """"}","{""group"": ""G002"", ""image_id"": ""2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881"", ""number"": 17, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G002,,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040"", ""number"": 9, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861"", ""number"": 11, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b"", ""number"": 16, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f"", ""number"": 19, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,简单,"{""note"": """"}","{""group"": ""G036"", ""image_id"": ""B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993"", ""number"": 33, ""selection"": ""采用"", ""collection"": ""仅复用历史"", ""role"": ""待定"", ""target_band"": ""未定"", ""difficulty"": ""简单"", ""note"": """", ""legacy_review"": null}",G036,这图反而比我想象中的歧义要大,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
