image_id,condition,grade_v1,status_v1,review_draft_grade,review_draft_reason,review_status,reviewed_grade,n_observed,n_valid,n_excluded
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,,insufficient_people,,too_few_valid_people,not_provided,,3,3,0
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,,insufficient_people,,too_few_valid_people,not_provided,,3,3,0
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,,insufficient_people,,too_few_valid_people,not_provided,,1,1,0
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,,limited_horizon_or_order_sensitive,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,not_provided,,5,5,0
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,simple,assigned_observed_early,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,not_provided,,24,24,0
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,difficult_candidate,assigned_observed_fragmentation_and_change,,singleton_rich_boundary;not_automatically_difficult,not_provided,,24,24,0
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,,limited_horizon_or_order_sensitive,,short_horizon_or_unconfirmed_multi_pattern,not_provided,,5,5,0
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,,limited_horizon_or_order_sensitive,,short_horizon_or_unconfirmed_multi_pattern,not_provided,,6,6,0
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,,limited_horizon_or_order_sensitive,,short_horizon_or_unconfirmed_multi_pattern,not_provided,,6,6,0
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,simple,assigned_observed_early,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,not_provided,,4,4,0
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,,limited_horizon_or_order_sensitive,,short_horizon_or_unconfirmed_multi_pattern,not_provided,,5,5,0
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,,limited_horizon_or_order_sensitive,,short_horizon_or_unconfirmed_multi_pattern,not_provided,,4,4,0
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,,limited_horizon_or_order_sensitive,,short_horizon_or_unconfirmed_multi_pattern,not_provided,,5,5,0
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,,limited_horizon_or_order_sensitive,,short_horizon_or_unconfirmed_multi_pattern,not_provided,,5,5,0
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,,limited_horizon_or_order_sensitive,,short_horizon_or_unconfirmed_multi_pattern,not_provided,,5,5,0
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,,order_sensitive_or_other_trajectory,,order_partition_or_count_boundary,not_provided,,24,24,0
