image_id,condition,building,n_observed,n_valid,n_excluded,total_clusters,supported_clusters,singletons,singleton_share,supported_share,largest_share,point_count_disagreement,within_cluster_median,sizes_descending,min_supported_loo_jaccard,max_cross_compatible_share,weakly_separated_supported_pair,min_sub80_jaccard,review_draft_grade,review_draft_reason,full_p_by_8,core10_p_by_19,full_tail_no_gate,core_tail_10,late_quarter_new,late_half_new,late_quarter_structure,late_quarter_repartition,half_tv_all,half_tv_core,grade_v1,status_v1,cut,doubletons,effective_modes_simpson,entropy_bits,good_turing_missing_mass_proxy,chao_coverage_proxy,isolated_singletons,assignment_singletons_with_compatible_peer,supported_point_counts,source_split,scene_category,scene_source,main_space_raw,main_space_safe,main_space_source,main_space_basis,main_space_human,main_space_human_source,fine_human,fine_ai,doorway,room_id,room_status,floor_boundary,ceiling_boundary,corner_occlusion,connected_space,reflection_glass,low_contrast,floor_boundary_recheck,ceiling_boundary_recheck,corner_occlusion_recheck,connected_space_recheck,reflection_glass_recheck,low_contrast_recheck,resolution_rechecked,main_sleep,main_bathroom,main_kitchen,main_dining,main_living,main_work,main_circulation,main_storage,main_special,main_empty,position_entrance,position_window,position_edge,position_stair_landing,position_shower_interior,position_bath_tub,position_washing,position_mirrored,position_glass,position_fireplace,position_empty,position_shared_focus,main_semantic_key,main_function_primary,main_function_primary_source,review_status,reviewed_grade,full_requested8_exceeds_n,core_requested19_exceeds_n
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,2t7WUuJeko7,3,3,0,1,1,0,0,1,1,0,0.0179958424951,3,1,0,False,,,too_few_valid_people,,,,,,,,,,,,insufficient_people,,,,,,,,,,valid,通行与连接,早期争议复核导出.user_type,彩玻前门内狭长前厅,彩玻前门内狭长前厅,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室|用餐|通行,否,supported_component:2t7WUuJeko7_27af7fd637014142a4f530cfd4557189,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,2t7WUuJeko7,3,3,0,1,1,0,0,1,1,0,0.065568976242,3,1,0,False,,,too_few_valid_people,,,,,,,,,,,,insufficient_people,,,,,,,,,,valid,卧室,早期争议复核导出.user_type,条纹墙纸卧室,条纹墙纸卧室,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室,否,supported_component:2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,supported_component,partial,present,present,present,unknown,absent,partial,present,present,present,unknown,absent,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sleep,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,2t7WUuJeko7,1,1,0,1,0,1,1,0,1,,,1,,0,False,,,too_few_valid_people,,,,,,,,,,,,insufficient_people,,,,,,,,,,valid,卧室,早期争议复核导出.user_type,花纹墙纸卧室床与帘封凹口,花纹墙纸卧室床与帘封凹口,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室,否,supported_component:2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,supported_component,partial,present,present,present,unknown,absent,partial,present,present,present,unknown,absent,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sleep,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,7y3sRwLe3Va,5,5,0,2,1,1,0.2,0.8,0.8,0.4,0.0626401137484,4;1,1,0,False,1,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,0.82,1,0,0.505,0.1775,0.21,0.1775,0,0.237,0,,limited_horizon_or_order_sensitive,,,,,,,,,,test,开放复合空间,后续41图亲审.current_classification.coarse_type,岛台厨房,岛台厨房,AI_new_spatial_review,new_original,厨房＋起居；厨房为主,后续41图亲审.current_classification.focus,厨房、起居,厨房|用餐,否,supported_component:7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kitchen,kitchen,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,7y3sRwLe3Va,24,24,0,1,1,0,0,1,1,0,0.022511757592,24,1,0,False,1,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,1,1,1,1,0,0,0,0,0,0,simple,assigned_observed_early,,,,,,,,,,test,复合／待定,早期争议复核导出.user_type,带外门的过渡小间,带外门的过渡小间,AI_new_spatial_review,carried_visual_record,,未有人工作答,,储藏家务|通行,否,unresolved:7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,not_in_supported_component,present,present,absent,present,present,absent,present,present,absent,present,present,absent,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,False,False
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,7y3sRwLe3Va,24,24,0,7,2,5,0.208333333333,0.791666666667,0.708333333333,0.235507246377,0.0227007242427,17;2;1;1;1;1;1,1,0,False,1,,singleton_rich_boundary;not_automatically_difficult,0,0.61,0.315,0.765,0.228333333333,0.239166666667,0.0450000000001,0,0.16625,0.0561540309106,difficult_candidate,assigned_observed_fragmentation_and_change,,,,,,,,,,test,通行与连接,早期争议复核导出.user_type,卧室门外公共走廊,卧室门外公共走廊,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室|通行,否,supported_component:7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,supported_component,present,present,absent,present,unknown,absent,present,present,absent,present,unknown,absent,False,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sleep+circulation,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,False,False
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,7y3sRwLe3Va,5,5,0,4,1,3,0.6,0.4,0.4,0.4,0,2;1;1;1,1,0,False,,,short_horizon_or_unconfirmed_multi_pattern,0,0.635,0,0.075,0.6625,0.691666666667,0.2175,0,0.471,0.28,,limited_horizon_or_order_sensitive,,,,,,,,,,test,通行与连接,早期争议复核导出.user_type,楼梯挑空栏杆平台,楼梯挑空栏杆平台,AI_new_spatial_review,carried_visual_record,,未有人工作答,,通行,否,supported_component:7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,supported_component,present,present,absent,present,unknown,absent,present,present,absent,present,unknown,absent,False,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,circulation,circulation,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,7y3sRwLe3Va,6,6,0,5,1,4,0.666666666667,0.333333333333,0.333333333333,0.6,0.0871720435997,2;1;1;1;1,1,0,False,,,short_horizon_or_unconfirmed_multi_pattern,0,0.695,0,0.21,0.7175,0.736666666667,0,0,0.4025,0.205,,limited_horizon_or_order_sensitive,,,,,,,,,,test,开放复合空间,后续41图亲审.current_classification.coarse_type,长餐桌区及厨房开口,长餐桌区及厨房开口,AI_new_spatial_review,carried_visual_record,餐饮＋厨房；餐饮为主,后续41图亲审.current_classification.focus,餐饮、厨房,厨房|用餐,确认,unresolved:7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,not_in_supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kitchen+dining,dining,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,7y3sRwLe3Va,6,6,0,3,1,2,0.333333333333,0.666666666667,0.666666666667,0.6,0.0177253478985,4;1;1,1,0,False,1,,short_horizon_or_unconfirmed_multi_pattern,0.665,1,0,0.86,0.345,0.368333333333,0.345,0,0.230833333333,0,,limited_horizon_or_order_sensitive,,,,,,,,,,test,开放复合空间,后续41图亲审.current_classification.coarse_type,壁炉沙发起居区,壁炉沙发起居区,AI_new_spatial_review,new_original,起居＋厨房；起居为主,后续41图亲审.current_classification.focus,起居、厨房,用途不明|起居休闲|通行,否,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,living,living,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,7y3sRwLe3Va,4,4,0,1,1,0,0,1,1,0,0,4,1,0,False,1,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,1,1,1,1,0,0,0,0,0,0,simple,assigned_observed_early,,,,,,,,,,test,开放复合空间,后续41图亲审.current_classification.coarse_type,壁炉沙发起居区,壁炉沙发起居区,AI_new_spatial_review,new_original,起居＋厨房；起居为主,后续41图亲审.current_classification.focus,起居、厨房,用途不明|起居休闲|通行,否,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,living,living,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True
