id,code,image_id,worker,condition,stage,block,exposure,excluded_worker,pointset_available,raw_count,effective_count,processing_status,imputed_point,split_available,bound_available,role_source,role_status,n_top,n_bottom,pairing_source,exact_x_ties,near_x_gaps_le1px,minimum_role_x_gap_px,paired_role_order_inversion,pair_cost_px,second_pair_cost_px,pair_margin_px
0054e620b22551b8,q9vSo1VnCiC-32,q9vSo1VnCiC_e74e843601574864a14517f990c748a0,W015,manual,P1,0,none,False,True,8,8,unchanged,False,True,True,horizon_255_5_conditional_roles,available_conditionally,4,4,conditional_unique_x_assignment,0,0,166.054054054,False,7.90733590734,inf,inf
006d495cbff76f46e992,uNb9QFRL6hY-45,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,W011,manual,C1,0,none,False,True,8,8,unchanged,False,True,True,horizon_255_5_conditional_roles,available_conditionally,4,4,conditional_unique_x_assignment,0,0,170.621606027,False,9.77128140241,inf,inf
00a98959a0e8cc08,7y3sRwLe3Va-12,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,W019,oos,P1,0,none,True,False,6,6,unchanged,False,False,False,not_pointset_eligible,,,,,,,,,,,
00c60f620f2c87cd54da,VFuaQ6m2Qom-07,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,W032,manual,C2-B,0,none,False,True,24,24,unchanged,False,True,True,horizon_255_5_conditional_roles,available_conditionally,12,12,conditional_unique_x_assignment,0,0,5.41739603324,False,4.57142857143,15.4062206379,10.8347920665
00c9c0032b86bbcb,uNb9QFRL6hY-56,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,W031,semi,P1,0,model_preannotation,False,True,10,10,unchanged,False,True,True,horizon_255_5_conditional_roles,available_conditionally,5,5,conditional_unique_x_assignment,0,0,88.956064373,False,16.3692223231,inf,inf
00df94cb0e7cc21280ba,uNb9QFRL6hY-50,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,W028,manual,C1,0,none,False,True,14,14,unchanged,False,True,True,horizon_255_5_conditional_roles,available_conditionally,7,7,conditional_unique_x_assignment,0,2,0.163578267014,False,0,0.327156534028,0.327156534028
00e1f0475f32cb49,X7HyMhZNoso-13,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,W013,manual,P1,0,none,False,True,8,8,unchanged,False,True,True,horizon_255_5_conditional_roles,available_conditionally,4,4,conditional_unique_x_assignment,0,0,184.504504505,False,10.1975703927,inf,inf
01111484ace4b94e,B6ByNegPMKs-11,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,W031,manual,P1,0,none,False,True,8,8,unchanged,False,True,True,horizon_255_5_conditional_roles,available_conditionally,4,4,conditional_unique_x_assignment,0,0,29.7933813804,False,1.8774522513,60.260442027,58.3829897757
012915d009824af0,q9vSo1VnCiC-23,q9vSo1VnCiC_c421f07780004647a7198c4ac5371e8a,W013,manual,P1,0,none,False,True,8,8,unchanged,False,True,True,horizon_255_5_conditional_roles,available_conditionally,4,4,conditional_unique_x_assignment,0,0,214.860808452,False,17.267110042,inf,inf
013253d9bc0db4d66615,UwV83HsGsw3-12,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,W034,semi,C1,0,model_preannotation,False,True,8,8,unchanged,False,True,True,horizon_255_5_conditional_roles,available_conditionally,4,4,conditional_unique_x_assignment,0,0,154.137495239,False,4.85406933816,inf,inf
014b4e58073b849f7ed9,wc2JMjhGNzB-53,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,W002,manual,C1,0,none,False,True,16,16,unchanged,False,True,True,horizon_255_5_conditional_roles,available_conditionally,8,8,conditional_unique_x_assignment,0,0,1.97,False,0,3.94,3.94
015eb3a11d385beb,rPc6DW4iMge-17,rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,W010,semi,P1,0,model_preannotation,False,True,14,14,unchanged,False,True,True,horizon_255_5_conditional_roles,available_conditionally,7,7,conditional_unique_x_assignment,0,0,75,False,3.91242107352,inf,inf
