base_task_id,building_id,dataset_group,n,distance,corners_mean,corners_sd,occlusion_share,trivial_share,median_active_seconds,time_n
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,C1_core_all,5,0.0502793613351527,4.4,0.8944271909999159,1.0,0.0,81.0,5
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,C1_core_all,5,0.278789299680412,4.4,0.894427190999916,0.2,0.4,79.0,5
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,C1_core_all,6,0.3407983636888568,5.0,1.0954451150103321,0.8333333333333334,0.16666666666666666,122.0,5
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,C1_core_all,6,0.1023869760431406,5.0,1.6733200530681511,0.6666666666666666,0.3333333333333333,90.0,5
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,C1_core_all,5,0.1255830120492959,8.8,1.7888543819998317,1.0,0.0,296.0,4
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,C1_core_all,5,0.2433315103139497,4.8,1.7888543819998317,0.0,0.8,191.0,5
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,C1_core_all,5,0.1089313014920743,4.0,0.0,0.8,0.2,48.0,5
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,C1_core_all,5,0.0766774539121806,5.8,0.44721359549995804,1.0,0.0,139.5,4
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,C1_core_all,5,0.2870221197228185,4.4,0.8944271909999159,0.4,0.2,232.0,4
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,C1_core_all,5,0.046903693520809,4.0,0.0,0.8,0.2,364.0,5
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,C1_core_all,6,0.2343107821455175,4.166666666666667,0.40824829046386313,0.16666666666666666,0.3333333333333333,180.0,5
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,B6ByNegPMKs,C1_core_all,5,0.3047540996409701,8.6,2.6076809620810595,0.6,0.2,161.0,5
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,C1_core_all,6,0.2363832747427556,4.0,0.0,0.0,0.0,150.0,5
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,B6ByNegPMKs,C1_core_all,5,0.1378130561497573,4.0,0.0,0.8,0.0,29.0,5
UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,UwV83HsGsw3,C1_core_all,5,0.0877643995131129,4.2,0.44721359549995804,0.6,0.0,60.0,5
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,UwV83HsGsw3,C1_core_all,6,0.1606708748273438,5.0,0.8944271909999157,0.8333333333333334,0.16666666666666666,59.0,4
UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,UwV83HsGsw3,C1_core_all,5,0.1266162646191029,6.2,1.4832396974191326,0.6,0.2,435.0,5
UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,UwV83HsGsw3,C1_anchor_all,23,0.0441875928212912,4.086956521739131,0.41702882811414954,0.782608695652174,0.21739130434782608,160.0,21
UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3,C1_core_all,5,0.1257290526448701,4.8,1.0954451150103321,0.8,0.2,117.0,5
X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,X7HyMhZNoso,C1_core_all,5,0.2201471979591517,4.4,0.894427190999916,0.8,0.2,138.0,5
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,C1_core_all,5,0.0583351806556764,6.8,1.7888543819998317,0.6,0.4,160.5,4
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,Z6MFQCViBuw,C1_core_all,5,0.0787709110584558,4.0,0.0,0.8,0.0,151.0,5
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,C1_core_all,5,0.0652941561591335,4.0,0.0,0.8,0.0,54.5,4
Z6MFQCViBuw_59aed460238643f48f593e9b9ba1c17d,Z6MFQCViBuw,C1_core_all,5,0.058569063597924,4.0,0.0,1.0,0.0,60.0,5
b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,b8cTxDM8gDG,C1_core_all,5,0.0444685183920289,5.6,0.8944271909999159,0.6,0.4,189.0,5
b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,b8cTxDM8gDG,C1_core_all,6,0.308700152550024,4.0,0.0,0.6666666666666666,0.16666666666666666,89.0,5
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,e9zR4mvMWw7,C1_core_all,6,0.0455295599143989,4.0,0.0,0.16666666666666666,0.8333333333333334,99.0,5
e9zR4mvMWw7_1d316dfbe35f41dd9203eaf88be5aae8,e9zR4mvMWw7,C1_core_all,6,0.1449810430210382,4.0,0.0,0.3333333333333333,0.6666666666666666,46.0,5
e9zR4mvMWw7_4273c4dd97974531b5256f96204fee47,e9zR4mvMWw7,C1_core_all,6,0.1036503176099292,4.0,0.0,0.8333333333333334,0.16666666666666666,55.0,5
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,q9vSo1VnCiC,C1_core_all,5,0.0690379794220596,4.0,0.0,0.8,0.2,228.0,5
q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,C1_core_all,5,0.2205388475095892,4.4,0.8944271909999159,0.8,0.2,280.5,4
q9vSo1VnCiC_830eb252ae01401a8fe55f9538e627dd,q9vSo1VnCiC,C1_core_all,5,0.0420612903028316,4.0,0.0,1.0,0.0,54.0,5
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,q9vSo1VnCiC,C1_core_all,6,0.0357571176283288,4.0,0.0,1.0,0.0,80.0,5
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,q9vSo1VnCiC,C1_core_all,5,0.0746430761557746,4.2,0.44721359549995787,0.4,0.4,95.0,5
q9vSo1VnCiC_c4b0b6a41c2a4db3927f5fa9cafb6345,q9vSo1VnCiC,C1_core_all,6,0.2004398422099151,4.0,0.0,0.6666666666666666,0.3333333333333333,91.0,5
q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,q9vSo1VnCiC,C1_core_all,5,0.0407613536703165,4.2,0.4472135954999579,0.2,0.8,100.5,4
q9vSo1VnCiC_f7452776f0604b508bb2b0263238deb0,q9vSo1VnCiC,C1_core_all,5,0.0783070589412039,4.4,0.8944271909999159,0.8,0.2,93.0,5
rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,rPc6DW4iMge,C1_anchor_all,23,0.0286577378211824,4.086956521739131,0.2881040655200304,0.34782608695652173,0.6521739130434783,123.0,21
rPc6DW4iMge_0dfe61800cc540db8e25c1738bc4b8ff,rPc6DW4iMge,C1_core_all,5,0.1157154695393017,9.0,4.58257569495584,1.0,0.0,226.0,4
rPc6DW4iMge_4350d36797324601adba7351d09602d2,rPc6DW4iMge,C1_core_all,5,0.0338540169504586,4.0,0.0,0.2,0.8,96.0,4
rPc6DW4iMge_9d3eb9f5d38844bfb4e5fb2cd05fd3fd,rPc6DW4iMge,C1_anchor_all,23,0.0658769585889625,4.086956521739131,0.41702882811414954,0.8695652173913043,0.13043478260869565,116.0,21
rPc6DW4iMge_a72230c911234d18b08568b9d8b02dd2,rPc6DW4iMge,C1_core_all,6,0.0656007510295191,6.333333333333333,0.8164965809277259,1.0,0.0,42.0,5
uNb9QFRL6hY_1096f195d3294cefa462add5ab0c342e,uNb9QFRL6hY,C1_anchor_all,23,0.0645711121611318,4.0,0.0,0.8695652173913043,0.13043478260869565,79.0,21
uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,uNb9QFRL6hY,C1_anchor_all,23,0.1422050573722932,7.130434782608695,1.423962072595237,0.9130434782608695,0.08695652173913043,204.0,21
uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,uNb9QFRL6hY,C1_core_all,5,0.1291253718024548,6.6,1.949358868961793,0.6,0.4,102.0,5
uNb9QFRL6hY_6115ed700b5144cfa3443346381cb7cd,uNb9QFRL6hY,C1_core_all,5,0.2669872625129462,5.8,1.0954451150103321,0.6,0.2,106.0,5
uNb9QFRL6hY_6a500a9a43a340eb817c58bb084327fe,uNb9QFRL6hY,C1_core_all,5,0.138384075068775,5.6,2.1908902300206643,0.4,0.4,140.0,5
uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,uNb9QFRL6hY,C1_core_all,6,0.0927690526505209,4.0,0.0,0.0,0.8333333333333334,53.0,5
uNb9QFRL6hY_748279b5d6e740c4b2cba9fc78d6fc62,uNb9QFRL6hY,C1_core_all,5,0.0456403329971139,4.2,0.4472135954999579,0.8,0.2,124.0,5
uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,uNb9QFRL6hY,C1_core_all,5,0.0897851241125417,4.0,0.0,0.6,0.4,211.0,5
uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,uNb9QFRL6hY,C1_anchor_all,23,0.1089534034938548,5.0,1.1281521496355322,0.6521739130434783,0.30434782608695654,70.5,20
uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,uNb9QFRL6hY,C1_anchor_all,23,0.147938704591291,6.565217391304348,1.7274807447031524,0.782608695652174,0.08695652173913043,104.0,21
uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,uNb9QFRL6hY,C1_core_all,6,0.1408221335223795,4.666666666666667,1.632993161855452,1.0,0.0,226.0,5
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,uNb9QFRL6hY,C1_core_all,6,0.0188100368244652,4.0,0.0,0.0,1.0,34.0,5
uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY,C1_anchor_all,23,0.1216597473638042,7.956521739130435,1.718304155253218,0.7391304347826086,0.17391304347826086,194.0,21
uNb9QFRL6hY_c6410f47ad754d6cbd890ba7dff8b449,uNb9QFRL6hY,C1_core_all,5,0.0713871389857454,6.6,2.1908902300206643,0.4,0.4,181.0,5
uNb9QFRL6hY_ca08ebfb2da647f68db41630637e400b,uNb9QFRL6hY,C1_core_all,5,0.1429687520907762,4.2,0.44721359549995787,0.0,0.6,207.0,5
uNb9QFRL6hY_cdca0a1a2fc343bb94bacdc3045b2d8d,uNb9QFRL6hY,C1_core_all,5,0.0939748164850242,3.6,0.8944271909999159,0.4,0.6,134.5,4
uNb9QFRL6hY_ce88ee8b7ee84fca92c13ab16599d90e,uNb9QFRL6hY,C1_core_all,5,0.1942773902993518,4.8,0.8366600265340755,0.8,0.2,152.0,5
uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,uNb9QFRL6hY,C1_core_all,5,0.0220333239927268,4.0,0.0,0.2,0.8,71.5,4
uNb9QFRL6hY_f7944295a76541b186e6a557ebdbba14,uNb9QFRL6hY,C1_core_all,5,0.1770786574701908,5.4,1.3416407864998738,0.6,0.2,89.0,5
uNb9QFRL6hY_fd8d4da92ec14b668ed3d2986616bd14,uNb9QFRL6hY,C1_core_all,5,0.159935737571713,7.8,1.788854381999832,0.8,0.0,136.5,4
wc2JMjhGNzB_03c1aca95e254bf4b0db303a28d79aee,wc2JMjhGNzB,C1_core_all,5,0.0717215666276732,4.4,0.8944271909999157,0.8,0.2,146.0,4
wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,wc2JMjhGNzB,C1_core_all,5,0.1647403133953243,5.0,1.7320508075688774,0.8,0.0,200.0,5
wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB,C1_core_all,6,0.247412169524694,7.5,2.16794833886788,1.0,0.0,258.0,5
wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,wc2JMjhGNzB,C1_core_all,6,0.0502319689999125,7.5,2.3452078799117144,1.0,0.0,227.0,5
wc2JMjhGNzB_9087f0358178420a8b9ac7b17a8919c7,wc2JMjhGNzB,C1_core_all,7,0.0362230554505679,5.428571428571429,0.9759000729485331,0.5714285714285714,0.42857142857142855,86.0,5
