schema_version,stage,reserve_rank,base_task_id,candidate_population_sha256,population_count,sampling_seed,sampling_algorithm,python_version,selection_status
paper_a_reference_conflict_spot_check_reserve_v2,C1,1,q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,d529b2f208af48b58430b65229fc8d15c163c643ca6addab27cbfde5448a6010,79,20260805,python_random.Random(seed).shuffle(sorted(unique_task_ids)),3.11.7,frozen_reserve_order
paper_a_reference_conflict_spot_check_reserve_v2,C1,2,wc2JMjhGNzB_c7c84bf01a834489ad11d8450a7dc2bc,d529b2f208af48b58430b65229fc8d15c163c643ca6addab27cbfde5448a6010,79,20260805,python_random.Random(seed).shuffle(sorted(unique_task_ids)),3.11.7,frozen_reserve_order
paper_a_reference_conflict_spot_check_reserve_v2,C1,3,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,d529b2f208af48b58430b65229fc8d15c163c643ca6addab27cbfde5448a6010,79,20260805,python_random.Random(seed).shuffle(sorted(unique_task_ids)),3.11.7,frozen_reserve_order
paper_a_reference_conflict_spot_check_reserve_v2,C1,4,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,d529b2f208af48b58430b65229fc8d15c163c643ca6addab27cbfde5448a6010,79,20260805,python_random.Random(seed).shuffle(sorted(unique_task_ids)),3.11.7,frozen_reserve_order
paper_a_reference_conflict_spot_check_reserve_v2,C1,5,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,d529b2f208af48b58430b65229fc8d15c163c643ca6addab27cbfde5448a6010,79,20260805,python_random.Random(seed).shuffle(sorted(unique_task_ids)),3.11.7,frozen_reserve_order
paper_a_reference_conflict_spot_check_reserve_v2,C1,6,Z6MFQCViBuw_2008e72476f84104858e908beeac0193,d529b2f208af48b58430b65229fc8d15c163c643ca6addab27cbfde5448a6010,79,20260805,python_random.Random(seed).shuffle(sorted(unique_task_ids)),3.11.7,frozen_reserve_order
paper_a_reference_conflict_spot_check_reserve_v2,C1,7,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,d529b2f208af48b58430b65229fc8d15c163c643ca6addab27cbfde5448a6010,79,20260805,python_random.Random(seed).shuffle(sorted(unique_task_ids)),3.11.7,frozen_reserve_order
paper_a_reference_conflict_spot_check_reserve_v2,C1,8,b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,d529b2f208af48b58430b65229fc8d15c163c643ca6addab27cbfde5448a6010,79,20260805,python_random.Random(seed).shuffle(sorted(unique_task_ids)),3.11.7,frozen_reserve_order
paper_a_reference_conflict_spot_check_reserve_v2,C1,9,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,d529b2f208af48b58430b65229fc8d15c163c643ca6addab27cbfde5448a6010,79,20260805,python_random.Random(seed).shuffle(sorted(unique_task_ids)),3.11.7,frozen_reserve_order
paper_a_reference_conflict_spot_check_reserve_v2,C1,10,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,d529b2f208af48b58430b65229fc8d15c163c643ca6addab27cbfde5448a6010,79,20260805,python_random.Random(seed).shuffle(sorted(unique_task_ids)),3.11.7,frozen_reserve_order
paper_a_reference_conflict_spot_check_reserve_v2,C1,11,UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,d529b2f208af48b58430b65229fc8d15c163c643ca6addab27cbfde5448a6010,79,20260805,python_random.Random(seed).shuffle(sorted(unique_task_ids)),3.11.7,frozen_reserve_order
paper_a_reference_conflict_spot_check_reserve_v2,C1,12,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,d529b2f208af48b58430b65229fc8d15c163c643ca6addab27cbfde5448a6010,79,20260805,python_random.Random(seed).shuffle(sorted(unique_task_ids)),3.11.7,frozen_reserve_order
paper_a_reference_conflict_spot_check_reserve_v2,C1,13,uNb9QFRL6hY_a372582c11864f31a9dd174e4a0ae6ad,d529b2f208af48b58430b65229fc8d15c163c643ca6addab27cbfde5448a6010,79,20260805,python_random.Random(seed).shuffle(sorted(unique_task_ids)),3.11.7,frozen_reserve_order
