stage,condition,building_id,worker_id,record_count,image_count,strict_geometry_count,complete_active_time_count
C1,manual,7y3sRwLe3Va,1,2,2,2,2
C1,manual,7y3sRwLe3Va,10,2,2,2,2
C1,manual,7y3sRwLe3Va,11,2,2,2,2
C1,manual,7y3sRwLe3Va,12,2,2,2,2
C1,manual,7y3sRwLe3Va,13,1,1,1,1
C1,manual,7y3sRwLe3Va,14,1,1,1,0
C1,manual,7y3sRwLe3Va,15,2,2,2,2
C1,manual,7y3sRwLe3Va,17,1,1,1,1
C1,manual,7y3sRwLe3Va,18,1,1,1,1
C1,manual,7y3sRwLe3Va,2,2,2,2,2
C1,manual,7y3sRwLe3Va,27,2,2,2,2
C1,manual,7y3sRwLe3Va,28,2,2,2,2
C1,manual,7y3sRwLe3Va,29,2,2,2,2
C1,manual,7y3sRwLe3Va,30,2,2,2,2
C1,manual,7y3sRwLe3Va,31,3,3,3,2
C1,manual,7y3sRwLe3Va,32,2,2,2,2
C1,manual,7y3sRwLe3Va,33,2,2,2,2
C1,manual,7y3sRwLe3Va,34,3,3,3,1
C1,manual,7y3sRwLe3Va,35,1,1,1,1
C1,manual,7y3sRwLe3Va,36,2,2,2,2
C1,manual,7y3sRwLe3Va,37,2,2,2,2
C1,manual,7y3sRwLe3Va,6,2,2,2,2
C1,manual,7y3sRwLe3Va,8,1,1,1,1
C1,manual,B6ByNegPMKs,1,1,1,1,1
C1,manual,B6ByNegPMKs,10,1,1,1,1
C1,manual,B6ByNegPMKs,11,1,1,1,1
C1,manual,B6ByNegPMKs,12,1,1,1,1
C1,manual,B6ByNegPMKs,13,2,2,2,2
C1,manual,B6ByNegPMKs,14,2,2,2,0
C1,manual,B6ByNegPMKs,15,1,1,1,1
C1,manual,B6ByNegPMKs,17,1,1,1,1
C1,manual,B6ByNegPMKs,18,1,1,1,1
C1,manual,B6ByNegPMKs,2,1,1,1,1
C1,manual,B6ByNegPMKs,27,2,2,2,2
C1,manual,B6ByNegPMKs,28,2,2,2,2
C1,manual,B6ByNegPMKs,29,2,2,2,2
C1,manual,B6ByNegPMKs,30,1,1,1,1
C1,manual,B6ByNegPMKs,31,1,1,1,1
C1,manual,B6ByNegPMKs,32,1,1,1,1
C1,manual,B6ByNegPMKs,33,1,1,1,1
C1,manual,B6ByNegPMKs,34,3,3,3,2
C1,manual,B6ByNegPMKs,35,2,2,2,2
C1,manual,B6ByNegPMKs,36,2,2,2,2
C1,manual,B6ByNegPMKs,37,1,1,1,1
C1,manual,B6ByNegPMKs,6,1,1,1,1
C1,manual,B6ByNegPMKs,8,1,1,1,1
C1,manual,UwV83HsGsw3,1,3,3,3,2
C1,manual,UwV83HsGsw3,10,2,2,2,2
C1,manual,UwV83HsGsw3,11,2,2,2,1
C1,manual,UwV83HsGsw3,12,2,2,2,2
C1,manual,UwV83HsGsw3,13,2,2,2,2
C1,manual,UwV83HsGsw3,14,2,2,2,0
C1,manual,UwV83HsGsw3,15,2,2,2,2
C1,manual,UwV83HsGsw3,17,2,2,2,2
C1,manual,UwV83HsGsw3,18,3,3,3,3
C1,manual,UwV83HsGsw3,2,2,2,1,2
C1,manual,UwV83HsGsw3,27,2,2,2,2
C1,manual,UwV83HsGsw3,28,2,2,2,2
C1,manual,UwV83HsGsw3,29,2,2,2,2
C1,manual,UwV83HsGsw3,30,3,3,3,3
C1,manual,UwV83HsGsw3,31,3,3,2,1
C1,manual,UwV83HsGsw3,32,2,2,2,1
C1,manual,UwV83HsGsw3,33,2,2,2,2
C1,manual,UwV83HsGsw3,34,2,2,2,0
C1,manual,UwV83HsGsw3,35,2,2,2,2
C1,manual,UwV83HsGsw3,36,2,2,2,2
C1,manual,UwV83HsGsw3,37,2,2,2,2
C1,manual,UwV83HsGsw3,6,2,2,2,2
C1,manual,UwV83HsGsw3,8,2,2,2,2
C1,manual,X7HyMhZNoso,11,1,1,1,1
C1,manual,X7HyMhZNoso,15,1,1,1,1
C1,manual,X7HyMhZNoso,17,1,1,1,1
C1,manual,X7HyMhZNoso,31,1,1,1,1
C1,manual,X7HyMhZNoso,32,1,1,1,1
C1,manual,X7HyMhZNoso,33,1,1,1,1
C1,manual,X7HyMhZNoso,34,1,1,1,0
C1,manual,X7HyMhZNoso,37,1,1,1,1
C1,manual,X7HyMhZNoso,6,1,1,1,1
C1,manual,X7HyMhZNoso,8,1,1,1,1
C1,manual,Z6MFQCViBuw,1,1,1,1,1
C1,manual,Z6MFQCViBuw,10,1,1,1,1
C1,manual,Z6MFQCViBuw,11,1,1,1,1
C1,manual,Z6MFQCViBuw,12,1,1,1,1
C1,manual,Z6MFQCViBuw,15,1,1,1,1
C1,manual,Z6MFQCViBuw,17,1,1,1,1
C1,manual,Z6MFQCViBuw,2,1,1,1,1
C1,manual,Z6MFQCViBuw,30,1,1,1,1
C1,manual,Z6MFQCViBuw,31,1,1,1,1
C1,manual,Z6MFQCViBuw,32,1,1,1,1
C1,manual,Z6MFQCViBuw,33,1,1,1,1
C1,manual,Z6MFQCViBuw,34,1,1,1,0
C1,manual,Z6MFQCViBuw,37,1,1,1,1
C1,manual,Z6MFQCViBuw,6,1,1,1,1
C1,manual,Z6MFQCViBuw,8,1,1,1,1
C1,manual,b8cTxDM8gDG,10,1,1,1,1
C1,manual,b8cTxDM8gDG,13,1,1,1,1
C1,manual,b8cTxDM8gDG,14,1,1,1,0
C1,manual,b8cTxDM8gDG,18,1,1,1,1
C1,manual,b8cTxDM8gDG,27,1,1,1,0
C1,manual,b8cTxDM8gDG,28,1,1,1,1
C1,manual,b8cTxDM8gDG,29,1,1,1,1
C1,manual,b8cTxDM8gDG,31,1,1,1,1
C1,manual,b8cTxDM8gDG,34,1,1,1,1
C1,manual,b8cTxDM8gDG,35,1,1,1,1
C1,manual,b8cTxDM8gDG,36,1,1,1,1
C1,manual,e9zR4mvMWw7,1,1,1,1,1
