image_id,building,source_split,scene_category,scene_source,main_space_raw,main_space_safe,main_space_source,main_space_basis,main_space_human,main_space_human_source,fine_human,fine_ai,doorway,room_id,room_status,floor_boundary,ceiling_boundary,corner_occlusion,connected_space,reflection_glass,low_contrast,floor_boundary_recheck,ceiling_boundary_recheck,corner_occlusion_recheck,connected_space_recheck,reflection_glass_recheck,low_contrast_recheck,resolution_rechecked,main_sleep,main_bathroom,main_kitchen,main_dining,main_living,main_work,main_circulation,main_storage,main_special,main_empty,position_entrance,position_window,position_edge,position_stair_landing,position_shower_interior,position_bath_tub,position_washing,position_mirrored,position_glass,position_fireplace,position_empty,position_shared_focus,main_semantic_key,main_function_primary,main_function_primary_source
2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,2t7WUuJeko7,valid,卧室,早期争议复核导出.user_type,花纹墙纸卧室全体,花纹墙纸卧室全体,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室,否,supported_component:2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,supported_component,partial,present,present,present,unknown,absent,partial,present,present,present,present,absent,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sleep,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics
2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,2t7WUuJeko7,valid,厨房与用餐,早期争议复核导出.user_type,老式炉灶与白色橱柜厨房,老式炉灶与白色橱柜厨房,AI_new_spatial_review,carried_visual_record,,未有人工作答,,厨房|用餐,否,supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kitchen,kitchen,explicit first-clause keyword derivation; not human/adjudicated semantics
2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,2t7WUuJeko7,valid,厨房与用餐,早期争议复核导出.user_type,白色玻璃吊柜厨房,白色玻璃吊柜厨房,AI_new_spatial_review,carried_visual_record,,未有人工作答,,厨房|用餐,否,supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,kitchen,kitchen,explicit first-clause keyword derivation; not human/adjudicated semantics
2t7WUuJeko7_27af7fd637014142a4f530cfd4557189,2t7WUuJeko7,valid,通行与连接,早期争议复核导出.user_type,彩玻前门内狭长前厅,彩玻前门内狭长前厅,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室|用餐|通行,否,supported_component:2t7WUuJeko7_27af7fd637014142a4f530cfd4557189,supported_component,present,present,absent,present,present,absent,present,present,absent,present,present,absent,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,explicit first-clause keyword derivation; not human/adjudicated semantics
2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,2t7WUuJeko7,valid,厨房与用餐,早期争议复核导出.user_type,炉灶旁厨房,炉灶旁厨房,AI_new_spatial_review,carried_visual_record,,未有人工作答,,厨房|用餐,否,supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kitchen,kitchen,explicit first-clause keyword derivation; not human/adjudicated semantics
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,valid,通行与连接,早期争议复核导出.user_type,彩玻前门内狭长前厅,彩玻前门内狭长前厅,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室|用餐|通行,否,supported_component:2t7WUuJeko7_27af7fd637014142a4f530cfd4557189,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,unknown,explicit first-clause keyword derivation; not human/adjudicated semantics
2t7WUuJeko7_53937db036374126830e0f1203b04ead,2t7WUuJeko7,valid,卫浴,早期争议复核导出.user_type,浴室入口与前厅同时显著,浴室入口与前厅同时显著,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卫浴|通行,确认,supported_component:2t7WUuJeko7_53937db036374126830e0f1203b04ead,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,bathroom,bathroom,explicit first-clause keyword derivation; not human/adjudicated semantics
2t7WUuJeko7_5db6d45b905f458a8290e69ff3e8d820,2t7WUuJeko7,valid,卫浴,早期争议复核导出.user_type,独立浴缸、洗手盆和高水箱浴室,独立浴缸、洗手盆和高水箱浴室,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卫浴,否,supported_component:2t7WUuJeko7_53937db036374126830e0f1203b04ead,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,bathroom,bathroom,explicit first-clause keyword derivation; not human/adjudicated semantics
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,valid,卧室,早期争议复核导出.user_type,条纹墙纸卧室,条纹墙纸卧室,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室,否,supported_component:2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,supported_component,partial,present,present,present,unknown,absent,partial,present,present,present,unknown,absent,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sleep,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics
2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,2t7WUuJeko7,valid,厨房与用餐,早期争议复核导出.user_type,厨房靠后门小餐桌一端,厨房靠后门小餐桌一端,AI_new_spatial_review,carried_visual_record,,未有人工作答,,厨房|用餐,否,supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,kitchen+dining,kitchen,explicit first-clause keyword derivation; not human/adjudicated semantics
2t7WUuJeko7_8d51f41d9ce04dfdaae944da9c6d3847,2t7WUuJeko7,valid,卧室,早期争议复核导出.user_type,花纹墙纸卧室全体,花纹墙纸卧室全体,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室,否,supported_component:2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,supported_component,partial,present,present,present,unknown,absent,partial,present,present,present,unknown,absent,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sleep,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics
