image_id,condition,cut,building,rule,n_observed,n_valid,n_invalid,n_supported_modes,n_singletons,singleton_mass,n_modes,same_point_count_multimodality,point_count_disagreement,within_mode_median,late_new_geometry,late_repartition,late_geometry_step,late_support_promotions,half_tv,p_tail_stable,onset_median_conditional,confirmation,early_k,p_early,p_any_stable,observed_early_limit,observations_after_k,early_limit_censored,late_h,max_few_modes,max_singleton_mass,order_fraction_required,medium_definition,grade,status_x,p_cumulative,p_late_interval,actual_late_limit,horizon_censored,modal_grade,agreement_across_definitions,robust_assigned_grade,distinct_assigned_grades,status_y,n_definitions
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,0.1,7y3sRwLe3Va,G10_geometry,4,4,0,1,0,0,1,False,0,0,0,0,0,0,0,1,2,suffix,7,1,1,3,0,True,19,3,0.1,0.8,cumulative,simple,assigned_observed_early,1,0,3,True,simple,1,simple,1,same_output_across_family,48
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,0.1,B6ByNegPMKs,G10_geometry,24,24,0,5,10,0.416666666667,15,True,0.159420289855,0.0606399566131,0.460833333333,0.000178814969399,0.00463576743862,0.250833333333,0.312916666667,0,,suffix,7,0,0,7,17,False,19,3,0.1,0.8,cumulative,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,19,False,difficult_candidate,1,difficult_candidate,1,same_output_across_family,48
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,semi,0.1,Z6MFQCViBuw,G10_geometry,4,4,0,1,0,0,1,False,0,0.000842867407285,0,0,0.000649007903609,0,0,1,2,suffix,7,1,1,3,0,True,19,3,0.1,0.8,cumulative,simple,assigned_observed_early,1,0,3,True,simple,1,simple,1,same_output_across_family,48
b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,manual,0.1,b8cTxDM8gDG,G10_geometry,24,24,0,5,10,0.416666666667,15,True,0.728260869565,0.0485658494263,0.469166666667,0,0.00143971681726,0.235833333333,0.334166666667,0,,suffix,7,0,0,7,17,False,19,3,0.1,0.8,cumulative,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,19,False,difficult_candidate,1,difficult_candidate,1,same_output_across_family,48
e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,manual,0.1,e9zR4mvMWw7,G10_geometry,6,6,0,1,0,0,1,False,0,0.051944120064,0,0,0.00426284403849,0,0,0.94,2,suffix,7,1,1,5,0,True,19,3,0.1,0.8,cumulative,simple,assigned_observed_early,1,0,5,True,simple,0.833333333333,simple,1,definition_disagreement,48
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,manual,0.1,pRbA3pwrgk9,G10_geometry,6,6,0,1,0,0,1,False,0,0.0189958136136,0,0,0.00181767967585,0,0,1,2,suffix,7,1,1,5,0,True,19,3,0.1,0.8,cumulative,simple,assigned_observed_early,1,0,5,True,simple,1,simple,1,same_output_across_family,48
pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,manual,0.1,pRbA3pwrgk9,G10_geometry,5,5,0,1,0,0,1,False,0,0.0126505084587,0,0,0.000723708699372,0,0,1,2,suffix,7,1,1,4,0,True,19,3,0.1,0.8,cumulative,simple,assigned_observed_early,1,0,4,True,simple,1,simple,1,same_output_across_family,48
uNb9QFRL6hY_3b9e548b46af4410b97e1d12781ec3c9,manual,0.1,uNb9QFRL6hY,G10_geometry,24,24,0,5,9,0.375,14,True,0.731884057971,0.0453387964541,0.418333333333,0.000805629455398,0.00303773653275,0.223333333333,0.31125,0,,suffix,7,0,0,7,17,False,19,3,0.1,0.8,cumulative,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,19,False,difficult_candidate,1,difficult_candidate,1,same_output_across_family,48
uNb9QFRL6hY_a7ab19b1a9f044f0905592de1414e8b3,manual,0.1,uNb9QFRL6hY,G10_geometry,6,6,0,1,0,0,1,False,0,0.0201068604403,0,0,0.00204414508684,0,0,1,2,suffix,7,1,1,5,0,True,19,3,0.1,0.8,cumulative,simple,assigned_observed_early,1,0,5,True,simple,1,simple,1,same_output_across_family,48
uNb9QFRL6hY_f4eb9862530a4f909b46f51d1887d05f,manual,0.1,uNb9QFRL6hY,G10_geometry,5,5,0,1,0,0,1,False,0,0.0198905077281,0,0,0.0051270917033,0,0,0.92,2,suffix,7,1,1,4,0,True,19,3,0.1,0.8,cumulative,simple,assigned_observed_early,1,0,4,True,simple,1,simple,1,same_output_across_family,48
yqstnuAEVhm_e650c19e3eb34cc0b98374e5a23d1f65,manual,0.1,yqstnuAEVhm,G10_geometry,24,24,0,3,12,0.5,15,False,0.833333333333,0.0402460732627,0.523333333333,0,0.00259609748396,0.0891666666667,0.333333333333,0,,suffix,7,0,0,7,17,False,19,3,0.1,0.8,cumulative,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,19,False,difficult_candidate,1,difficult_candidate,1,same_output_across_family,48
