image_id,condition,cut,building,rule,n_observed,n_valid,n_invalid,n_supported_modes,n_singletons,singleton_mass,n_modes,same_point_count_multimodality,point_count_disagreement,within_mode_median,late_new_geometry,late_repartition,late_geometry_step,late_support_promotions,half_tv,p_tail_stable,onset_median_conditional,confirmation,early_k,p_early,p_any_stable,observed_early_limit,observations_after_k,early_limit_censored,late_h,max_few_modes,max_singleton_mass,order_fraction_required,medium_definition,grade,status,p_cumulative,p_late_interval,actual_late_limit,horizon_censored,cdf_early7,cdf_observed_by19
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,2t7WUuJeko7,G10_geometry,3,3,0,1,0,0,1,False,0,,,0,0.00292013706628,0.5,,0,,suffix,7,0,0,2,0,True,19,3,0.1,0.8,cumulative,,insufficient_people,0,0,2,True,,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,2t7WUuJeko7,G10_geometry,3,3,0,1,0,0,1,False,0,,,0,0.0190356774835,0.5,,0,,suffix,7,0,0,2,0,True,19,3,0.1,0.8,cumulative,,insufficient_people,0,0,2,True,,
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,2t7WUuJeko7,G10_geometry,1,1,0,0,1,,1,False,,,,0,,0,,0,,suffix,7,0,0,0,0,True,19,3,0.1,0.8,cumulative,,insufficient_people,0,0,0,True,,
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,7y3sRwLe3Va,G10_geometry,5,5,0,1,1,0.2,2,False,0.4,0.0626401137484,0.19,0,0.00456325995738,0.143333333333,0.243,0,,suffix,7,0,0,4,0,True,19,3,0.1,0.8,cumulative,,limited_horizon_or_order_sensitive,0,0,4,True,,
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.1,7y3sRwLe3Va,G10_geometry,24,24,0,1,0,0,1,False,0,0.022511757592,0,0,0.000634154727594,0,0,1,2,suffix,7,1,1,7,17,False,19,3,0.1,0.8,cumulative,simple,assigned_observed_early,1,0,19,False,1,1
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.1,7y3sRwLe3Va,G10_geometry,24,24,0,2,5,0.208333333333,7,False,0.235507246377,0.0227007242427,0.23,0,0.00256413248593,0.055,0.168333333333,0,,suffix,7,0,0,7,17,False,19,3,0.1,0.8,cumulative,difficult_candidate,assigned_observed_fragmentation_and_change,0,0,19,False,,
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,0.1,7y3sRwLe3Va,G10_geometry,5,5,0,1,3,0.6,4,False,0.4,0,0.706666666667,0,0,0.293333333333,0.472,0,,suffix,7,0,0,4,0,True,19,3,0.1,0.8,cumulative,,limited_horizon_or_order_sensitive,0,0,4,True,,
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,0.1,7y3sRwLe3Va,G10_geometry,6,6,0,1,4,0.666666666667,5,False,0.6,0.0871720435997,0.716666666667,0,0,0.283333333333,0.401666666667,0,,suffix,7,0,0,5,0,True,19,3,0.1,0.8,cumulative,,limited_horizon_or_order_sensitive,0,0,5,True,,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,0.1,7y3sRwLe3Va,G10_geometry,6,6,0,1,2,0.333333333333,3,False,0.6,0.0177253478985,0.353333333333,0,0.00220742070177,0.0466666666667,0.223333333333,0,,suffix,7,0,0,5,0,True,19,3,0.1,0.8,cumulative,,limited_horizon_or_order_sensitive,0,0,5,True,,
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,0.1,7y3sRwLe3Va,G10_geometry,4,4,0,1,0,0,1,False,0,0,0,0,0,0,0,1,2,suffix,7,1,1,3,0,True,19,3,0.1,0.8,cumulative,simple,assigned_observed_early,1,0,3,True,1,1
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,0.1,7y3sRwLe3Va,G10_geometry,5,5,0,1,2,0.4,3,False,0.7,0.059708590451,0.436666666667,0,0.00434008767157,0.23,0.367,0,,suffix,7,0,0,4,0,True,19,3,0.1,0.8,cumulative,,limited_horizon_or_order_sensitive,0,0,4,True,,
