stage,condition,base_task_id,meta_group,choice_code,choice_label_zh,positive_response_count,positive_worker_count,group_response_count,group_worker_count,total_response_count,total_worker_count,group_response_coverage,unasserted_response_count,positive_share_among_group_responders,positive_share_all_responses_descriptive,bernoulli_entropy_among_group_responders,denominator_note
C1,manual,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,difficulty,occlusion,遮挡,5,5,5,5,5,5,1.0,0,1.0,1.0,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,difficulty,seam,全景接缝,1,1,5,5,5,5,1.0,0,0.2,0.2,0.5004024235381879,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,other_choice,normal,其他选择,3,3,3,3,5,5,0.6,2,1.0,0.6,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,scope,oos_open_or_ambiguous_boundary,范围/边界开放或歧义,1,1,2,2,5,5,0.4,3,0.5,0.2,0.6931471805599453,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,scope,oos_other,其他范围外,1,1,2,2,5,5,0.4,3,0.5,0.2,0.6931471805599453,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,difficulty,low_texture,低纹理,3,3,3,3,5,5,0.6,2,1.0,0.6,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,difficulty,occlusion,遮挡,1,1,3,3,5,5,0.6,2,0.3333333333333333,0.2,0.6365141682948128,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,other_choice,normal,其他选择,2,2,3,3,5,5,0.6,2,0.6666666666666666,0.4,0.6365141682948128,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,other_choice,trivial,其他选择,2,2,3,3,5,5,0.6,2,0.6666666666666666,0.4,0.6365141682948128,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,scope,oos_open_or_ambiguous_boundary,范围/边界开放或歧义,2,2,3,3,5,5,0.6,2,0.6666666666666666,0.4,0.6365141682948128,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,scope,oos_other,其他范围外,1,1,3,3,5,5,0.6,2,0.3333333333333333,0.2,0.6365141682948128,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,difficulty,low_texture,低纹理,1,1,5,5,6,6,0.8333333333333334,1,0.2,0.16666666666666666,0.5004024235381879,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,difficulty,occlusion,遮挡,5,5,5,5,6,6,0.8333333333333334,1,1.0,0.8333333333333334,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,difficulty,seam,全景接缝,1,1,5,5,6,6,0.8333333333333334,1,0.2,0.16666666666666666,0.5004024235381879,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,other_choice,normal,其他选择,4,4,4,4,6,6,0.6666666666666666,2,1.0,0.6666666666666666,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,other_choice,trivial,其他选择,1,1,4,4,6,6,0.6666666666666666,2,0.25,0.16666666666666666,0.5623351446188083,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,scope,oos_open_or_ambiguous_boundary,范围/边界开放或歧义,1,1,2,2,6,6,0.3333333333333333,4,0.5,0.16666666666666666,0.6931471805599453,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,scope,oos_other,其他范围外,1,1,2,2,6,6,0.3333333333333333,4,0.5,0.16666666666666666,0.6931471805599453,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,difficulty,occlusion,遮挡,4,4,4,4,6,6,0.6666666666666666,2,1.0,0.6666666666666666,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,other_choice,normal,其他选择,6,6,6,6,6,6,1.0,0,1.0,1.0,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,other_choice,trivial,其他选择,2,2,6,6,6,6,1.0,0,0.3333333333333333,0.3333333333333333,0.6365141682948128,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,difficulty,occlusion,遮挡,5,5,5,5,5,5,1.0,0,1.0,1.0,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,other_choice,low_quality,其他选择,1,1,4,4,5,5,0.8,1,0.25,0.2,0.5623351446188083,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,other_choice,normal,其他选择,3,3,4,4,5,5,0.8,1,0.75,0.6,0.5623351446188083,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,scope,oos_open_or_ambiguous_boundary,范围/边界开放或歧义,1,1,2,2,5,5,0.4,3,0.5,0.2,0.6931471805599453,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,scope,oos_other,其他范围外,1,1,2,2,5,5,0.4,3,0.5,0.2,0.6931471805599453,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,other_choice,low_quality,其他选择,1,1,5,5,5,5,1.0,0,0.2,0.2,0.5004024235381879,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,other_choice,normal,其他选择,3,3,5,5,5,5,1.0,0,0.6,0.6,0.6730116670092565,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,other_choice,trivial,其他选择,4,4,5,5,5,5,1.0,0,0.8,0.8,0.5004024235381879,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,scope,oos_split_or_multi_level,范围外：错层/多层,2,2,2,2,5,5,0.4,3,1.0,0.4,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,difficulty,occlusion,遮挡,4,4,4,4,5,5,0.8,1,1.0,0.8,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,difficulty,seam,全景接缝,1,1,4,4,5,5,0.8,1,0.25,0.2,0.5623351446188083,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,other_choice,normal,其他选择,5,5,5,5,5,5,1.0,0,1.0,1.0,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,other_choice,trivial,其他选择,1,1,5,5,5,5,1.0,0,0.2,0.2,0.5004024235381879,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,difficulty,occlusion,遮挡,5,5,5,5,5,5,1.0,0,1.0,1.0,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,other_choice,low_quality,其他选择,2,2,5,5,5,5,1.0,0,0.4,0.4,0.6730116670092565,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,other_choice,normal,其他选择,4,4,5,5,5,5,1.0,0,0.8,0.8,0.5004024235381879,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,scope,oos_other,其他范围外,1,1,1,1,5,5,0.2,4,1.0,0.2,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,difficulty,low_texture,低纹理,1,1,4,4,5,5,0.8,1,0.25,0.2,0.5623351446188083,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,difficulty,occlusion,遮挡,2,2,4,4,5,5,0.8,1,0.5,0.4,0.6931471805599453,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,difficulty,reflection_transparency,反射/透明,1,1,4,4,5,5,0.8,1,0.25,0.2,0.5623351446188083,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,difficulty,seam,全景接缝,2,2,4,4,5,5,0.8,1,0.5,0.4,0.6931471805599453,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,other_choice,normal,其他选择,4,4,4,4,5,5,0.8,1,1.0,0.8,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,other_choice,trivial,其他选择,1,1,4,4,5,5,0.8,1,0.25,0.2,0.5623351446188083,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,scope,oos_open_or_ambiguous_boundary,范围/边界开放或歧义,1,1,1,1,5,5,0.2,4,1.0,0.2,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,difficulty,low_texture,低纹理,1,1,4,4,5,5,0.8,1,0.25,0.2,0.5623351446188083,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,difficulty,occlusion,遮挡,4,4,4,4,5,5,0.8,1,1.0,0.8,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,other_choice,normal,其他选择,5,5,5,5,5,5,1.0,0,1.0,1.0,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,other_choice,trivial,其他选择,1,1,5,5,5,5,1.0,0,0.2,0.2,0.5004024235381879,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,difficulty,low_texture,低纹理,3,3,4,4,6,6,0.6666666666666666,2,0.75,0.5,0.5623351446188083,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,difficulty,occlusion,遮挡,1,1,4,4,6,6,0.6666666666666666,2,0.25,0.16666666666666666,0.5623351446188083,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,difficulty,reflection_transparency,反射/透明,2,2,4,4,6,6,0.6666666666666666,2,0.5,0.3333333333333333,0.6931471805599453,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,difficulty,seam,全景接缝,1,1,4,4,6,6,0.6666666666666666,2,0.25,0.16666666666666666,0.5623351446188083,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,other_choice,low_quality,其他选择,1,1,6,6,6,6,1.0,0,0.16666666666666666,0.16666666666666666,0.45056120886630463,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,other_choice,normal,其他选择,4,4,6,6,6,6,1.0,0,0.6666666666666666,0.6666666666666666,0.6365141682948128,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,other_choice,trivial,其他选择,2,2,6,6,6,6,1.0,0,0.3333333333333333,0.3333333333333333,0.6365141682948128,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,scope,oos_open_or_ambiguous_boundary,范围/边界开放或歧义,1,1,2,2,6,6,0.3333333333333333,4,0.5,0.16666666666666666,0.6931471805599453,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,scope,oos_other,其他范围外,1,1,2,2,6,6,0.3333333333333333,4,0.5,0.16666666666666666,0.6931471805599453,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,difficulty,low_texture,低纹理,3,3,4,4,5,5,0.8,1,0.75,0.6,0.5623351446188083,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,difficulty,occlusion,遮挡,3,3,4,4,5,5,0.8,1,0.75,0.6,0.5623351446188083,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,difficulty,seam,全景接缝,1,1,4,4,5,5,0.8,1,0.25,0.2,0.5623351446188083,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,other_choice,normal,其他选择,4,4,5,5,5,5,1.0,0,0.8,0.8,0.5004024235381879,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,other_choice,trivial,其他选择,1,1,5,5,5,5,1.0,0,0.2,0.2,0.5004024235381879,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,scope,oos_open_or_ambiguous_boundary,范围/边界开放或歧义,1,1,1,1,5,5,0.2,4,1.0,0.2,0.0,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,difficulty,low_texture,低纹理,3,3,5,5,6,6,0.8333333333333334,1,0.6,0.5,0.6730116670092565,unasserted is retained separately and is not silently coded as explicit negative
C1,manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,difficulty,reflection_transparency,反射/透明,1,1,5,5,6,6,0.8333333333333334,1,0.2,0.16666666666666666,0.5004024235381879,unasserted is retained separately and is not silently coded as explicit negative
