deployment_pool_id,stage,round_id,condition,base_task_id,task_id,project_id,ls_runtime_task_id,building_scene_id,identity_candidate_count,primary_candidate_k,pairwise_expected_edges,pairwise_present_edges,pairwise_missing_edges,pairwise_incompatible_edges,partition_unique,partition_count,formal_crowd_status,formal_crowd_reason,cluster_membership_json,a0_prime_medoid_candidate_annotation_id,a0_selection_disposition,a0_unresolved_reason,candidate_universe,reads_quality_or_outcome
079848362f7b08ec269bef8d89a064d59a8de6f97d698844f17bb47638a1884f,C1,C1,semi,uNb9QFRL6hY_85e7a14905bd44648061e3eb7f79cf13,487,72,3381,uNb9QFRL6hY,3,2,1,1,0,0,true,1,not_evaluable,minimum_valid_k_or_metric_compatibility,"[[""d6b34d9ae99290e61c81"", ""02ff3128c678c453e095""]]",,unresolved,minimum_valid_k_or_metric_compatibility,formal_producer_primary,false
08cc8ee1eb80cb7b088a2b9db88e66333d647cfc3cc0d699af48644af2cb7601,C1,C1,semi,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,596,72,3396,wc2JMjhGNzB,1,1,0,0,0,0,true,1,not_evaluable,minimum_valid_k_or_metric_compatibility,"[[""f716e6d6a95b3228e48c""]]",,unresolved,minimum_valid_k_or_metric_compatibility,formal_producer_primary,false
0a7965d967a00bd0498f454609717f0c26d95c0187ce63a37e344df38bb9e96d,C1,C1,manual,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,x8F5xyUWy9e_3a127fd2c5f34d978cba253145dae7d6,67,3249,x8F5xyUWy9e,3,3,3,3,0,0,true,1,unimodal,unique_complete_link_partition,"[[""d8477b008e3d9ccfeff5"", ""4037a331e55f681c4016"", ""647bacb44bc33bb18de8""]]",4037a331e55f681c4016,selected,,formal_producer_primary,false
0b0099a91d399ae2d55424ae15091d8d236ffc37aebb13b064e46726a4a5734e,C1,C1,manual,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,626,66,3188,uNb9QFRL6hY,11,11,55,55,0,0,false,0,not_evaluable,non_unique_complete_link_partition,[],,unresolved,non_unique_complete_link_partition,formal_producer_primary,false
0b3a0a198af5cabf0e0e5e18fae47854e306314d62ee78f1161e6f8e1ce7c724,C1,C1,manual,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,yqstnuAEVhm_9cb726b170554b9bacd039d4db246040,67,3252,yqstnuAEVhm,4,4,6,6,0,0,true,2,dominant_with_dissent,unique_complete_link_partition,"[[""847f6b6c6267289d6e24"", ""d283088a055f5226a34d"", ""76b3ab610fcfd2be4a60""], [""706f50d9b8f488d74667""]]",76b3ab610fcfd2be4a60,selected,,formal_producer_primary,false
0cb509c4728a58ef3a0752df2917e0388b094a5092dbaa6a9962e1d488cc23de,C1,C1,manual,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,465,67,3213,B6ByNegPMKs,3,3,3,3,0,0,true,1,unimodal,unique_complete_link_partition,"[[""22dcfad23c6ac14bd521"", ""381c007b1df27d00b6ab"", ""d102c6b86a1606f32bd3""]]",d102c6b86a1606f32bd3,selected,,formal_producer_primary,false
0eef905199f2c13598a038650410ab4ee0ae372ae10d8f9290f21c552b173994,C1,C1,manual,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,626,69,3300,uNb9QFRL6hY,12,11,55,55,0,0,true,5,supported_multimodal,unique_complete_link_partition,"[[""082f62d60b17746b01fc"", ""aadcebbd5deed880c6fe"", ""be51f8a15243df569129"", ""6807fe796de6aacaa1d3"", ""8e8f77a48f3ad4c6096c"", ""f2769cc6b8e8d4026727""], [""ffd589e4f6a13787a5d6"", ""91f5a2eb0fcd82cebcf4""], [""e66d78ee7fefb50ef63b""], [""6c9ac9d78b385a762253""], [""e367c19601f2d8e7823e""]]",f2769cc6b8e8d4026727,selected,,formal_producer_primary,false
113073043ca4cfc6e1b51fa8740b4a8a377ff0d80339199948f7509a694b7dfc,C1,C1,manual,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,uNb9QFRL6hY_5b62816d9cf94f17ae166291822ea9ab,71,3362,uNb9QFRL6hY,2,2,1,1,0,0,true,1,not_evaluable,minimum_valid_k_or_metric_compatibility,"[[""0dfa885b59782e4c1c1b"", ""740b26f3c0809cbeadad""]]",,unresolved,minimum_valid_k_or_metric_compatibility,formal_producer_primary,false
1314a011e50a0aeda4862a9333f8428442095672b7e887511fddef87bc2df89e,C1,C1,manual,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,UwV83HsGsw3_f9641b59487a4b0ca0fe41a82edc0980,71,3360,UwV83HsGsw3,1,1,0,0,0,0,true,1,not_evaluable,minimum_valid_k_or_metric_compatibility,"[[""ea1f939ba15f6d10754b""]]",,unresolved,minimum_valid_k_or_metric_compatibility,formal_producer_primary,false
14991b1e97523e07f66cce1468a75693a760b2fa9ea3f805ab68e7e431fddc83,C1,C1,manual,wc2JMjhGNzB_55b45b0f19c2460bbcd1fb1c86c6610d,596,71,3327,wc2JMjhGNzB,5,5,10,10,0,0,true,4,dominant_with_dissent,unique_complete_link_partition,"[[""ff368b2d52c03c9c2c5d"", ""203bd6757c614dae7d28""], [""62ca76d9e84ab7370421""], [""f59447dc61818803cfc6""], [""ebb6ff386a289d1366df""]]",203bd6757c614dae7d28,selected,,formal_producer_primary,false
