candidate_annotation_id,worker_id,stage,round_id,condition,base_task_id,task_id,project_id,ls_runtime_task_id,deployment_pool_id,assignment_realization_status,assignment_provenance,observed_canonical_runtime_source_status,identity_mapping_status,formal_duplicate_status,appears_in_internal_distribution,candidate_parse_status,building_scene_id,formal_geometry_loo_eligible,normalization_valid,formal_producer_primary_eligible,primary_ineligibility_reason,alignment_candidate_join_status,alignment_source_sha256,formal_geometry_source_sha256,identity_source_sha256,pairwise_source_sha256
0f006ad814591f20f1d7,27,C1,C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,561,66,3182,8b90f1117ae47177afc5ec12f81ceb2cc9a769121894a209f9f2f710b3e3ff24,matched,original_assignment,matched,mapped,none,false,valid,UwV83HsGsw3,true,true,true,,one,5a6ed3684a09d90b65eda8031c23a462eadb5179a536bdab13a192b6851e3ba7,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,920f713057018ebdde3b4bfbd524f565f5d03fa8223987da54acd9ea0698e6e0,997860626fdf50ea5667986a8f04df0183c8f78f617c49fd5682394c7092f1a7
a5582527e1e55759fca4,28,C1,C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,561,66,3182,8b90f1117ae47177afc5ec12f81ceb2cc9a769121894a209f9f2f710b3e3ff24,matched,original_assignment,matched,mapped,none,false,valid,UwV83HsGsw3,true,true,true,,one,5a6ed3684a09d90b65eda8031c23a462eadb5179a536bdab13a192b6851e3ba7,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,920f713057018ebdde3b4bfbd524f565f5d03fa8223987da54acd9ea0698e6e0,997860626fdf50ea5667986a8f04df0183c8f78f617c49fd5682394c7092f1a7
ddc38d03eaf0ed686dbe,29,C1,C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,561,66,3182,8b90f1117ae47177afc5ec12f81ceb2cc9a769121894a209f9f2f710b3e3ff24,matched,original_assignment,matched,mapped,none,false,valid,UwV83HsGsw3,true,true,true,,one,5a6ed3684a09d90b65eda8031c23a462eadb5179a536bdab13a192b6851e3ba7,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,920f713057018ebdde3b4bfbd524f565f5d03fa8223987da54acd9ea0698e6e0,997860626fdf50ea5667986a8f04df0183c8f78f617c49fd5682394c7092f1a7
762aad63d41c0473582f,30,C1,C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,561,66,3182,8b90f1117ae47177afc5ec12f81ceb2cc9a769121894a209f9f2f710b3e3ff24,matched,original_assignment,matched,mapped,none,false,valid,UwV83HsGsw3,true,true,true,,one,5a6ed3684a09d90b65eda8031c23a462eadb5179a536bdab13a192b6851e3ba7,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,920f713057018ebdde3b4bfbd524f565f5d03fa8223987da54acd9ea0698e6e0,997860626fdf50ea5667986a8f04df0183c8f78f617c49fd5682394c7092f1a7
944fc693a5243b08b5ee,31,C1,C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,561,66,3182,8b90f1117ae47177afc5ec12f81ceb2cc9a769121894a209f9f2f710b3e3ff24,matched,original_assignment,matched,mapped,none,false,valid,UwV83HsGsw3,true,true,true,,one,5a6ed3684a09d90b65eda8031c23a462eadb5179a536bdab13a192b6851e3ba7,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,920f713057018ebdde3b4bfbd524f565f5d03fa8223987da54acd9ea0698e6e0,997860626fdf50ea5667986a8f04df0183c8f78f617c49fd5682394c7092f1a7
d37f314fba3b67c55956,32,C1,C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,561,66,3182,8b90f1117ae47177afc5ec12f81ceb2cc9a769121894a209f9f2f710b3e3ff24,matched,original_assignment,matched,mapped,none,false,valid,UwV83HsGsw3,true,true,true,,one,5a6ed3684a09d90b65eda8031c23a462eadb5179a536bdab13a192b6851e3ba7,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,920f713057018ebdde3b4bfbd524f565f5d03fa8223987da54acd9ea0698e6e0,997860626fdf50ea5667986a8f04df0183c8f78f617c49fd5682394c7092f1a7
9e082eaf47377454a352,33,C1,C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,561,66,3182,8b90f1117ae47177afc5ec12f81ceb2cc9a769121894a209f9f2f710b3e3ff24,matched,original_assignment,matched,mapped,none,false,valid,UwV83HsGsw3,true,true,true,,one,5a6ed3684a09d90b65eda8031c23a462eadb5179a536bdab13a192b6851e3ba7,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,920f713057018ebdde3b4bfbd524f565f5d03fa8223987da54acd9ea0698e6e0,997860626fdf50ea5667986a8f04df0183c8f78f617c49fd5682394c7092f1a7
779f777343654b55ad95,34,C1,C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,561,66,3182,8b90f1117ae47177afc5ec12f81ceb2cc9a769121894a209f9f2f710b3e3ff24,matched,original_assignment,matched,mapped,none,false,valid,UwV83HsGsw3,true,true,true,,one,5a6ed3684a09d90b65eda8031c23a462eadb5179a536bdab13a192b6851e3ba7,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,920f713057018ebdde3b4bfbd524f565f5d03fa8223987da54acd9ea0698e6e0,997860626fdf50ea5667986a8f04df0183c8f78f617c49fd5682394c7092f1a7
3e053dc275632e30f220,35,C1,C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,561,66,3182,8b90f1117ae47177afc5ec12f81ceb2cc9a769121894a209f9f2f710b3e3ff24,matched,original_assignment,matched,mapped,none,false,valid,UwV83HsGsw3,true,true,true,,one,5a6ed3684a09d90b65eda8031c23a462eadb5179a536bdab13a192b6851e3ba7,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,920f713057018ebdde3b4bfbd524f565f5d03fa8223987da54acd9ea0698e6e0,997860626fdf50ea5667986a8f04df0183c8f78f617c49fd5682394c7092f1a7
beebb1979f052693f701,36,C1,C1,manual,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,561,66,3182,8b90f1117ae47177afc5ec12f81ceb2cc9a769121894a209f9f2f710b3e3ff24,matched,original_assignment,matched,mapped,none,false,valid,UwV83HsGsw3,true,true,true,,one,5a6ed3684a09d90b65eda8031c23a462eadb5179a536bdab13a192b6851e3ba7,d3054e9c1fb9869a8a0a7ad114de16e6c30952ab4948261cfac58df25ef82799,920f713057018ebdde3b4bfbd524f565f5d03fa8223987da54acd9ea0698e6e0,997860626fdf50ea5667986a8f04df0183c8f78f617c49fd5682394c7092f1a7
