task_id,image_id,scene_id,source_group,contact_sheet_file,panel_index,dedup_key,is_duplicate,duplicate_group_id,dedup_primary,dedup_reason,audit_priority,hohonet_corner_count,bilayout_corner_count,hohonet_crossdoor_score,bilayout_crossdoor_score,overextend_reduced,overparse_reduced,bilayout_undercoverage,bilayout_new_error,both_wrong,oos_suspect,open_boundary_ambiguity,expert_verdict,usable_for_B1,audit_notes
460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,1,scene_image::X7HyMhZNoso::X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,true,DUP006,true,scene_id+image_id,1,12,4,,,,,,,,,,,,
473,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,2,scene_image::q9vSo1VnCiC::q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,true,DUP011,true,scene_id+image_id,1,10,6,,,,,,,,,,,,
482,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,uNb9QFRL6hY,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,3,scene_image::uNb9QFRL6hY::uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,true,DUP019,true,scene_id+image_id,1,14,10,,,,,,,,,,,,
509,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,wc2JMjhGNzB,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,4,scene_image::wc2JMjhGNzB::wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,true,DUP025,true,scene_id+image_id,1,8,4,,,,,,,,,,,,
542,wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,wc2JMjhGNzB,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,5,scene_image::wc2JMjhGNzB::wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd,true,DUP023,true,scene_id+image_id,1,12,6,,,,,,,,,,,,
548,b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e,b8cTxDM8gDG,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,6,scene_image::b8cTxDM8gDG::b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e,true,DUP009,true,scene_id+image_id,1,8,4,,,,,,,,,,,,
580,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,wc2JMjhGNzB,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,7,scene_image::wc2JMjhGNzB::wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,true,DUP024,true,scene_id+image_id,1,14,8,,,,,,,,,,,,
652,yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,yqstnuAEVhm,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,8,scene_image::yqstnuAEVhm::yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d,true,DUP029,true,scene_id+image_id,1,18,16,,,,,,,,,,,,
687,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,9,scene_image::B6ByNegPMKs::B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,true,DUP003,true,scene_id+image_id,1,8,4,,,,,,,,,,,,
696,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,10,scene_image::b8cTxDM8gDG::b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,true,DUP008,true,scene_id+image_id,1,8,7,,,,,,,,,,,,
698,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,11,scene_image::7y3sRwLe3Va::7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,true,DUP002,true,scene_id+image_id,1,8,6,,,,,,,,,,,,
470,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,12,scene_image::UwV83HsGsw3::UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,true,DUP005,true,scene_id+image_id,1,10,9,,,,,,,,,,,,
493,e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,e9zR4mvMWw7,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,13,scene_image::e9zR4mvMWw7::e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,true,DUP010,true,scene_id+image_id,1,8,4,,,,,,,,,,,,
519,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,q9vSo1VnCiC,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,14,scene_image::q9vSo1VnCiC::q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,true,DUP012,true,scene_id+image_id,1,8,6,,,,,,,,,,,,
526,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,15,scene_image::UwV83HsGsw3::UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,true,DUP004,true,scene_id+image_id,1,12,10,,,,,,,,,,,,
547,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,yqstnuAEVhm,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,16,scene_image::yqstnuAEVhm::yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,true,DUP027,true,scene_id+image_id,1,8,4,,,,,,,,,,,,
587,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,hard_prediction_failure,contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png,17,scene_image::7y3sRwLe3Va::7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,true,DUP001,true,scene_id+image_id,1,10,8,,,,,,,,,,,,
