"source_group","task_id","image_id","scene_id","contact_sheet_path","source_manifest_path","hohonet_corner_count","bilayout_corner_count","comparison_status","audit_row_status"
"hard_prediction_failure","460","X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9","X7HyMhZNoso","analysis_results\bi_layout_vs_hohonet_20260514\images\contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png","analysis_results\bi_layout_vs_hohonet_20260514\hard_prediction_failure_hohonet_txt_vs_bilayout_manifest.csv","12","4","ok","pending_manual_review"
"hard_prediction_failure","473","q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9","q9vSo1VnCiC","analysis_results\bi_layout_vs_hohonet_20260514\images\contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png","analysis_results\bi_layout_vs_hohonet_20260514\hard_prediction_failure_hohonet_txt_vs_bilayout_manifest.csv","10","6","ok","pending_manual_review"
"hard_prediction_failure","482","uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d","uNb9QFRL6hY","analysis_results\bi_layout_vs_hohonet_20260514\images\contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png","analysis_results\bi_layout_vs_hohonet_20260514\hard_prediction_failure_hohonet_txt_vs_bilayout_manifest.csv","14","10","ok","pending_manual_review"
"hard_prediction_failure","509","wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e","wc2JMjhGNzB","analysis_results\bi_layout_vs_hohonet_20260514\images\contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png","analysis_results\bi_layout_vs_hohonet_20260514\hard_prediction_failure_hohonet_txt_vs_bilayout_manifest.csv","8","4","ok","pending_manual_review"
"hard_prediction_failure","542","wc2JMjhGNzB_4884da3227464ab5b82f631ff22205bd","wc2JMjhGNzB","analysis_results\bi_layout_vs_hohonet_20260514\images\contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png","analysis_results\bi_layout_vs_hohonet_20260514\hard_prediction_failure_hohonet_txt_vs_bilayout_manifest.csv","12","6","ok","pending_manual_review"
"hard_prediction_failure","548","b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e","b8cTxDM8gDG","analysis_results\bi_layout_vs_hohonet_20260514\images\contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png","analysis_results\bi_layout_vs_hohonet_20260514\hard_prediction_failure_hohonet_txt_vs_bilayout_manifest.csv","8","4","ok","pending_manual_review"
"hard_prediction_failure","580","wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6","wc2JMjhGNzB","analysis_results\bi_layout_vs_hohonet_20260514\images\contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png","analysis_results\bi_layout_vs_hohonet_20260514\hard_prediction_failure_hohonet_txt_vs_bilayout_manifest.csv","14","8","ok","pending_manual_review"
"hard_prediction_failure","652","yqstnuAEVhm_c93bf298b1cb41a1b368a6ce8bcff53d","yqstnuAEVhm","analysis_results\bi_layout_vs_hohonet_20260514\images\contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png","analysis_results\bi_layout_vs_hohonet_20260514\hard_prediction_failure_hohonet_txt_vs_bilayout_manifest.csv","18","16","ok","pending_manual_review"
"hard_prediction_failure","687","B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086","B6ByNegPMKs","analysis_results\bi_layout_vs_hohonet_20260514\images\contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png","analysis_results\bi_layout_vs_hohonet_20260514\hard_prediction_failure_hohonet_txt_vs_bilayout_manifest.csv","8","4","ok","pending_manual_review"
"hard_prediction_failure","696","b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15","b8cTxDM8gDG","analysis_results\bi_layout_vs_hohonet_20260514\images\contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png","analysis_results\bi_layout_vs_hohonet_20260514\hard_prediction_failure_hohonet_txt_vs_bilayout_manifest.csv","8","7","ok","pending_manual_review"
"hard_prediction_failure","698","7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e","7y3sRwLe3Va","analysis_results\bi_layout_vs_hohonet_20260514\images\contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png","analysis_results\bi_layout_vs_hohonet_20260514\hard_prediction_failure_hohonet_txt_vs_bilayout_manifest.csv","8","6","ok","pending_manual_review"
"hard_prediction_failure","470","UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65","UwV83HsGsw3","analysis_results\bi_layout_vs_hohonet_20260514\images\contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png","analysis_results\bi_layout_vs_hohonet_20260514\hard_prediction_failure_hohonet_txt_vs_bilayout_manifest.csv","10","9","ok","pending_manual_review"
"hard_prediction_failure","493","e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814","e9zR4mvMWw7","analysis_results\bi_layout_vs_hohonet_20260514\images\contact_sheet_hard_prediction_failure_hohonet_txt_vs_bilayout_relabel.png","analysis_results\bi_layout_vs_hohonet_20260514\hard_prediction_failure_hohonet_txt_vs_bilayout_manifest.csv","8","4","ok","pending_manual_review"
