dedup_key,dedup_reason,duplicate_group_id,row_count,source_groups,task_ids,image_ids,scene_ids,primary_task_id,primary_source_group,primary_original_row_index
scene_image::7y3sRwLe3Va::7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,scene_id+image_id,,1,soft_prediction_complexity,575,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,575,soft_prediction_complexity,101
scene_image::7y3sRwLe3Va::7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,scene_id+image_id,,1,nominal_prediction_structure,496,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,496,nominal_prediction_structure,89
scene_image::7y3sRwLe3Va::7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,scene_id+image_id,DUP001,2,hard_prediction_failure;highest_g_score,587;587,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,587,hard_prediction_failure,17
scene_image::7y3sRwLe3Va::7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,scene_id+image_id,,1,soft_prediction_complexity,511,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,511,soft_prediction_complexity,94
scene_image::7y3sRwLe3Va::7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,scene_id+image_id,,1,soft_prediction_complexity,603,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,603,soft_prediction_complexity,104
scene_image::7y3sRwLe3Va::7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,scene_id+image_id,DUP002,2,hard_prediction_failure;highest_g_score,698;698,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,698,hard_prediction_failure,11
scene_image::B6ByNegPMKs::B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,scene_id+image_id,DUP003,2,hard_prediction_failure;highest_g_score,687;687,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,B6ByNegPMKs,687,hard_prediction_failure,9
scene_image::B6ByNegPMKs::B6ByNegPMKs_b5dcbc0109a344a281d8ae467ccf3fc2,scene_id+image_id,,1,nominal_prediction_structure,471,B6ByNegPMKs_b5dcbc0109a344a281d8ae467ccf3fc2,B6ByNegPMKs,471,nominal_prediction_structure,71
scene_image::B6ByNegPMKs::B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,scene_id+image_id,,1,soft_prediction_complexity,510,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,510,soft_prediction_complexity,120
scene_image::B6ByNegPMKs::B6ByNegPMKs_bdc0695537064383b5cc5dbcff2a0b99,scene_id+image_id,,1,nominal_prediction_structure,466,B6ByNegPMKs_bdc0695537064383b5cc5dbcff2a0b99,B6ByNegPMKs,466,nominal_prediction_structure,67
scene_image::B6ByNegPMKs::B6ByNegPMKs_c36b46ddcadf4896a2aa0abca657f33d,scene_id+image_id,,1,nominal_prediction_structure,494,B6ByNegPMKs_c36b46ddcadf4896a2aa0abca657f33d,B6ByNegPMKs,494,nominal_prediction_structure,87
scene_image::B6ByNegPMKs::B6ByNegPMKs_d19d2ae4bddf4445a3c623edc0346937,scene_id+image_id,,1,soft_prediction_complexity,647,B6ByNegPMKs_d19d2ae4bddf4445a3c623edc0346937,B6ByNegPMKs,647,soft_prediction_complexity,110
scene_image::B6ByNegPMKs::B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,scene_id+image_id,,1,nominal_prediction_structure,465,B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,B6ByNegPMKs,465,nominal_prediction_structure,66
scene_image::UwV83HsGsw3::UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,scene_id+image_id,,1,soft_prediction_complexity,541,UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,UwV83HsGsw3,541,soft_prediction_complexity,97
scene_image::UwV83HsGsw3::UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,scene_id+image_id,,1,soft_prediction_complexity,609,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,UwV83HsGsw3,609,soft_prediction_complexity,91
scene_image::UwV83HsGsw3::UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,scene_id+image_id,DUP004,2,hard_prediction_failure;highest_g_score,526;526,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3,526,hard_prediction_failure,15
scene_image::UwV83HsGsw3::UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,scene_id+image_id,DUP005,2,hard_prediction_failure;highest_g_score,470;470,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,UwV83HsGsw3,470,hard_prediction_failure,12
scene_image::UwV83HsGsw3::UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,scene_id+image_id,,1,nominal_prediction_structure,462,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,UwV83HsGsw3,462,nominal_prediction_structure,63
scene_image::UwV83HsGsw3::UwV83HsGsw3_a497aa9041fd41b3b5e6f3cab0849f98,scene_id+image_id,,1,nominal_prediction_structure,488,UwV83HsGsw3_a497aa9041fd41b3b5e6f3cab0849f98,UwV83HsGsw3,488,nominal_prediction_structure,82
scene_image::X7HyMhZNoso::X7HyMhZNoso_215ab480f5084ac992c0d0e6b3e82268,scene_id+image_id,,1,soft_prediction_complexity,560,X7HyMhZNoso_215ab480f5084ac992c0d0e6b3e82268,X7HyMhZNoso,560,soft_prediction_complexity,98
scene_image::X7HyMhZNoso::X7HyMhZNoso_445ae0203f294b5c9889505576e37998,scene_id+image_id,,1,nominal_prediction_structure,467,X7HyMhZNoso_445ae0203f294b5c9889505576e37998,X7HyMhZNoso,467,nominal_prediction_structure,68
scene_image::X7HyMhZNoso::X7HyMhZNoso_a59d092e0c50479089a85c2b36dd6d20,scene_id+image_id,,1,nominal_prediction_structure,484,X7HyMhZNoso_a59d092e0c50479089a85c2b36dd6d20,X7HyMhZNoso,484,nominal_prediction_structure,78
scene_image::X7HyMhZNoso::X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,scene_id+image_id,DUP006,2,hard_prediction_failure;highest_g_score,460;460,X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,X7HyMhZNoso,460,hard_prediction_failure,1
scene_image::Z6MFQCViBuw::Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,scene_id+image_id,DUP007,2,hard_prediction_failure;highest_g_score,500;500,Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,Z6MFQCViBuw,500,hard_prediction_failure,26
scene_image::Z6MFQCViBuw::Z6MFQCViBuw_451088e169fd4fe3b14d1f26b18d9a27,scene_id+image_id,,1,nominal_prediction_structure,464,Z6MFQCViBuw_451088e169fd4fe3b14d1f26b18d9a27,Z6MFQCViBuw,464,nominal_prediction_structure,65
scene_image::b8cTxDM8gDG::b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,scene_id+image_id,DUP008,2,hard_prediction_failure;highest_g_score,696;696,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,b8cTxDM8gDG,696,hard_prediction_failure,10
scene_image::b8cTxDM8gDG::b8cTxDM8gDG_d38c4ae95f5b4640a2696b923b80d1f4,scene_id+image_id,,1,soft_prediction_complexity,498,b8cTxDM8gDG_d38c4ae95f5b4640a2696b923b80d1f4,b8cTxDM8gDG,498,soft_prediction_complexity,93
scene_image::b8cTxDM8gDG::b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e,scene_id+image_id,DUP009,2,hard_prediction_failure;highest_g_score,548;548,b8cTxDM8gDG_dcbdda428eb846a586886b87d9552d0e,b8cTxDM8gDG,548,hard_prediction_failure,6
scene_image::b8cTxDM8gDG::b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,scene_id+image_id,,1,soft_prediction_complexity,604,b8cTxDM8gDG_f3748786c3704532abb2358581488f3f,b8cTxDM8gDG,604,soft_prediction_complexity,105
scene_image::b8cTxDM8gDG::b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,scene_id+image_id,,1,nominal_prediction_structure,459,b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG,459,nominal_prediction_structure,61
scene_image::e9zR4mvMWw7::e9zR4mvMWw7_0977162f6d4e47f7b3764379ba68d8db,scene_id+image_id,,1,nominal_prediction_structure,480,e9zR4mvMWw7_0977162f6d4e47f7b3764379ba68d8db,e9zR4mvMWw7,480,nominal_prediction_structure,75
scene_image::e9zR4mvMWw7::e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,scene_id+image_id,,1,nominal_prediction_structure,479,e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,e9zR4mvMWw7,479,nominal_prediction_structure,74
scene_image::e9zR4mvMWw7::e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,scene_id+image_id,,1,nominal_prediction_structure,492,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,e9zR4mvMWw7,492,nominal_prediction_structure,86
scene_image::e9zR4mvMWw7::e9zR4mvMWw7_1f8ee74dbb254dff85771776279eae94,scene_id+image_id,,1,nominal_prediction_structure,490,e9zR4mvMWw7_1f8ee74dbb254dff85771776279eae94,e9zR4mvMWw7,490,nominal_prediction_structure,84
scene_image::e9zR4mvMWw7::e9zR4mvMWw7_a5b1928b6c1144bf8b7fda2317debf08,scene_id+image_id,,1,soft_prediction_complexity,637,e9zR4mvMWw7_a5b1928b6c1144bf8b7fda2317debf08,e9zR4mvMWw7,637,soft_prediction_complexity,109
scene_image::e9zR4mvMWw7::e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,scene_id+image_id,DUP010,2,hard_prediction_failure;highest_g_score,493;493,e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,e9zR4mvMWw7,493,hard_prediction_failure,13
scene_image::q9vSo1VnCiC::q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,scene_id+image_id,DUP011,2,hard_prediction_failure;highest_g_score,473;473,q9vSo1VnCiC_3e5aacbc10904d4b88660a3cb91efcb9,q9vSo1VnCiC,473,hard_prediction_failure,2
scene_image::q9vSo1VnCiC::q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,scene_id+image_id,DUP012,2,hard_prediction_failure;highest_g_score,519;519,q9vSo1VnCiC_3e7f67e8969f434b9a4aec0c68668b20,q9vSo1VnCiC,519,hard_prediction_failure,14
