image_id,building,source_split,scene_category,scene_source,selection_display_group,difficulty_tag,difficulty_ordinal,difficulty_status,main_space_raw,main_space_safe,main_space_source,main_space_basis,main_space_human,main_space_human_source,fine_human,fine_ai,doorway,room_id,room_status,floor_boundary,ceiling_boundary,corner_occlusion,connected_space,reflection_glass,low_contrast,floor_boundary_recheck,ceiling_boundary_recheck,corner_occlusion_recheck,connected_space_recheck,reflection_glass_recheck,low_contrast_recheck,resolution_rechecked,main_sleep,main_bathroom,main_kitchen,main_dining,main_living,main_work,main_circulation,main_storage,main_special,main_empty,position_entrance,position_window,position_edge,position_stair_landing,position_shower_interior,position_bath_tub,position_washing,position_mirrored,position_glass,position_fireplace,position_empty,position_shared_focus,main_semantic_key,main_semantic_coarse,main_function_primary,main_function_primary_source,y
2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,2t7WUuJeko7,valid,厨房与用餐,早期争议复核导出.user_type,G002,简单,0,labelled,老式炉灶与白色橱柜厨房,老式炉灶与白色橱柜厨房,AI_new_spatial_review,carried_visual_record,,未有人工作答,,厨房|用餐,否,supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kitchen,kitchen,kitchen,explicit first-clause keyword derivation; not human/adjudicated semantics,0
2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,2t7WUuJeko7,valid,厨房与用餐,早期争议复核导出.user_type,G002,简单,0,labelled,白色玻璃吊柜厨房,白色玻璃吊柜厨房,AI_new_spatial_review,carried_visual_record,,未有人工作答,,厨房|用餐,否,supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,kitchen,kitchen,kitchen,explicit first-clause keyword derivation; not human/adjudicated semantics,0
2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,2t7WUuJeko7,valid,厨房与用餐,早期争议复核导出.user_type,G002,中等,1,labelled,炉灶旁厨房,炉灶旁厨房,AI_new_spatial_review,carried_visual_record,,未有人工作答,,厨房|用餐,否,supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kitchen,kitchen,kitchen,explicit first-clause keyword derivation; not human/adjudicated semantics,1
2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,2t7WUuJeko7,valid,厨房与用餐,早期争议复核导出.user_type,G002,中等,1,labelled,厨房靠后门小餐桌一端,厨房靠后门小餐桌一端,AI_new_spatial_review,carried_visual_record,,未有人工作答,,厨房|用餐,否,supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,kitchen+dining,kitchen+dining,kitchen,explicit first-clause keyword derivation; not human/adjudicated semantics,1
2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881,2t7WUuJeko7,valid,厨房与用餐,早期争议复核导出.user_type,G002,中等,1,labelled,老式炉灶所在厨房,老式炉灶所在厨房,AI_new_spatial_review,carried_visual_record,,未有人工作答,,厨房|用餐,否,supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kitchen,kitchen,kitchen,explicit first-clause keyword derivation; not human/adjudicated semantics,1
7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,7y3sRwLe3Va,test,开放复合空间,后续41图亲审.current_classification.coarse_type,G015,中等,1,labelled,壁炉沙发起居区,壁炉沙发起居区,AI_new_spatial_review,new_original,起居＋厨房；起居为主,后续41图亲审.current_classification.focus,起居、厨房,起居休闲|通行,否,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,living,living,living,explicit first-clause keyword derivation; not human/adjudicated semantics,1
7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,7y3sRwLe3Va,test,开放复合空间,后续41图亲审.current_classification.coarse_type,G015,中等,1,labelled,壁炉沙发起居区,壁炉沙发起居区,AI_new_spatial_review,new_original,起居＋厨房；起居为主,后续41图亲审.current_classification.focus,起居、厨房,用途不明|起居休闲|通行,否,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,living,living,living,explicit first-clause keyword derivation; not human/adjudicated semantics,1
7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b,7y3sRwLe3Va,test,开放复合空间,后续41图亲审.current_classification.coarse_type,G015,中等,1,labelled,壁炉沙发起居区,壁炉沙发起居区,AI_new_spatial_review,new_original,起居＋厨房；起居为主,后续41图亲审.current_classification.focus,起居、厨房,用途不明|起居休闲|通行,否,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,living,living,living,explicit first-clause keyword derivation; not human/adjudicated semantics,1
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,test,开放复合空间,后续41图亲审.current_classification.coarse_type,G015,中等,1,labelled,壁炉沙发起居区,壁炉沙发起居区,AI_new_spatial_review,new_original,起居＋厨房；起居为主,后续41图亲审.current_classification.focus,起居、厨房,用途不明|起居休闲|通行,否,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,living,living,living,explicit first-clause keyword derivation; not human/adjudicated semantics,1
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs,test,通行与连接,早期争议复核导出.user_type,G036,简单,0,labelled,红管走廊为主,红管走廊为主,AI_new_spatial_review,carried_visual_record,,未有人工作答,,用途不明|通行,否,supported_component:B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,overlap_with_pending_or_unsupported,present,partial,absent,present,present,absent,present,partial,absent,present,present,absent,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circulation,circulation,circulation,explicit first-clause keyword derivation; not human/adjudicated semantics,0
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,B6ByNegPMKs,test,通行与连接,早期争议复核导出.user_type,G036,简单,0,labelled,红管走廊为主,红管走廊为主,AI_new_spatial_review,carried_visual_record,,未有人工作答,,用途不明|通行,否,supported_component:B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,overlap_with_pending_or_unsupported,present,partial,absent,present,present,absent,present,partial,absent,present,present,absent,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circulation,circulation,circulation,explicit first-clause keyword derivation; not human/adjudicated semantics,0
