deployment_pool_id,experimental_task_context_id,stage,round_id,condition,dataset_group,building_scene_id,identity_candidate_count,observed_geometry_valid_count,realization_matched_geometry_valid_count,observed_valid_meets_k3,strict_realization_sensitivity_meets_k3
079848362f7b08ec269bef8d89a064d59a8de6f97d698844f17bb47638a1884f,ec27da3026e01f070bc61e62f08d3f468282277d7dbabbaf92c0aafe996ffbaa,C1,C1,semi,Calibration_semi,uNb9QFRL6hY,3,3,2,True,False
08cc8ee1eb80cb7b088a2b9db88e66333d647cfc3cc0d699af48644af2cb7601,77405d96ea8892b247482a830a77dca3ebd6e3974983a74a74b0449fd94a9095,C1,C1,semi,Calibration_semi,wc2JMjhGNzB,1,1,1,False,False
0a7965d967a00bd0498f454609717f0c26d95c0187ce63a37e344df38bb9e96d,4328d607ddab823937bb3693c2b09fd30b7873755de96968453def8f18a66b7a,C1,C1,manual,Calibration_core,x8F5xyUWy9e,3,3,3,True,True
0b0099a91d399ae2d55424ae15091d8d236ffc37aebb13b064e46726a4a5734e,530a6975e24c3b6f44c3d199f1566a41d6005e6c6d5970cf786a9f111a95eb35,C1,C1,manual,Calibration_anchor,uNb9QFRL6hY,11,11,11,True,True
0b3a0a198af5cabf0e0e5e18fae47854e306314d62ee78f1161e6f8e1ce7c724,6389db40f8af7494a9b7d78e971d8a64ae2e2352dbdf2f51dab0be45aff8337b,C1,C1,manual,Calibration_core,yqstnuAEVhm,4,4,4,True,True
0cb509c4728a58ef3a0752df2917e0388b094a5092dbaa6a9962e1d488cc23de,2ea252333f134e3ac423a6fd5183b57ffafac314b848090b7407307d8fb7cb87,C1,C1,manual,Calibration_core,B6ByNegPMKs,3,3,3,True,True
0eef905199f2c13598a038650410ab4ee0ae372ae10d8f9290f21c552b173994,530a6975e24c3b6f44c3d199f1566a41d6005e6c6d5970cf786a9f111a95eb35,C1,C1,manual,Calibration_anchor,uNb9QFRL6hY,12,12,11,True,True
113073043ca4cfc6e1b51fa8740b4a8a377ff0d80339199948f7509a694b7dfc,f4b15908a9b81821e501e60b8f4f0e6a0ac06ec11ab79943534785d618070ba6,C1,C1,manual,Calibration_core,uNb9QFRL6hY,2,2,2,False,False
1314a011e50a0aeda4862a9333f8428442095672b7e887511fddef87bc2df89e,c7411fda71ebd6465655686f12e0c55dcde5badfde6fa78c92ac18a646c390e0,C1,C1,manual,Calibration_core,UwV83HsGsw3,1,1,1,False,False
14991b1e97523e07f66cce1468a75693a760b2fa9ea3f805ab68e7e431fddc83,7fa04899f8b1a65e5913af24628e2ed08d878553f29a015e7087735ddcbe7461,C1,C1,manual,Calibration_core,wc2JMjhGNzB,5,5,5,True,True
15b53a3ad5fb3c5f572fd43a213fdf8849a8ad00e483a9c1cf638a47db60b459,56378f575b96fa238325b815f187a0560de0bbaab37c2b659d1a440d95d8da9f,C1,C1,manual,Calibration_core,wc2JMjhGNzB,2,2,2,False,False
15c9be8d1f61e1bc79e966d598d84f09fd1b424f34afcc1a9cd628ecfa04fcdf,77405d96ea8892b247482a830a77dca3ebd6e3974983a74a74b0449fd94a9095,C1,C1,semi,Calibration_semi,wc2JMjhGNzB,3,3,3,True,True
17e50ea1a04187c2c6bb23340e4d05b69c28ed87eb42b76d6fddd9998b569416,332dd1f85c0cba181010e99071833945b4e280d3d488f9433499546d58a3292f,C1,C1,semi,Calibration_semi,B6ByNegPMKs,2,2,2,False,False
1992eed5aa2aee7757144403ab94655e5fa2c7a4edca579767c94136bd8343bd,9c8874e3b208faa4186a24868e3916e3b2cc092ed85c8fd818caca6378f11eb8,C1,C1,semi,Calibration_semi,wc2JMjhGNzB,1,1,1,False,False
1b14b882d047e008b0ac63db6f791547b28fc07f3d18c306d4a0f37a8f4e3bc4,9ba59484fc78b21ae415e4d15cdf665c42cf5bb697feb74f679e46e9d18d58b3,C1,C1,semi,Calibration_semi,wc2JMjhGNzB,1,1,1,False,False
1cddb2afcc0521f1a33cf7e0a4555a9fb871fd157a610de1ed61ac26ce5b0702,9edde9b7aa9c7a7de15d79ebaa761687c971c9d0abce00832d8c2d0eccafcabf,C1,C1,semi,Calibration_semi,yqstnuAEVhm,1,1,1,False,False
1dcf251aeca34e83379031cfff8a18a5478309065370a7e32f06353734a86f3d,2ea252333f134e3ac423a6fd5183b57ffafac314b848090b7407307d8fb7cb87,C1,C1,manual,Calibration_core,B6ByNegPMKs,3,3,2,True,False
1e0055cd11bcdc7a21f43a4e704c997c1d736b028d697e13204179f706ad39a0,b2a7f9aabf75c51c6ffc4b30bbbda58e2ba98b6507539f8db6a1296570b3642c,C1,C1,manual,Calibration_core,B6ByNegPMKs,2,2,2,False,False
1f102d2ffcdae45d2608e105b934b1af93a99fe3275f9aa9c47cf927152096cb,8d700eb577785e940b54be624e109cbe3ceb8053372c0a213405036241bc17f5,C1,C1,manual,Calibration_core,X7HyMhZNoso,3,3,3,True,True
1f1899870e28960975d03a6f206e64ad3a6f6c3922d4fd045f67e2379c4099c9,ecbcae8844a9529828460ef6b0ea611702f294bd648ab617eb7c59646ddaaa46,C1,C1,manual,Calibration_core,B6ByNegPMKs,5,5,5,True,True
21687d71f1c213e4b341228ce359839128b0679d10c06a2fe8fa33da204d155e,9c8874e3b208faa4186a24868e3916e3b2cc092ed85c8fd818caca6378f11eb8,C1,C1,semi,Calibration_semi,wc2JMjhGNzB,3,3,3,True,True
22c1a33c765ee9c61883e15c587d1bcb9d6c26417ca890bd6376e01ea539313e,b111ded6927455b74742306ac63fd47e0e4288ea96f3f0ef33084d94b412f342,C1,C1,manual,Calibration_core,uNb9QFRL6hY,2,2,2,False,False
2493445a0cae3778d60a2d2e02278d3e50c4205d34c64118f2b8ba01e4dfa348,d461c6cb1571d5f413ec09595ee965f2ea0b6164c5e737ffdc7047960ae2158c,C1,C1,manual,Calibration_core,X7HyMhZNoso,3,3,3,True,True
28269af482d5d5e83ff3f0e2784d2fd87b64b0de74c8f50579d0390895929d0e,a1ab38bcd7139ae67277710376dd8e4615d5cecfa19a65179e8608d86fbe4ca6,C1,C1,semi,Calibration_semi,yqstnuAEVhm,2,2,2,False,False
29d2d2bb60f49aafc014ad283a5f54322a6ea12a4608bd423c7da892ccf47f54,d422d24921ad3f024bba645c54136ad5a2be135748a38a3ba53fcbc014bb3f27,C1,C1,manual,Calibration_core,uNb9QFRL6hY,2,2,2,False,False
2b08b25365a26ea735d37a8bbb529f10b80c8d2f3e13a803745f656abb4568b8,66cc7a663e9aec24cc9b389aa6ddc2c450110013efd3455ce9dae56e46c246fa,C1,C1,manual,Calibration_anchor,uNb9QFRL6hY,12,12,11,True,True
2c1cceab29d6d9b0fa7342a94894c673449b8c6a0aee47a4c186be4b8c128a72,0443ca7f1cfe40199e0d724d39d605f6242c60ee8141bd4077581e81b0cf8dbd,C1,C1,manual,Calibration_core,x8F5xyUWy9e,1,1,1,False,False
2ea62e7d62cc7885eaa08f01ac2bc56e4c52517166c3989f26eda241aa998f4f,ec0ea8891cca29e12ab9adbe42b03821297c1a5134047e00a730399c1e5934b8,C1,C1,semi,Calibration_semi,X7HyMhZNoso,1,1,1,False,False
334cc450f189c77bec94b6fb120ffe28be8eae7d3342e86368e6d0e82d60c4f4,4cb3e6a4c484e2e26908b7841a57515ecef06731177a316010baecc43f52a8b4,C1,C1,manual,Calibration_core,yqstnuAEVhm,4,4,3,True,True
357ad53eb6616e104b3c01bc31237a4390d38db08e2f1e1da95b3dac001385fa,c7411fda71ebd6465655686f12e0c55dcde5badfde6fa78c92ac18a646c390e0,C1,C1,manual,Calibration_core,UwV83HsGsw3,4,4,4,True,True
35c65f7f376b3b0c87bf8e5745e953a3d1aca877b22550aec09643052de01f2f,a6a203f42a6ac40d25a430aaa53393ea5b2633c20becc77c18d35356b09b72f3,C1,C1,manual,Calibration_core,wc2JMjhGNzB,3,2,2,False,False
3662d5f8ab875190edb38a3e0d1c5e735cf25b33b20bad378d6d74e511158126,c017a00616cb27dac3ec817e8d939c540e578059862b1eb5e9698d23c5a859ed,C1,C1,manual,Calibration_anchor,UwV83HsGsw3,12,12,11,True,True
36c34443f850069b5a04af291269a5258762e636ea09464fbd460a615a980ce5,5a8355ad6a94fd26424c2aed0e3549ab05a0fb1c7681d2b8fb24ea2c06e5aca2,C1,C1,semi,Calibration_semi,UwV83HsGsw3,4,4,4,True,True
3905be015949290730533f222611b008f040ed4460bdc36bcec98bdeffb2db18,b32a942a6abccb9ed57dd2c5ab8abc668a170603aafc1e053aaae9eca7a40407,C1,C1,manual,Calibration_core,rPc6DW4iMge,3,3,3,True,True
39562b2059a547244e3fb43fcf5fb5dd69ff45b62f840ac4b3079e7c25381bc6,3d9a880c88d877ed7e94b3cc96749cd1950e7e6fe9a10677fc3629d756c778fb,C1,C1,manual,Calibration_anchor,wc2JMjhGNzB,12,12,11,True,True
3c74cecff8a3a8821648f1b768149eeb53eef9caf9fd7caaf4cb1ac7356924dd,49312b330b21ce53f0198f276a3ae97e4652f76d49be89573496f6b6ac24e153,C1,C1,manual,Calibration_core,rPc6DW4iMge,1,1,1,False,False
3f118888176652f69c49b662a9db072571596d644bc09e91a5b924063afa1f15,66ad7ffdc1853865cf84ff301debaf7066325e1350ae849e412561a90098b447,C1,C1,manual,Calibration_core,b8cTxDM8gDG,2,2,2,False,False
3f62284eb67625d31162962c2ff0ec9ff82b5698e07c0f8f4d094a29d66a3a1c,c30bb2a4043ec7342c0712a075ed8026c3a40823d31f7336ee6431ecdbc91fce,C1,C1,manual,Calibration_core,B6ByNegPMKs,4,4,4,True,True
4618af44f4a9390e0d51a6961cd935fcbd7563e178ffe54bef9efe65443897a6,38355a3bb4f09b8aa3b2d4678bc946b433c00c9e7f08d770bc68458d0c4936a1,C1,C1,manual,Calibration_core,wc2JMjhGNzB,2,2,2,False,False
463653707222b9b44702d7b9ddd7b576f5f857cab398b3f23b5db07715db4f29,3187042707b7a6c4c8fb29c1138b4d828ac054e07f8ac09bed237b4803636e52,C1,C1,manual,Calibration_core,uNb9QFRL6hY,2,2,2,False,False
4bd99e360a320ad3abf8ea47608e3eb1ffdabeea641161453acb03b68304c044,9c0723609fd868aa4920aa424a03909913dfb68d81d1f591119303d128b289c2,C1,C1,manual,Calibration_anchor,yqstnuAEVhm,11,11,11,True,True
4e38715f07624a21b4d5c404118a195400847b5efd5227aadc20fef54ca58200,d0511632a1e1adc4b2c392bfd81d23a29e0c7192e2e3bb5293779ba57b48e35f,C1,C1,manual,Calibration_anchor,uNb9QFRL6hY,12,12,11,True,True
