evidence_stage,base_task_id,reference_registry_sha256,reference_status,registry_status,reference_normalizer_status,eligible_rows,workers,current_registry_public_gt_as_is
C2A_RP_BLOCK1,2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,21063fbe53113714db92ab1ef46117a712faf5de37245f01d8898d44d44e2c6a,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,2,2,True
C2A_RP_BLOCK1,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,21063fbe53113714db92ab1ef46117a712faf5de37245f01d8898d44d44e2c6a,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,1,1,True
C2A_RP_BLOCK1,2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,21063fbe53113714db92ab1ef46117a712faf5de37245f01d8898d44d44e2c6a,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,1,1,True
C2A_RP_BLOCK1,S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,21063fbe53113714db92ab1ef46117a712faf5de37245f01d8898d44d44e2c6a,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,2,2,True
C2A_RP_BLOCK1,S9hNv5qa7GM_eba5ca774e2a41dfa6e22fbff7fe66d2,21063fbe53113714db92ab1ef46117a712faf5de37245f01d8898d44d44e2c6a,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,1,1,True
C2A_RP_BLOCK1,VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,21063fbe53113714db92ab1ef46117a712faf5de37245f01d8898d44d44e2c6a,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,1,1,True
C2A_RP_BLOCK1,VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,21063fbe53113714db92ab1ef46117a712faf5de37245f01d8898d44d44e2c6a,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,2,2,True
C2A_RP_BLOCK1,jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,21063fbe53113714db92ab1ef46117a712faf5de37245f01d8898d44d44e2c6a,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,1,1,True
C2A_RP_BLOCK1,jh4fc5c5qoQ_abbdc7ac89204f23a935fcb9ccae887c,21063fbe53113714db92ab1ef46117a712faf5de37245f01d8898d44d44e2c6a,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,1,1,True
C2A_RP_BLOCK1,jtcxE69GiFV_0aa01000f1934e73b35c348fa8d15040,21063fbe53113714db92ab1ef46117a712faf5de37245f01d8898d44d44e2c6a,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,1,1,True
C2A_RP_BLOCK1,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,21063fbe53113714db92ab1ef46117a712faf5de37245f01d8898d44d44e2c6a,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,2,2,True
C2A_RP_BLOCK1,jtcxE69GiFV_3fb4bb890d7f4964b496a46db647e72a,21063fbe53113714db92ab1ef46117a712faf5de37245f01d8898d44d44e2c6a,use_existing_public_gt_as_is,approved_by_frozen_reference_policy,passed,1,1,True
