base_task_id,task_stratum,raters,pair_count,trivial_rate,trivial_pair_agreement,occlusion_rate,occlusion_pair_agreement,low_texture_rate,low_texture_pair_agreement,seam_rate,seam_pair_agreement,reflection_rate,reflection_pair_agreement,low_quality_rate,low_quality_pair_agreement,exact_set_pair_agreement
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,ordinary,1,0,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,ordinary,2,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
S9hNv5qa7GM_2ea5348654d24115bba3dcdb21fa655e,ordinary,1,0,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,
S9hNv5qa7GM_53d54b73e58940019b731673e65c1902,stress,2,1,0.5,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,ordinary,1,0,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,stress,2,1,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
jh4fc5c5qoQ_30cdb6fe9aa6449788e271f2e24d76ec,stress,2,1,0.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0
jh4fc5c5qoQ_a59a3a61089343a8ba2834e7d3cd1066,ordinary,1,0,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
jtcxE69GiFV_1df105f34ccf4844877be7e8e2d90fad,ordinary,1,0,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,
jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,stress,2,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
jtcxE69GiFV_44661972414d44fabc0799f237e4d7f0,ordinary,1,0,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
jtcxE69GiFV_539fb3f6f19b442285b593628a8ce14e,ordinary,1,0,0.0,,1.0,,0.0,,1.0,,0.0,,0.0,,
jtcxE69GiFV_67790605390f4d439c3c59395967ec84,stress,4,6,0.0,1.0,1.0,1.0,0.0,1.0,0.25,0.5,0.0,1.0,0.25,0.5,0.16666666666666666
jtcxE69GiFV_c90412ad99334d3aa7a1ec74d8e543a1,ordinary,1,0,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,
jtcxE69GiFV_dce110162b244b2ab76a0804fc830a9e,ordinary,1,0,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,
jtcxE69GiFV_f4dc4040df5a4f038dd2b35f2bb65266,ordinary,1,0,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
pRbA3pwrgk9_03de6e2562bb4f56a88db3ceb681af78,stress,2,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
pRbA3pwrgk9_16beb21e65a84850a509972190038d0e,ordinary,1,0,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,
pRbA3pwrgk9_285b697fed754f86a09602c93628cfb4,ordinary,1,0,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,
pRbA3pwrgk9_2a3810bc7ecc491e81ff1e8a17692ec1,stress,2,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
pa4otMbVnkk_4fbdfc08c934474ea9a04977f9081d0e,ordinary,1,0,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,
pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,stress,2,1,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0
pa4otMbVnkk_64ba4f267872432abdcb00af002649d5,ordinary,1,0,0.0,,1.0,,0.0,,0.0,,0.0,,1.0,,
pa4otMbVnkk_f6005da79d2c43ba820db8124a4287d1,ordinary,1,0,0.0,,1.0,,1.0,,0.0,,0.0,,0.0,,
pa4otMbVnkk_fc4ee7e59f32491d9817b3a9a5b5e9b1,ordinary,1,0,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,
zsNo4HB9uLZ_935e0f6088a54fba87990835d1997d9a,ordinary,2,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
zsNo4HB9uLZ_aabf649f606a48a1b16d5bdcd5970602,stress,2,1,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
