bank_id,source_type,recommended_role,task_id,base_task_id,review_bucket,review_label,family_namespace,primary_issue_family,secondary_issue_families,expert_review_status,review_date,task_registry_match_count,task_registry_planned_stages,task_registry_dataset_groups,preferred_registry_uid,notes
nf_001,natural_failure,main_trap,492,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,Semi,模型标注质量好,model_issue,acceptable,,approved,2026-03-07,2,manual_test;semiauto_test,Manual_Test;SemiAuto_Test,stage3_semiauto_test:21,semi 正常初始化对照样本
nf_002,natural_failure,main_trap,501,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,Semi,模型标注质量好,model_issue,acceptable,,approved,2026-03-07,1,validation_semi,Validation_semi,stage3_validation_semi:31,semi 正常初始化对照样本
nf_003,natural_failure,main_trap,475,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,Semi,模型预标注失败,model_issue,fail,,approved,2026-03-07,1,prescreen_manual,PreScreen_manual,,自然 fail 类案例 当前未在 PreScreen_semi 计划池中
nf_004,natural_failure,main_trap,505,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,Semi,过度解析,model_issue,over_parsing,,approved,2026-03-07,1,prescreen_semi,PreScreen_semi,stage1_prescreen_semi:4,当前可直接进入 PreScreen_semi natural trap
nf_005,natural_failure,main_trap,474,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,Semi,角点错位,model_issue,corner_drift,,approved,2026-03-07,0,,,,当前未命中 A 线 planned registry
nf_006,natural_failure,main_trap,477,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,Semi,角点重复,model_issue,corner_duplicate,,approved,2026-03-07,2,calibration_manual,Calibration_anchor;Calibration_manual,,自然 duplicate 案例 当前不在 PreScreen_semi 计划池中
nf_007,natural_failure,main_trap,493,e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,Semi,跨门扩张,model_issue,overextend_adjacent,,approved,2026-03-07,1,prescreen_semi,PreScreen_semi,stage1_prescreen_semi:21,当前可直接进入 PreScreen_semi natural trap
nf_008,natural_failure,main_trap,499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,Semi,跨门扩张,model_issue,overextend_adjacent,corner_duplicate,approved,2026-03-07,3,calibration_manual;calibration_semi,Calibration_core;Calibration_manual;Calibration_semi,,复合型自然案例 主归档仍为 overextend_adjacent
nf_009,natural_failure,oos_gate,459,b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,OOS,边界不可判定,scope,oos_open_boundary,,approved,2026-03-07,1,validation_semi,Validation_semi,stage3_validation_semi:22,open-boundary 型 OOS gate
nf_010,natural_failure,oos_gate,526,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,OOS,几何假设不成立(弧形墙),scope,oos_geometry,,approved,2026-03-07,2,calibration_manual,Calibration_core;Calibration_manual,,非 Manhattan 几何 OOS gate
nf_011,natural_failure,oos_gate,476,uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,OOS,"错层,天花板下凸",scope,oos_split_level,,approved,2026-03-07,2,manual_test;semiauto_test,Manual_Test;SemiAuto_Test,,split-level / multi-plane OOS gate
nf_012,natural_failure,oos_gate,495,yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,OOS,"错层,天花板下凸",scope,oos_split_level,,approved,2026-03-07,3,calibration_manual;calibration_semi,Calibration_core;Calibration_manual;Calibration_semi,,当前仍更像错层而非普通遮挡
nf_013,natural_failure,oos_gate,496,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,OOS,"错层,天花板下凸",scope,oos_split_level,,approved,2026-03-07,1,gold_manual,Gold_manual,,当前分类可接受
nf_014,natural_failure,oos_gate,529,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,OOS,证据不足,scope,oos_insufficient,,approved,2026-03-07,2,manual_test;semiauto_test,Manual_Test;SemiAuto_Test,,大块遮挡导致关键结构证据缺失
nf_015,natural_failure,oos_gate,533,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,OOS,证据不足,scope,oos_insufficient,,approved,2026-03-07,2,calibration_manual,Calibration_core;Calibration_manual,,由 semi/fail 调整为 evidence-insufficient gate
