base_task_id,confirmatory_status,frozen_preassignment_n_ready,frozen_feature_manifest_schema_version,frozen_feature_manifest_n_tasks,frozen_feature_manifest_human_geometry_used,legacy_difficulty_label,legacy_label_status,legacy_proxy_confidence,gt_keypoint_count,gt_pair_count,manual_difficulty_vote_rows,manual_difficulty_nonempty_votes,manual_difficulty_choices_json,proposal_initial_quality_mean,analysis_role,building_id,manual_shannon_entropy,delta_shannon_entropy,exact_direction,legacy_occlusion,manual_worker_tag__occlusion,manual_worker_tag__seam,manual_worker_tag__trivial,manual_worker_tag__reflection,manual_worker_tag__low_texture
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,occlusion;low_texture,legacy_proxy,legacy_proxy,16,8,5,5,"[""occlusion"", ""trivial""]",1.0,exploratory_uncoupled_proxy_description,7y3sRwLe3Va,0.7158003854659982,-0.7158003854659982,semi_convergence,True,True,False,True,False,False
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,occlusion,legacy_proxy,legacy_proxy,20,10,5,5,"[""low_quality"", ""occlusion""]",1.0,exploratory_uncoupled_proxy_description,7y3sRwLe3Va,0.848766520351474,0.1909542504884438,semi_expansion,True,True,False,False,False,False
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,,none,weak_proxy,8,4,5,5,"[""low_texture"", ""occlusion"", ""reflection"", ""seam"", ""trivial""]",1.0,exploratory_uncoupled_proxy_description,B6ByNegPMKs,0.4498681156950466,-0.4498681156950466,semi_convergence,False,True,True,True,True,True
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,occlusion,legacy_proxy,confirmed,8,4,5,5,"[""low_texture"", ""occlusion"", ""trivial""]",1.0,exploratory_uncoupled_proxy_description,B6ByNegPMKs,0.0,0.5623351446188083,semi_expansion,True,True,False,True,False,True
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,,none,weak_proxy,12,6,5,5,"[""low_quality"", ""low_texture"", ""occlusion"", ""reflection"", ""seam"", ""trivial""]",1.0,exploratory_uncoupled_proxy_description,B6ByNegPMKs,0.4373717791479621,0.1249633654708461,semi_expansion,False,True,True,True,True,True
UwV83HsGsw3_a3630444bbd94cd6ac4edbe2dc1221de,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,seam,legacy_proxy,legacy_proxy,12,6,5,5,"[""low_texture"", ""occlusion"", ""reflection"", ""trivial""]",1.0,exploratory_uncoupled_proxy_description,UwV83HsGsw3,0.9704060527839232,0.0693147180559946,semi_expansion,False,True,False,True,True,True
X7HyMhZNoso_b6f452209a62499795e5bd137214a7f9,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,residual,legacy_proxy,confirmed,8,4,5,5,"[""occlusion"", ""trivial""]",1.0,exploratory_uncoupled_proxy_description,X7HyMhZNoso,0.848766520351474,-0.2864313757326657,semi_convergence,False,True,False,True,False,False
Z6MFQCViBuw_2008e72476f84104858e908beeac0193,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,occlusion,legacy_proxy,legacy_proxy,8,4,5,5,"[""low_texture"", ""occlusion""]",1.0,exploratory_uncoupled_proxy_description,Z6MFQCViBuw,0.0,0.0,no_entropy_change,True,True,False,False,False,True
Z6MFQCViBuw_22fff6c74efb476592569c18718feb41,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,low_quality;occlusion;seam;residual,legacy_proxy,legacy_proxy,8,4,5,5,"[""low_texture"", ""occlusion"", ""seam""]",1.0,exploratory_uncoupled_proxy_description,Z6MFQCViBuw,0.0,0.0,no_entropy_change,True,True,True,False,False,True
q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,occlusion;low_texture,legacy_proxy,legacy_proxy,16,8,5,5,"[""occlusion"", ""trivial""]",0.965819257586173,exploratory_uncoupled_proxy_description,q9vSo1VnCiC,0.0,1.3862943611198906,semi_expansion,True,True,False,True,False,False
q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,occlusion,legacy_proxy,legacy_proxy,16,8,5,5,"[""occlusion""]",1.0,exploratory_uncoupled_proxy_description,q9vSo1VnCiC,0.0,0.5623351446188083,semi_expansion,True,True,False,False,False,False
q9vSo1VnCiC_a424533651804a38a55b1252daccc81e,not_evaluable,0,paper_a_preannotation_task_features_v1,87,False,trivial,legacy_proxy,legacy_proxy,24,12,5,5,"[""low_texture"", ""occlusion"", ""reflection"", ""seam"", ""trivial""]",,exploratory_uncoupled_proxy_description,q9vSo1VnCiC,0.3819085009768876,-0.3819085009768876,semi_convergence,False,True,True,True,True,True
