finding_id,evidence_class,predictor_or_contrast,outcome,n_tasks,n_buildings,estimate,ci_lower,ci_upper,p_value,secondary_counts,interpretation_zh
paired_entropy_overall,current_outcome,Semi - Manual Shannon entropy,delta_shannon_entropy,25,9,-0.01000534917024881,-0.21944574029230848,0.17660404293466486,0.9140625,"{""convergence"": 10, ""no_change"": 4, ""expansion"": 11}",总体均值接近零且 building 区间跨零；当前没有净收敛或净扩散方向。
formal_preassignment_risk,frozen_preassignment,frozen pre-assignment risk,delta_shannon_entropy,22,9,,,,,"{""n_ready"": 0}",正式冻结的标注前 predictor 当前不可用；结论是不可评价，不是没有关系。
legacy_gt_pair_count,legacy_preoutcome_proxy,gt_pair_count,delta_shannon_entropy,22,9,0.296676029184406,-0.10380329466976479,0.6465616951736152,0.18000928711142258,,旧代理与当前结果的探索性相关；未检出稳定关系。
legacy_occlusion,legacy_preoutcome_proxy,legacy_occlusion: present - absent,delta_shannon_entropy,22,9,0.5800427818501239,0.0967110708032215,1.062611768842936,0.19838056680161942,"{""present_n"": 11, ""absent_n"": 11, ""present_expansion"": 7, ""absent_expansion"": 3}",旧代理仅作候选线索。
manual_worker_tag__occlusion,worker_postresponse_tag,manual_worker_tag__occlusion: present - absent,delta_shannon_entropy,22,9,-0.0027535416871400428,-0.1797210136356396,0.227219744077473,1.0,"{""present_n"": 21, ""absent_n"": 1, ""present_expansion"": 10, ""absent_expansion"": 0}",工人响应后标签不是独立标注前图像特质。
manual_worker_tag__seam,worker_postresponse_tag,manual_worker_tag__seam: present - absent,delta_shannon_entropy,22,9,-0.4188323197637107,-0.839189366023519,0.05871561178935801,0.2043343653250774,"{""present_n"": 8, ""absent_n"": 14, ""present_expansion"": 2, ""absent_expansion"": 8}",工人响应后标签不是独立标注前图像特质。
manual_worker_tag__trivial,worker_postresponse_tag,manual_worker_tag__trivial: present - absent,delta_shannon_entropy,22,9,0.12455458565487738,-0.37508533246299147,0.8548363226407447,1.0,"{""present_n"": 17, ""absent_n"": 5, ""present_expansion"": 8, ""absent_expansion"": 2}",工人响应后标签不是独立标注前图像特质。
manual_worker_tag__reflection,worker_postresponse_tag,manual_worker_tag__reflection: present - absent,delta_shannon_entropy,22,9,-0.0020301408588492232,-0.5451575353879019,0.46717569706846784,0.34763379035824854,"{""present_n"": 6, ""absent_n"": 16, ""present_expansion"": 4, ""absent_expansion"": 6}",工人响应后标签不是独立标注前图像特质。
manual_worker_tag__low_texture,worker_postresponse_tag,manual_worker_tag__low_texture: present - absent,delta_shannon_entropy,22,9,-0.1501961555644658,-0.6945112582668894,0.2788865445152938,1.0,"{""present_n"": 9, ""absent_n"": 13, ""present_expansion"": 4, ""absent_expansion"": 6}",工人响应后标签不是独立标注前图像特质。
manual_entropy_algebraic_coupling,algebraically_coupled_baseline,manual_shannon_entropy,delta_shannon_entropy,25,9,-0.6882081353048874,,,0.00014316511116867523,,ΔH 含有 -H_Manual，存在代数耦合、地板效应和回归均值；不能解释为独立难度效应。
