category,metric,value,unit_or_scope,interpretation,source
raw_selection,raw_annotation_versions,2273,P1+C1 non-cancelled versions,audit inventory,analysis_results/rq1_corrections_20260826/SUMMARY.json
raw_selection,independent_acquisition_keys,2261,project×runtime_task×worker,latest-version analysis units,analysis_results/rq1_corrections_20260826/SUMMARY.json
raw_selection,frozen_selection_matches,2260,of 2261,only mismatch is an exact-result duplicate,analysis_results/rq1_corrections_20260826/SUMMARY.json
raw_selection,duplicate_version_excess,12,annotations,extra versions beyond one per acquisition key,analysis_results/rq1_corrections_20260826/SUMMARY.json
high_density,task_context_count,42,P1 Manual 30 + C1 anchor 12,measurement calibration set,analysis_results/rq1_corrections_20260826/SUMMARY.json
high_density,amendment_support_range,23-26,workers per task,all 42 contexts have k≥20,analysis_results/rq1_corrections_20260826/SUMMARY.json
c1_core,unique_task_contexts,75,Manual contexts,assigned operational task sample,analysis_results/rq1_corrections_20260826/SUMMARY.json
c1_core,raw_strict_k_ge5,70,Manual contexts,not final C1 calculation contract,analysis_results/rq1_corrections_20260826/SUMMARY.json
c1_core,amendment_k_ge5,72,Manual contexts,formal derived-geometry calculation support,analysis_results/rq1_corrections_20260826/SUMMARY.json
c1_core,raw_strict_k_distribution,"3:1;4:4;5:49;6:20;7:1",contexts,generic parser,analysis_results/rq1_corrections_20260826/SUMMARY.json
c1_core,amendment_k_distribution,"3:1;4:2;5:51;6:20;7:1",contexts,C1 orphan-point amendment applied,analysis_results/rq1_corrections_20260826/SUMMARY.json
c1_geometry,repair_applied_count,3,C1 records,2 Manual core and 1 Semi,analysis_results/rq1_corrections_20260826/SUMMARY.json
subsampling_mask,k5_spearman_median,0.8819382545984928,42 high-density tasks,usable for average cross-image effects not stable single-image truth,analysis_results/rq1_corrections_20260826/support_calibration_summary.csv
subsampling_mask,k5_mae_median,0.031281808243815476,wall-region 1-IoU scale,substantial per-image measurement noise,analysis_results/rq1_corrections_20260826/support_calibration_summary.csv
subsampling_mask,k5_top20_recall_median,0.7777777777777778,42 high-density tasks,high-uncertainty screening remains imperfect,analysis_results/rq1_corrections_20260826/support_calibration_summary.csv
subsampling_mask,k8_spearman_median,0.9272344218458797,42 high-density tasks,ranking improves with support,analysis_results/rq1_corrections_20260826/support_calibration_summary.csv
subsampling_mask,k15_spearman_median,0.9747184182805283,42 high-density tasks,high ranking stability in this historical set,analysis_results/rq1_corrections_20260826/support_calibration_summary.csv
subsampling_boundary,k5_spearman_median,0.8579531642492505,42 high-density tasks,separate candidate channel,analysis_results/rq1_corrections_20260826/support_calibration_summary.csv
subsampling_wall,k5_spearman_median,0.8093347378656511,42 high-density tasks,separate candidate channel,analysis_results/rq1_corrections_20260826/support_calibration_summary.csv
roster_sensitivity,roster20_full_support_spearman_median,0.9860139860139862,12 C1 anchors versus 23-worker full support,roster reduction itself is small,analysis_results/rq1_corrections_20260826/c1_anchor_roster20_sensitivity.csv
roster_sensitivity,roster20_k5_spearman_median,0.8671328671328673,12 C1 anchors,per-arm k5 is the larger limitation,analysis_results/rq1_corrections_20260826/c1_anchor_roster20_sensitivity.csv
roster_sensitivity,roster20_k5_spearman_q05,0.5171328671328672,12 C1 anchors,large lower-tail instability,analysis_results/rq1_corrections_20260826/c1_anchor_roster20_sensitivity.csv
cardinality,full_count_diverse_tasks,37,of 42 high-density tasks,more than one vertical-boundary count observed at full support,analysis_results/rq1_corrections_20260826/boundary_count_detection_summary.csv
cardinality,k5_detection_given_diverse,0.6354594594594595,probability,absence at k5 is weak negative evidence,analysis_results/rq1_corrections_20260826/boundary_count_detection_summary.csv
cardinality,k8_detection_given_diverse,0.7271081081081081,probability,still incomplete,analysis_results/rq1_corrections_20260826/boundary_count_detection_summary.csv
cardinality,k15_detection_given_diverse,0.8812432432432431,probability,substantially improved,analysis_results/rq1_corrections_20260826/boundary_count_detection_summary.csv
cluster_threshold,q090_supported_multimodal,21,of 42,algorithmic classification only,analysis_results/rq1_corrections_20260826/cluster_threshold_count_summary.csv
cluster_threshold,q095_supported_multimodal,21,of 42,algorithmic classification only,analysis_results/rq1_corrections_20260826/cluster_threshold_count_summary.csv
cluster_threshold,q098_supported_multimodal,14,of 42,strong threshold sensitivity,analysis_results/rq1_corrections_20260826/cluster_threshold_count_summary.csv
cluster_threshold,q098_not_evaluable,19,of 42,not suitable as frozen prevalence measure,analysis_results/rq1_corrections_20260826/cluster_threshold_count_summary.csv
null_replay,mask_60_image_mde_lower_bound,0.02686-0.02715,80% conditional MDE,sampling-noise lower bound not formal power,analysis_results/rq1_corrections_20260826/null_replay_sample_size_scenarios.csv
