condition,building,family,qualified_workers,requested_groups,actual_groups,singleton_types,status
manual,2t7WUuJeko7,Q,24,2,2,0,fitted_exploratory
manual,2t7WUuJeko7,Q,24,3,3,0,fitted_exploratory
manual,2t7WUuJeko7,Q,24,4,4,0,fitted_exploratory
manual,2t7WUuJeko7,Q,24,5,5,0,fitted_exploratory
manual,2t7WUuJeko7,Q,24,6,6,1,fitted_exploratory
manual,2t7WUuJeko7,Q,24,7,7,1,fitted_exploratory
manual,2t7WUuJeko7,Q,24,8,8,1,fitted_exploratory
manual,2t7WUuJeko7,Q,24,9,9,2,fitted_exploratory
manual,2t7WUuJeko7,Q,24,10,10,4,fitted_exploratory
manual,2t7WUuJeko7,Q,24,11,11,4,fitted_exploratory
manual,2t7WUuJeko7,Q,24,12,12,5,fitted_exploratory
manual,2t7WUuJeko7,T,23,2,2,0,fitted_exploratory
manual,2t7WUuJeko7,T,23,3,3,0,fitted_exploratory
manual,2t7WUuJeko7,T,23,4,4,0,fitted_exploratory
manual,2t7WUuJeko7,T,23,5,5,0,fitted_exploratory
manual,2t7WUuJeko7,T,23,6,6,1,fitted_exploratory
manual,2t7WUuJeko7,T,23,7,7,1,fitted_exploratory
manual,2t7WUuJeko7,T,23,8,8,1,fitted_exploratory
manual,2t7WUuJeko7,T,23,9,9,2,fitted_exploratory
manual,2t7WUuJeko7,T,23,10,10,3,fitted_exploratory
manual,2t7WUuJeko7,T,23,11,11,3,fitted_exploratory
manual,2t7WUuJeko7,S,24,2,2,0,fitted_exploratory
manual,2t7WUuJeko7,S,24,3,3,0,fitted_exploratory
manual,2t7WUuJeko7,S,24,4,4,1,fitted_exploratory
manual,2t7WUuJeko7,S,24,5,5,1,fitted_exploratory
manual,2t7WUuJeko7,S,24,6,6,1,fitted_exploratory
manual,2t7WUuJeko7,S,24,7,7,1,fitted_exploratory
manual,2t7WUuJeko7,S,24,8,8,1,fitted_exploratory
manual,2t7WUuJeko7,S,24,9,9,2,fitted_exploratory
manual,2t7WUuJeko7,S,24,10,10,3,fitted_exploratory
manual,2t7WUuJeko7,S,24,11,11,3,fitted_exploratory
manual,2t7WUuJeko7,S,24,12,12,4,fitted_exploratory
manual,2t7WUuJeko7,B,24,2,2,0,fitted_exploratory
manual,2t7WUuJeko7,B,24,3,3,0,fitted_exploratory
manual,2t7WUuJeko7,B,24,4,4,0,fitted_exploratory
manual,2t7WUuJeko7,B,24,5,5,0,fitted_exploratory
manual,2t7WUuJeko7,B,24,6,6,0,fitted_exploratory
manual,2t7WUuJeko7,B,24,7,7,1,fitted_exploratory
manual,2t7WUuJeko7,B,24,8,8,3,fitted_exploratory
manual,2t7WUuJeko7,B,24,9,9,3,fitted_exploratory
manual,2t7WUuJeko7,B,24,10,10,5,fitted_exploratory
manual,2t7WUuJeko7,B,24,11,11,5,fitted_exploratory
manual,2t7WUuJeko7,B,24,12,12,5,fitted_exploratory
manual,2t7WUuJeko7,QT,23,2,2,0,fitted_exploratory
manual,2t7WUuJeko7,QT,23,3,3,0,fitted_exploratory
