image_id,condition,future_workers,future_canonical_ids,observed_n
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,W006;W010,9ba553c8c79977374da6;bd14297e6f34d6705898,5
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,W029;W032,be7a92e1f36d2292;6a317a400188cb9b,24
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,W013;W014,e13f31dcfeca786f;c98ff21fd3ac34dc,24
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,manual,W010;W011,bc6afe53ebf4fa056431;44137bda12cf49a72738,5
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual,W031;W035,1c3df8c137a169fee41d;b02aea4f86afbc5430f7,6
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,W018;W032,c63d05f140fcc66be4df;e6f01175aabbf9fcafe7,6
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,W006;W036,4486738211819be8d3d4;53cffa383a4d19c3e30e,4
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,manual,W002;W034,a25753564e8d0fb8f8d6;84ac11f23b306b7457b4,5
7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,semi,W010;W035,2aea8c4c7647e5dcbf4f;8f8a8cc073aa91a7c1c7,4
7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,manual,W028;W036,5c79ca3a486aa69a57d2;268bafd92e9f27eee478,5
7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,manual,W001;W029,c9e40b1fe2b3537ffc79;b81af97c20cfc379eb17,5
7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,manual,W032;W034,27b18dbca838c732fe36;e989d5cbe8078c1ac797,5
B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,semi,W012;W029,e7ac757b87291eaa;2d656d0b379aca23,24
B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual,W012;W013,7b70014ef90dfa00;77ab07a0a6d85137,24
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,manual,W015;W033,ad005008336266edcd64;9378da78037a5091f22e,5
B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,semi,W029;W035,198b56fd7f0946ac5b09;b47f07e34df3a99ff20d,4
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,manual,W028;W036,53a1af9cac0415879d2f;cc1c0c89b7e5fdacc836,5
B6ByNegPMKs_7018ca302c584d0d85024187f3568460,semi,W030;W032,bbb44530a7ff92f92b27;bf6d1e98afbb6306ebff,4
B6ByNegPMKs_75327de9719945aa8b893a6404667884,semi,W008;W032,aba9b1487cd9adfb;89af3c23558522cb,24
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,W012;W033,474404c2ac9d79ca;8ac26fbb43c6d9aa,23
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,W013;W034,26a3cf470c4ab78ffaea;83822f0c9ce15f483174,6
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,W010;W027,70e8f5079c7b09c6af6d;a54fcd23c12204b62cba,4
B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual,W017;W029,a10544ac2d404470;1614c0e2e49fb8a1,24
B6ByNegPMKs_e26e2cb761894264a4a34b1046701f6b,manual,W001;W027,79f3478ea5e43fc1f95a;c498069d0547cb81a534,5
B6ByNegPMKs_e52609aae11f42a79f6cf50360180fd5,manual,W018;W032,0cb5a7c23d9bc70208b1;381c007b1df27d00b6ab,6
B6ByNegPMKs_ee063d1562c147f586ebb9f6fdb05ca6,manual,W017;W030,62d758541221214e1490;8e4588afd83a55aaaa18,5
S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e,manual,W035;W037,4f08770787663224f0ab;32e17fb3edf0dc56817f,19
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,W006;W008,765d0c2d12598ed33ff0;bfefc3cd906e2b38d521,20
