image_id,building_id,split,population_role,image_url,image_url_provenance,local_image_source,room_instance_id,room_identity_status,region_class_values_json,room_mapping_status,coordinate_width,coordinate_height
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,val,historical_annotated,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f.jpg,historical_registry,,,unknown_not_inferred_from_building_or_class,"[""12""]",region_class_only,1024,512
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,val,historical_annotated,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/2t7WUuJeko7_7b017f053981438a9c075e599f2c5866.jpg,historical_registry,,,unknown_not_inferred_from_building_or_class,"[""11""]",region_class_only,1024,512
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,val,historical_annotated,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a.jpg,historical_registry,,,unknown_not_inferred_from_building_or_class,"[""11""]",region_class_only,1024,512
7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09,7y3sRwLe3Va,test,candidate_without_historical_annotation,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.jpg,public_GT_import,data/mp3d_layout/test/img/7y3sRwLe3Va_0e9fdd85e24a4a35b3dc1e8cb76ebb09.png,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512
7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44,7y3sRwLe3Va,test,candidate_without_historical_annotation,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.jpg,public_GT_import,data/mp3d_layout/test/img/7y3sRwLe3Va_0eb1323894e041efa23d2f3e60efbe44.png,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,test,historical_annotated,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.jpg,historical_registry,,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,test,historical_annotated,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a.jpg,historical_registry,,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512
7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76,7y3sRwLe3Va,test,candidate_without_historical_annotation,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.jpg,public_GT_import,data/mp3d_layout/test/img/7y3sRwLe3Va_155fac2d50764bf09feb6c8f33e8fb76.png,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512
7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,7y3sRwLe3Va,test,candidate_without_historical_annotation,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.jpg,public_GT_import,data/mp3d_layout/test/img/7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9.png,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512
7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73,7y3sRwLe3Va,test,candidate_without_historical_annotation,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.jpg,public_GT_import,data/mp3d_layout/test/img/7y3sRwLe3Va_1e7c16e6cb054c9fbbeb15160bc11f73.png,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512
7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,7y3sRwLe3Va,test,historical_annotated,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce.jpg,historical_registry,,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512
7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,7y3sRwLe3Va,test,candidate_without_historical_annotation,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.jpg,public_GT_import,data/mp3d_layout/test/img/7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040.png,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512
7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e,7y3sRwLe3Va,test,candidate_without_historical_annotation,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.jpg,public_GT_import,data/mp3d_layout/test/img/7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e.png,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512
7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861,7y3sRwLe3Va,test,candidate_without_historical_annotation,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861.jpg,public_GT_import,data/mp3d_layout/test/img/7y3sRwLe3Va_606f9842b8af48daa28f10df8b69d861.png,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512
7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va,test,historical_annotated,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09.jpg,historical_registry,,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,test,historical_annotated,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456.jpg,historical_registry,,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512
7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,test,historical_annotated,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e.jpg,historical_registry,,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512
7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,test,historical_annotated,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e.jpg,historical_registry,,,unknown_not_inferred_from_building_or_class,[],unmapped,1024,512
