collection_class,task_folder_name,task_id,base_task_id,layout_txt_path,image_path,layout_coord_contract,priority_annotation,has_layout_txt,has_image
拼接缝及拉伸,task462,462,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual\拼接缝及拉伸\task462\UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.txt,manual\拼接缝及拉伸\task462\UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
拼接缝及拉伸,task510,510,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual\拼接缝及拉伸\task510\B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.txt,manual\拼接缝及拉伸\task510\B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
拼接缝及拉伸,task570(同时是角点错位),570,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,manual\拼接缝及拉伸\task570(同时是角点错位)\B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624.txt,manual\拼接缝及拉伸\task570(同时是角点错位)\B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,同时是角点错位,True,True
拼接缝及拉伸,task670,670,x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23,manual\拼接缝及拉伸\task670\x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23.txt,manual\拼接缝及拉伸\task670\x8F5xyUWy9e_a51a0e2811f342a599ae4cdb9b84ff23.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
拼接缝及拉伸,task687,687,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086,manual\拼接缝及拉伸\task687\B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086.txt,manual\拼接缝及拉伸\task687\B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
玻璃,task470,470,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual\玻璃\task470\UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.txt,manual\玻璃\task470\UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
玻璃,task509(可能有歧义),509,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,manual\玻璃\task509(可能有歧义)\wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e.txt,manual\玻璃\task509(可能有歧义)\wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,可能有歧义,True,True
玻璃,task555,555,X7HyMhZNoso_987fd31155514f6facb131bd5c14881d,manual\玻璃\task555\X7HyMhZNoso_987fd31155514f6facb131bd5c14881d.txt,manual\玻璃\task555\X7HyMhZNoso_987fd31155514f6facb131bd5c14881d.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
玻璃,task567(低优先),567,yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5,manual\玻璃\task567(低优先)\yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5.txt,manual\玻璃\task567(低优先)\yqstnuAEVhm_e9b4d8e951cb4712b3905c8f4c4dabb5.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,低优先,True,True
玻璃,task697,697,rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5,manual\玻璃\task697\rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5.txt,manual\玻璃\task697\rPc6DW4iMge_186a32a1b7e34cb797731bfa78365db5.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
玻璃,task714(高难度),714,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,manual\玻璃\task714(高难度)\rPc6DW4iMge_fbc169773c954580baea6d2798c0d486.txt,manual\玻璃\task714(高难度)\rPc6DW4iMge_fbc169773c954580baea6d2798c0d486.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,高难度,True,True
纹理弱 纯色墙,task559,559,e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,manual\纹理弱 纯色墙\task559\e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab.txt,manual\纹理弱 纯色墙\task559\e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
纹理弱 纯色墙,"task569(同时是一角多点,纹理弱)",569,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,"manual\纹理弱 纯色墙\task569(同时是一角多点,纹理弱)\uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a.txt","manual\纹理弱 纯色墙\task569(同时是一角多点,纹理弱)\uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a.png",hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,"同时是一角多点,纹理弱",True,True
纹理弱 纯色墙,task614,614,uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7,manual\纹理弱 纯色墙\task614\uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7.txt,manual\纹理弱 纯色墙\task614\uNb9QFRL6hY_c1ebb8b34eb846ba9b5ce23b30b299a7.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
遮挡明显,task497,497,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,manual\遮挡明显\task497\uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384.txt,manual\遮挡明显\task497\uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384.png,hohonet_layout_txt_pixel_coords_point_pairs_or_x_yceil_yfloor@1024x512,,True,True
