candidate_id,base_task_id,task_id,family,source_type,repairability,ambiguity_risk,manual_anchor_eligible,prescreen_trap_eligible,selection_policy_bucket,priority_annotation,overlap_with_tentative_control_pool,notes
control_492,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,492,acceptable,control_natural,not_applicable_control,not_flagged_from_folder_name,False,False,control,,True,Acceptable natural seed; candidate control row only.
control_501,X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,501,acceptable,control_natural,not_applicable_control,not_flagged_from_folder_name,False,False,control,,True,Acceptable natural seed; candidate control row only.
control_568,e9zR4mvMWw7_409f2a738bf54153b9b77c39e7a4ea45,568,acceptable,control_natural,not_applicable_control,not_flagged_from_folder_name,False,False,control,,True,Acceptable natural seed; candidate control row only.
control_572,wc2JMjhGNzB_77962388887942148ee65c2892600e02,572,acceptable,control_natural,not_applicable_control,not_flagged_from_folder_name,False,False,control,,True,Acceptable natural seed; candidate control row only.
control_573,wc2JMjhGNzB_3504ff17bcae4d6c85bdc61fc3a5bf0c,573,acceptable,control_natural,not_applicable_control,not_flagged_from_folder_name,False,False,control,,True,Acceptable natural seed; candidate control row only.
control_576,wc2JMjhGNzB_3848b1ba65fa49308c3d0a79f63782b3,576,acceptable,control_natural,not_applicable_control,priority_flag_present,False,False,control,低优先,True,Acceptable natural seed; candidate control row only.
natural_fail_475,wc2JMjhGNzB_1d8917d25abb4a77a0da9583dc82c17c,475,fail,trap_natural,review_required_natural_case,not_flagged_from_folder_name,False,True,optional_small_quota,,False,Natural semi candidate from trap集/semi/模型预标注失败.
natural_underextend_579,7y3sRwLe3Va_9bbf903d50da4ffd9e5d1fb7c9f4d69b,579,underextend,trap_natural,review_required_natural_case,not_flagged_from_folder_name,False,True,trap_extension,,False,Natural semi candidate from trap集/semi/漏标.
natural_underextend_712,wc2JMjhGNzB_40ea4145b9e946aab5d56de3ce179c8e,712,underextend,trap_natural,review_required_natural_case,not_flagged_from_folder_name,False,True,trap_extension,,False,Natural semi candidate from trap集/semi/漏标.
natural_corner_duplicate_477,uNb9QFRL6hY_aed830f085ee4ad88ef6bed7f66f1359,477,corner_duplicate,trap_natural,review_required_natural_case,not_flagged_from_folder_name,False,True,trap_core,,False,Natural semi candidate from trap集/semi/角点重复.
natural_corner_drift_474,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,474,corner_drift,trap_natural,review_required_natural_case,not_flagged_from_folder_name,False,True,trap_core,,False,Natural semi candidate from trap集/semi/角点错位.
natural_corner_drift_570,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624,570,corner_drift,trap_natural,review_required_natural_case,not_flagged_from_folder_name,False,True,trap_core,,False,Natural semi candidate from trap集/semi/角点错位.
natural_corner_drift_625,b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,625,corner_drift,trap_natural,review_required_natural_case,not_flagged_from_folder_name,False,True,trap_core,,False,Natural semi candidate from trap集/semi/角点错位.
natural_overextend_adjacent_493,e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,493,overextend_adjacent,trap_natural,review_required_natural_case,not_flagged_from_folder_name,False,True,trap_core,,False,Natural semi candidate from trap集/semi/跨门扩张.
natural_overextend_adjacent_499,q9vSo1VnCiC_1cd414875b9b4311bc6a179d91e6270d,499,overextend_adjacent,trap_natural,review_required_natural_case,not_flagged_from_folder_name,False,True,trap_core,,False,Natural semi candidate from trap集/semi/跨门扩张.
natural_overextend_adjacent_569,uNb9QFRL6hY_bcce4f23c12744c782c0b49b24a0331a,569,overextend_adjacent,trap_natural,review_required_natural_case,priority_flag_present,False,True,trap_core,同时是一角多点,False,Natural semi candidate from trap集/semi/跨门扩张.
natural_overextend_adjacent_577,wc2JMjhGNzB_cae8fb3d40314ecea16654062030571b,577,overextend_adjacent,trap_natural,review_required_natural_case,not_flagged_from_folder_name,False,True,trap_core,,False,Natural semi candidate from trap集/semi/跨门扩张.
natural_over_parsing_505,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8,505,over_parsing,trap_natural,review_required_natural_case,not_flagged_from_folder_name,False,True,trap_core,,False,Natural semi candidate from trap集/semi/过度解析.
natural_over_parsing_574,wc2JMjhGNzB_e7d38d204e374f6b8300c5a559a768e9,574,over_parsing,trap_natural,review_required_natural_case,not_flagged_from_folder_name,False,True,trap_core,,False,Natural semi candidate from trap集/semi/过度解析.
natural_over_parsing_683,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,683,over_parsing,trap_natural,review_required_natural_case,not_flagged_from_folder_name,False,True,trap_core,,False,Natural semi candidate from trap集/semi/过度解析.
