id,code,worker,condition,route,role,ordinal,point_index,x,y
9c8a68204bbf22bf,7y3sRwLe3Va-04,W001,manual,split,top,1,1,119.30097087378641,167.02135922330098
9c8a68204bbf22bf,7y3sRwLe3Va-04,W001,manual,split,top,2,3,387.7281553398058,161.05631067961164
9c8a68204bbf22bf,7y3sRwLe3Va-04,W001,manual,split,top,3,5,648.2019417475728,167.02135922330098
9c8a68204bbf22bf,7y3sRwLe3Va-04,W001,manual,split,top,4,7,900.7223300970874,169.0097087378641
9c8a68204bbf22bf,7y3sRwLe3Va-04,W001,manual,split,bottom,1,2,123.27766990291262,375.7980582524272
9c8a68204bbf22bf,7y3sRwLe3Va-04,W001,manual,split,bottom,2,4,381.76310679611646,371.821359223301
9c8a68204bbf22bf,7y3sRwLe3Va-04,W001,manual,split,bottom,3,6,648.2019417475728,371.821359223301
9c8a68204bbf22bf,7y3sRwLe3Va-04,W001,manual,split,bottom,4,8,894.7572815533981,373.80970873786407
9c8a68204bbf22bf,7y3sRwLe3Va-04,W001,manual,bound,top,1,1,119.30097087378641,167.02135922330098
9c8a68204bbf22bf,7y3sRwLe3Va-04,W001,manual,bound,bottom,1,2,123.27766990291262,375.7980582524272
9c8a68204bbf22bf,7y3sRwLe3Va-04,W001,manual,bound,top,2,3,387.7281553398058,161.05631067961164
9c8a68204bbf22bf,7y3sRwLe3Va-04,W001,manual,bound,bottom,2,4,381.76310679611646,371.821359223301
9c8a68204bbf22bf,7y3sRwLe3Va-04,W001,manual,bound,top,3,5,648.2019417475728,167.02135922330098
9c8a68204bbf22bf,7y3sRwLe3Va-04,W001,manual,bound,bottom,3,6,648.2019417475728,371.821359223301
9c8a68204bbf22bf,7y3sRwLe3Va-04,W001,manual,bound,top,4,7,900.7223300970874,169.0097087378641
9c8a68204bbf22bf,7y3sRwLe3Va-04,W001,manual,bound,bottom,4,8,894.7572815533981,373.80970873786407
84b0461c974c6f08,7y3sRwLe3Va-04,W010,manual,split,top,1,2,121.18343195266272,157.53846153846155
84b0461c974c6f08,7y3sRwLe3Va-04,W010,manual,split,top,2,3,381.72781065088765,154.50887573964496
84b0461c974c6f08,7y3sRwLe3Va-04,W010,manual,split,top,3,6,645.301775147929,154.50887573964496
84b0461c974c6f08,7y3sRwLe3Va-04,W010,manual,split,top,4,7,899.7869822485208,160.5680473372781
84b0461c974c6f08,7y3sRwLe3Va-04,W010,manual,split,bottom,1,1,124.2130177514793,372.6390532544379
84b0461c974c6f08,7y3sRwLe3Va-04,W010,manual,split,bottom,2,4,378.698224852071,375.6686390532544
84b0461c974c6f08,7y3sRwLe3Va-04,W010,manual,split,bottom,3,5,645.301775147929,378.698224852071
84b0461c974c6f08,7y3sRwLe3Va-04,W010,manual,split,bottom,4,8,896.7573964497043,372.6390532544379
84b0461c974c6f08,7y3sRwLe3Va-04,W010,manual,bound,top,1,2,121.18343195266272,157.53846153846155
84b0461c974c6f08,7y3sRwLe3Va-04,W010,manual,bound,bottom,1,1,124.2130177514793,372.6390532544379
84b0461c974c6f08,7y3sRwLe3Va-04,W010,manual,bound,top,2,3,381.72781065088765,154.50887573964496
84b0461c974c6f08,7y3sRwLe3Va-04,W010,manual,bound,bottom,2,4,378.698224852071,375.6686390532544
84b0461c974c6f08,7y3sRwLe3Va-04,W010,manual,bound,top,3,6,645.301775147929,154.50887573964496
84b0461c974c6f08,7y3sRwLe3Va-04,W010,manual,bound,bottom,3,5,645.301775147929,378.698224852071
84b0461c974c6f08,7y3sRwLe3Va-04,W010,manual,bound,top,4,7,899.7869822485208,160.5680473372781
84b0461c974c6f08,7y3sRwLe3Va-04,W010,manual,bound,bottom,4,8,896.7573964497043,372.6390532544379
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,W011,manual,split,top,1,1,123.6233250931997,160.05386931639694
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,W011,manual,split,top,2,3,380.9250138526819,158.0001552107273
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,W011,manual,split,top,3,5,645.5061588338245,160.3615929178369
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,W011,manual,split,top,4,7,897.2129629073912,162.39148649907537
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,W011,manual,split,bottom,1,2,121.26250225880266,376.06914622558776
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,W011,manual,split,bottom,2,4,381.61999327282706,378.5751529009694
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,W011,manual,split,bottom,3,6,645.5061588338245,378.5751529009694
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,W011,manual,split,bottom,4,8,897.2129629073912,375.53031252911177
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,W011,manual,bound,top,1,1,123.6233250931997,160.05386931639694
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,W011,manual,bound,bottom,1,2,121.26250225880266,376.06914622558776
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,W011,manual,bound,top,2,3,380.9250138526819,158.0001552107273
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,W011,manual,bound,bottom,2,4,381.61999327282706,378.5751529009694
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,W011,manual,bound,top,3,5,645.5061588338245,160.3615929178369
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,W011,manual,bound,bottom,3,6,645.5061588338245,378.5751529009694
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,W011,manual,bound,top,4,7,897.2129629073912,162.39148649907537
b36f0dc2bb36d9b6,7y3sRwLe3Va-04,W011,manual,bound,bottom,4,8,897.2129629073912,375.53031252911177
e43b14b1a0c01b0f,7y3sRwLe3Va-04,W012,manual,split,top,1,1,123.04684317718942,164.75763747454178
e43b14b1a0c01b0f,7y3sRwLe3Va-04,W012,manual,split,top,2,3,377.4826883910388,158.5010183299389
e43b14b1a0c01b0f,7y3sRwLe3Va-04,W012,manual,split,top,3,5,648.6028513238289,158.5010183299389
e43b14b1a0c01b0f,7y3sRwLe3Va-04,W012,manual,split,top,4,7,898.8676171079429,164.75763747454178
e43b14b1a0c01b0f,7y3sRwLe3Va-04,W012,manual,split,bottom,1,2,120.9613034623218,371.2260692464358
e43b14b1a0c01b0f,7y3sRwLe3Va-04,W012,manual,split,bottom,2,4,375.39714867617107,377.4826883910388
e43b14b1a0c01b0f,7y3sRwLe3Va-04,W012,manual,split,bottom,3,6,642.346232179226,369.14052953156823
e43b14b1a0c01b0f,7y3sRwLe3Va-04,W012,manual,split,bottom,4,8,892.6109979633401,373.3116089613035
e43b14b1a0c01b0f,7y3sRwLe3Va-04,W012,manual,bound,top,1,1,123.04684317718942,164.75763747454178
e43b14b1a0c01b0f,7y3sRwLe3Va-04,W012,manual,bound,bottom,1,2,120.9613034623218,371.2260692464358
e43b14b1a0c01b0f,7y3sRwLe3Va-04,W012,manual,bound,top,2,3,377.4826883910388,158.5010183299389
e43b14b1a0c01b0f,7y3sRwLe3Va-04,W012,manual,bound,bottom,2,4,375.39714867617107,377.4826883910388
e43b14b1a0c01b0f,7y3sRwLe3Va-04,W012,manual,bound,top,3,5,648.6028513238289,158.5010183299389
e43b14b1a0c01b0f,7y3sRwLe3Va-04,W012,manual,bound,bottom,3,6,642.346232179226,369.14052953156823
e43b14b1a0c01b0f,7y3sRwLe3Va-04,W012,manual,bound,top,4,7,898.8676171079429,164.75763747454178
e43b14b1a0c01b0f,7y3sRwLe3Va-04,W012,manual,bound,bottom,4,8,892.6109979633401,373.3116089613035
a73527487e1ba30e,7y3sRwLe3Va-04,W013,manual,split,top,1,1,121.24581724581725,155.51093951093952
a73527487e1ba30e,7y3sRwLe3Va-04,W013,manual,split,top,2,3,379.55212355212353,155.51093951093952
a73527487e1ba30e,7y3sRwLe3Va-04,W013,manual,split,top,3,5,644.4478764478764,156.82882882882882
a73527487e1ba30e,7y3sRwLe3Va-04,W013,manual,split,top,4,7,896.164736164736,159.46460746460747
a73527487e1ba30e,7y3sRwLe3Va-04,W013,manual,split,bottom,1,2,122.56370656370656,371.64478764478764
a73527487e1ba30e,7y3sRwLe3Va-04,W013,manual,split,bottom,2,4,382.951313683021,381.84235803748
a73527487e1ba30e,7y3sRwLe3Va-04,W013,manual,split,bottom,3,6,643.1299871299872,375.59845559845564
a73527487e1ba30e,7y3sRwLe3Va-04,W013,manual,split,bottom,4,8,896.164736164736,374.2805662805663
a73527487e1ba30e,7y3sRwLe3Va-04,W013,manual,bound,top,1,1,121.24581724581725,155.51093951093952
a73527487e1ba30e,7y3sRwLe3Va-04,W013,manual,bound,bottom,1,2,122.56370656370656,371.64478764478764
a73527487e1ba30e,7y3sRwLe3Va-04,W013,manual,bound,top,2,3,379.55212355212353,155.51093951093952
a73527487e1ba30e,7y3sRwLe3Va-04,W013,manual,bound,bottom,2,4,382.951313683021,381.84235803748
a73527487e1ba30e,7y3sRwLe3Va-04,W013,manual,bound,top,3,5,644.4478764478764,156.82882882882882
a73527487e1ba30e,7y3sRwLe3Va-04,W013,manual,bound,bottom,3,6,643.1299871299872,375.59845559845564
a73527487e1ba30e,7y3sRwLe3Va-04,W013,manual,bound,top,4,7,896.164736164736,159.46460746460747
a73527487e1ba30e,7y3sRwLe3Va-04,W013,manual,bound,bottom,4,8,896.164736164736,374.2805662805663
9bf982556e9845da,7y3sRwLe3Va-04,W014,manual,split,top,1,1,121.24581724581725,155.51093951093952
9bf982556e9845da,7y3sRwLe3Va-04,W014,manual,split,top,2,3,379.55212355212353,155.51093951093952
9bf982556e9845da,7y3sRwLe3Va-04,W014,manual,split,top,3,5,644.4478764478764,156.82882882882882
9bf982556e9845da,7y3sRwLe3Va-04,W014,manual,split,top,4,7,896.164736164736,159.46460746460747
9bf982556e9845da,7y3sRwLe3Va-04,W014,manual,split,bottom,1,2,122.56370656370656,371.64478764478764
9bf982556e9845da,7y3sRwLe3Va-04,W014,manual,split,bottom,2,4,382.951313683021,381.84235803748
9bf982556e9845da,7y3sRwLe3Va-04,W014,manual,split,bottom,3,6,643.1299871299872,375.59845559845564
9bf982556e9845da,7y3sRwLe3Va-04,W014,manual,split,bottom,4,8,896.164736164736,374.2805662805663
9bf982556e9845da,7y3sRwLe3Va-04,W014,manual,bound,top,1,1,121.24581724581725,155.51093951093952
9bf982556e9845da,7y3sRwLe3Va-04,W014,manual,bound,bottom,1,2,122.56370656370656,371.64478764478764
9bf982556e9845da,7y3sRwLe3Va-04,W014,manual,bound,top,2,3,379.55212355212353,155.51093951093952
9bf982556e9845da,7y3sRwLe3Va-04,W014,manual,bound,bottom,2,4,382.951313683021,381.84235803748
9bf982556e9845da,7y3sRwLe3Va-04,W014,manual,bound,top,3,5,644.4478764478764,156.82882882882882
9bf982556e9845da,7y3sRwLe3Va-04,W014,manual,bound,bottom,3,6,643.1299871299872,375.59845559845564
9bf982556e9845da,7y3sRwLe3Va-04,W014,manual,bound,top,4,7,896.164736164736,159.46460746460747
9bf982556e9845da,7y3sRwLe3Va-04,W014,manual,bound,bottom,4,8,896.164736164736,374.2805662805663
6c26d77b8fe5e104,7y3sRwLe3Va-04,W015,manual,split,top,1,1,121.24581724581725,155.51093951093952
6c26d77b8fe5e104,7y3sRwLe3Va-04,W015,manual,split,top,2,3,379.55212355212353,155.51093951093952
6c26d77b8fe5e104,7y3sRwLe3Va-04,W015,manual,split,top,3,5,644.4478764478764,156.82882882882882
6c26d77b8fe5e104,7y3sRwLe3Va-04,W015,manual,split,top,4,7,896.164736164736,159.46460746460747
6c26d77b8fe5e104,7y3sRwLe3Va-04,W015,manual,split,bottom,1,2,122.56370656370656,371.64478764478764
6c26d77b8fe5e104,7y3sRwLe3Va-04,W015,manual,split,bottom,2,4,380.8700128700129,375.59845559845564
6c26d77b8fe5e104,7y3sRwLe3Va-04,W015,manual,split,bottom,3,6,643.1299871299872,375.59845559845564
6c26d77b8fe5e104,7y3sRwLe3Va-04,W015,manual,split,bottom,4,8,896.164736164736,374.2805662805663
6c26d77b8fe5e104,7y3sRwLe3Va-04,W015,manual,bound,top,1,1,121.24581724581725,155.51093951093952
6c26d77b8fe5e104,7y3sRwLe3Va-04,W015,manual,bound,bottom,1,2,122.56370656370656,371.64478764478764
6c26d77b8fe5e104,7y3sRwLe3Va-04,W015,manual,bound,top,2,3,379.55212355212353,155.51093951093952
6c26d77b8fe5e104,7y3sRwLe3Va-04,W015,manual,bound,bottom,2,4,380.8700128700129,375.59845559845564
6c26d77b8fe5e104,7y3sRwLe3Va-04,W015,manual,bound,top,3,5,644.4478764478764,156.82882882882882
6c26d77b8fe5e104,7y3sRwLe3Va-04,W015,manual,bound,bottom,3,6,643.1299871299872,375.59845559845564
6c26d77b8fe5e104,7y3sRwLe3Va-04,W015,manual,bound,top,4,7,896.164736164736,159.46460746460747
6c26d77b8fe5e104,7y3sRwLe3Va-04,W015,manual,bound,bottom,4,8,896.164736164736,374.2805662805663
