case_id,image_id,human_text,supplement_text,reference_basis,reference_allowed,hold_reason,manual_responses,workers,audit_note
V01,X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,"主要是左边和右边的边界,因为我是记得这个房间的(其他全景图标注),好像从别的视角来看的话,好像全都不太对",,gt_assumed_correct,False,cross_view_reference_unresolved,5,5,保留原文；不生成新的逐人规则违反判决
V02,pRbA3pwrgk9_8b07a4b08cf447abb246769d8dce8494,,,gt_assumed_correct,False,reviewer_oos,20,20,保留原文；不生成新的逐人规则违反判决
V03,2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,"w08没问题吧,它角点顺序完全不用调整",,gt_assumed_correct,True,,3,3,保留原文；不生成新的逐人规则违反判决
V04,wc2JMjhGNzB_ec04ef10a0664e94878aa2d0f1720c2f,"工人的标注都是和 gt相似.
不过这图是 bi layout 明显的 两种标注模式的差异","v04 左上和右上的天花板有个下凸,如果标extended就得忽略这里,如果标enclose,就得在这里截止(比如gt和两位工人)",gt_assumed_correct,True,,5,5,保留原文；不生成新的逐人规则违反判决
V05,B6ByNegPMKs_d7ade8d217fe4d068fc3629dd2510898,HOHOENT的天花板标矮了,,gt_assumed_correct,True,,0,0,保留原文；不生成新的逐人规则违反判决
V06,uNb9QFRL6hY_6c4fa6dfddc1499db228854454bfc61d,"这个两个工人的角点顺序你又搞错了,完全不用动 顺序,就是正常的",,gt_assumed_correct,False,scope_unresolved,6,6,保留原文；不生成新的逐人规则违反判决
V07,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,"这属于高难图,我记得我改了一份 gt的标注.真人簇2属于enclosed(但是缺失了一部分房间),你可以看看worker002 的或者我修改的gt标注",,reviewed_reference,True,,25,25,保留原文；不生成新的逐人规则违反判决
V08,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,,,reviewed_reference,True,,25,25,保留原文；不生成新的逐人规则违反判决
V09,q9vSo1VnCiC_dc320b1236f741a98303db9f89bc68a2,"bi 的enclosed标注不错,但是真人的w2标注也是一种enclosed的标注方法(不是标的特别准确). gt是 extended,但是它忽略了凸起的墙柱,bi 的extended也略有问题",,gt_assumed_correct,False,gt_extended_scope_not_unique_rule_reference,5,5,保留原文；不生成新的逐人规则违反判决
V10,jtcxE69GiFV_27535f650b78489abcf2397c1eaa3037,"所有模型好像都识别错了 左边和右边的corner的位置,我感觉人工的标注是对的,但是w15角点顺序顺着是对的,你又无意义调整.我好像 改过这张图的gt",,gt_assumed_correct,False,remembered_gt_revision_not_identified,6,6,保留原文；不生成新的逐人规则违反判决
V11,UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,"在不考虑是否inscope下. gt更像extended,其余更像enclosed",,gt_assumed_correct,False,scope_unresolved,5,5,保留原文；不生成新的逐人规则违反判决
V12,B6ByNegPMKs_75327de9719945aa8b893a6404667884,"大差不差,但是左右的边界(在哪截止)可能有点模糊,不同人可能有不同判断",,reviewed_reference,False,boundary_choice_uncertain,0,0,保留原文；不生成新的逐人规则违反判决
V13,pa4otMbVnkk_5d1adb544bb14217ba5ded2eb82cd8e3,"bi 的enclosed 标注有点错,HOHONET 和gt 属于enclosed",,gt_assumed_correct,True,,6,6,保留原文；不生成新的逐人规则违反判决
V14,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,,,gt_assumed_correct,True,,20,20,保留原文；不生成新的逐人规则违反判决
V15,b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,"w10的角点顺序按照原始的就行.
之后oos 是因为墙体扭曲过大,不太知道到底房间的布局是什么了","v15歧义很大,正中间的墙因为全景图拼接而扭曲,我没法判断门这里是不是墙的拐角,还是说这是一整片墙连到门里. 因为我无论怎么尝试,3d 的都没法做到正交.",reviewed_reference,False,stitching_and_boundary_unresolved,26,26,保留原文；不生成新的逐人规则违反判决
V16,VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,"w37是标错的,模型的标注没啥问题,不过你人工标注的角点顺序不调整反而是对的",,gt_assumed_correct,True,,2,2,保留原文；不生成新的逐人规则违反判决
V17,rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,"bi 的enclosed的和gt是最标准的enclosed,HOHONET 跨门扩张,",,reviewed_reference,True,,0,0,保留原文；不生成新的逐人规则违反判决
V18,e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,,,gt_assumed_correct,True,,0,0,保留原文；不生成新的逐人规则违反判决
V19,zsNo4HB9uLZ_4c0aab63a4434cf4878e6f5b3ce9a70b,"这图有变动门把 右边的墙挡住了大部分,所以gt,bi,hoho,都不太对.反而是人的 那比较有道理. (但是没有微调以符合曼哈顿世界约束)   它应该是属于曼哈顿,但是遮挡严重,这个图分歧感觉挺大的",,gt_assumed_correct,False,gt_questioned_no_replacement,4,4,保留原文；不生成新的逐人规则违反判决
