stage,language_cohort,project_id,runtime_task_id,base_task_id,worker_id,raw_annotation_id,canonical_annotation_id,reconciliation_status,duplicate_geometry_type,raw_result_sha256,runtime_export_path,runtime_export_sha256,diagnostic_pre_stage3,development_only,scientific_conclusion_prohibited,formal_profile_frozen,reviewer_policy_frozen,main_launch_authorized
P1,en,40,3155,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,26,3782,fe5ee0f03c836e42,canonical_selected,single,ad07c145f59aac1ca35cfe465a8e0ac9f3ab71cd398e6a6b960d25e3c81ff4d4,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3155,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,28,3922,464f553a46a042bd,canonical_selected,single,a007b5e2f6f4d39e0030520140630519adc007cb148db745a28d688c176c4648,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3155,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,27,4040,bcaaea256c246b28,canonical_selected,single,9852d9d2764eb7ed02440619fd611c00978c0b18669a4e894a630ded75411c5b,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3155,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,31,4095,a01f38f168e18ba4,canonical_selected,single,10378cee539373d829253564a5aed523f53662ff5bb93cf2c23a67219eb4b22c,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3155,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,30,4154,4247b935b5d68e6a,canonical_selected,single,1dd0589dee5bf0ced73725068f3211d2ff9b1ca5ace6dc10069a6ec71098a544,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3155,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,32,4176,a800256cd64a13c9,canonical_selected,single,2cba7d2a58220629fb6aec99000352d2d995063f2e6eecab14eb74a25b72d3ad,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3155,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,35,4311,4664edbc4eb51884,canonical_selected,single,d73d4ca4013df3bcbabdd740a08e66158f9f25636302993deb709cb820c20703,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3155,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,33,4369,f05be155437bb650,canonical_selected,single,4f2b903f3c1f7fab1f2c23f035888f0c3c3f09cebb2523c1aa754bf68e51ce8f,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3155,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,34,4407,c3d7b507aa2d788d,canonical_selected,single,0abc67e89b6fd3b727c5cf09e0515252b23534633bfc46ca09d58b740fc529a5,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
P1,en,40,3155,e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,37,4465,e7e6e4180354bfe2,canonical_selected,single,a2757e1ba2bac5fdf89bdb15628b2c1c99fd5c8c17504e6f21b8ad106f0eb6a0,D:\Work\HOHONET\export_label\stage1_English\project-40-at-2026-06-28-05-14-bb74a057.json,1ce8a32e5708aa87c11f4e9957efebccd183b60e6d12066ceee69ce87d763305,true,true,true,false,false,false
