task_id,base_task_id,bucket_dir,family_dir,priority_flag,review_note_flag,default_eligible,final_scope_alias,final_scope_binary,geometry_gold_ready,scope_gold_ready,adjudication_status,final_gold_source,final_geometry_source,legacy_txt_role,poly_residue_flag,export_snapshot
459,b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,OOS,边界不可判定,default,True,True,oos_open_boundary,oos,False,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
476,uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,OOS,"错层,天花板下凸",default,False,True,oos_split_level,oos,False,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
495,yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,OOS,"错层,天花板下凸",special_review,True,True,oos_split_level,oos,False,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
496,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,OOS,"错层,天花板下凸",default,False,True,oos_split_level,oos,False,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
526,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,OOS,几何假设不成立(弧形墙),default,True,True,oos_geometry,oos,False,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
529,UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,OOS,证据不足,default,True,True,oos_insufficient,oos,False,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
560,X7HyMhZNoso_215ab480f5084ac992c0d0e6b3e82268,OOS,边界不可判定,low_priority,True,False,oos_geometry,oos,False,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
575,7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,OOS,"错层,天花板下凸",default,False,True,oos_split_level,oos,False,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
609,UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,OOS,边界不可判定,default,False,True,oos_open_boundary,oos,False,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
661,q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,OOS,"错层,天花板下凸",default,False,True,oos_split_level,oos,False,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
462,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,manual,拼接缝及拉伸,default,True,False,normal,in_scope,True,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
470,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65,manual,玻璃,default,False,True,normal,in_scope,True,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
497,uNb9QFRL6hY_d02f87bbb0414146a7a15070110a0384,manual,遮挡明显,default,False,True,normal,in_scope,True,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
509,wc2JMjhGNzB_dc4a9f470b834de1983c7e605ff06b2e,manual,玻璃,special_review,True,True,normal,in_scope,True,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
510,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,拼接缝及拉伸,default,False,True,normal,in_scope,True,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
533,yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,manual,遮挡明显,low_priority,True,False,normal,in_scope,True,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
550,wc2JMjhGNzB_2195c5a9b9fd451b927b0050f23fac31,manual,非常简单,default,False,True,normal,in_scope,True,True,final_adjudicated_gold,user_verified_project20_export,ls_canonical_geometry,legacy_mp3d_reference,False,project-20-at-2026-03-27-14-57-e66c6481.json
