source_export,project_id,ls_runtime_task_id,planned_project_name,planned_inner_id,task_code,task_id,base_task_id,dataset_group,condition,image,title,planned_mapping_status,runtime_binding_status
analysis_results\c1_a_rehearsal_post_scope_20260801_v10\c1_precloseout_rehearsal_20260801_7fcacc5c2d6c_72c54377_794bb747\raw_snapshots\exports\04b95b86ef77_project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3182,C1_anchor_all,1,A-001,561,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972,Calibration_anchor,manual,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972.jpg,planned_import_order,bound_from_export_and_planned_mapping
analysis_results\c1_a_rehearsal_post_scope_20260801_v10\c1_precloseout_rehearsal_20260801_7fcacc5c2d6c_72c54377_794bb747\raw_snapshots\exports\04b95b86ef77_project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3183,C1_anchor_all,2,A-002,621,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2,Calibration_anchor,manual,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2.jpg,yqstnuAEVhm_9de98503fd994452b627cdcc7a7d47b2.jpg,planned_import_order,bound_from_export_and_planned_mapping
analysis_results\c1_a_rehearsal_post_scope_20260801_v10\c1_precloseout_rehearsal_20260801_7fcacc5c2d6c_72c54377_794bb747\raw_snapshots\exports\04b95b86ef77_project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3184,C1_anchor_all,3,A-003,683,wc2JMjhGNzB_dda6efcba51c40de8552408953719515,Calibration_anchor,manual,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_dda6efcba51c40de8552408953719515.jpg,wc2JMjhGNzB_dda6efcba51c40de8552408953719515.jpg,planned_import_order,bound_from_export_and_planned_mapping
analysis_results\c1_a_rehearsal_post_scope_20260801_v10\c1_precloseout_rehearsal_20260801_7fcacc5c2d6c_72c54377_794bb747\raw_snapshots\exports\04b95b86ef77_project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3185,C1_anchor_all,4,A-004,474,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97,Calibration_anchor,manual,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97.jpg,uNb9QFRL6hY_8b6f1b0b025848b482e747ab6a027b97.jpg,planned_import_order,bound_from_export_and_planned_mapping
analysis_results\c1_a_rehearsal_post_scope_20260801_v10\c1_precloseout_rehearsal_20260801_7fcacc5c2d6c_72c54377_794bb747\raw_snapshots\exports\04b95b86ef77_project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3186,C1_anchor_all,5,A-005,547,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56,Calibration_anchor,manual,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56.jpg,yqstnuAEVhm_26b2e92ccd314a2da1a4fc8dfc6e6f56.jpg,planned_import_order,bound_from_export_and_planned_mapping
analysis_results\c1_a_rehearsal_post_scope_20260801_v10\c1_precloseout_rehearsal_20260801_7fcacc5c2d6c_72c54377_794bb747\raw_snapshots\exports\04b95b86ef77_project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3187,C1_anchor_all,6,A-006,518,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8,Calibration_anchor,manual,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8.jpg,uNb9QFRL6hY_9f199750b00c4f5484a546d79e06a0f8.jpg,planned_import_order,bound_from_export_and_planned_mapping
analysis_results\c1_a_rehearsal_post_scope_20260801_v10\c1_precloseout_rehearsal_20260801_7fcacc5c2d6c_72c54377_794bb747\raw_snapshots\exports\04b95b86ef77_project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3188,C1_anchor_all,7,A-007,626,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622,Calibration_anchor,manual,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622.jpg,uNb9QFRL6hY_5948424345f541b9a570b48f1cfcf622.jpg,planned_import_order,bound_from_export_and_planned_mapping
analysis_results\c1_a_rehearsal_post_scope_20260801_v10\c1_precloseout_rehearsal_20260801_7fcacc5c2d6c_72c54377_794bb747\raw_snapshots\exports\04b95b86ef77_project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3189,C1_anchor_all,8,A-008,482,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d,Calibration_anchor,manual,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d.jpg,uNb9QFRL6hY_ba24e5a57ef34c6dbc0458ed4c1e701d.jpg,planned_import_order,bound_from_export_and_planned_mapping
analysis_results\c1_a_rehearsal_post_scope_20260801_v10\c1_precloseout_rehearsal_20260801_7fcacc5c2d6c_72c54377_794bb747\raw_snapshots\exports\04b95b86ef77_project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3190,C1_anchor_all,9,A-009,580,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6,Calibration_anchor,manual,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6.jpg,wc2JMjhGNzB_b41b10699d614f24851b56a9a0e743c6.jpg,planned_import_order,bound_from_export_and_planned_mapping
analysis_results\c1_a_rehearsal_post_scope_20260801_v10\c1_precloseout_rehearsal_20260801_7fcacc5c2d6c_72c54377_794bb747\raw_snapshots\exports\04b95b86ef77_project-66-at-2026-07-30-13-01-cdb9fe80.json,66,3191,C1_anchor_all,10,A-010,563,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3,Calibration_anchor,manual,https://label-images-1389474327.cos.ap-guangzhou.myqcloud.com/data/mp3d_layout/img_v/rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3.jpg,rPc6DW4iMge_0012f6dcce9645778ac459e189cf0db3.jpg,planned_import_order,bound_from_export_and_planned_mapping
