source_partition_row,source_partition_version,image_id,raw_stage,condition,cluster_rank,raw_representative_id,canonical_annotation_id,mapping_status,use_scope
2,legacy213,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,C1,manual,1,9ba553c8c79977374da6,9ba553c8c79977374da6,matched,legacy213_partition_only_not_representative_of_extended73
2,legacy213,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
3,legacy213,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,C1,manual,1,not_identifiable,,source_not_identifiable,legacy213_partition_only_not_representative_of_extended73
3,legacy213,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
4,legacy213,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,C1,manual,1,c89be364009b1fc0544e,c89be364009b1fc0544e,matched,legacy213_partition_only_not_representative_of_extended73
4,legacy213,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
5,legacy213,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,C1,manual,1,6051dfca1aade85a07a8,6051dfca1aade85a07a8,matched,legacy213_partition_only_not_representative_of_extended73
5,legacy213,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
6,legacy213,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,C1,semi,1,4486738211819be8d3d4,4486738211819be8d3d4,matched,legacy213_partition_only_not_representative_of_extended73
6,legacy213,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
7,legacy213,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,C1,manual,1,a25753564e8d0fb8f8d6,a25753564e8d0fb8f8d6,matched,legacy213_partition_only_not_representative_of_extended73
7,legacy213,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
8,legacy213,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,C1,semi,1,2aea8c4c7647e5dcbf4f,2aea8c4c7647e5dcbf4f,matched,legacy213_partition_only_not_representative_of_extended73
8,legacy213,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,C1,semi,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
9,legacy213,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,C1,manual,1,not_identifiable,,source_not_identifiable,legacy213_partition_only_not_representative_of_extended73
9,legacy213,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
10,legacy213,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,C1,manual,1,ca89b9306226c9c332c3,ca89b9306226c9c332c3,matched,legacy213_partition_only_not_representative_of_extended73
10,legacy213,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
11,legacy213,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,C1,manual,1,60f051ba3d820f7cf2c1,60f051ba3d820f7cf2c1,matched,legacy213_partition_only_not_representative_of_extended73
11,legacy213,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
12,legacy213,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,C1,manual,1,260cf962d9bea8512f9e,260cf962d9bea8512f9e,matched,legacy213_partition_only_not_representative_of_extended73
12,legacy213,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,C1,manual,2,,,not_saved,legacy213_partition_only_not_representative_of_extended73
