image_id,condition,cut,n,mode,point_count,mode_people,workers,canonical_ids,expected_first_seen_k,expected_second_support_k,has_other_same_point_mode,singleton
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.05,3,1,8,3,W008;W031;W034,b7ad646fe3dc3b0d378e;3651a92290f6ddca5577;17be19782ab6f1fa54ca,1,2,False,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.1,3,1,8,3,W008;W031;W034,b7ad646fe3dc3b0d378e;3651a92290f6ddca5577;17be19782ab6f1fa54ca,1,2,False,False
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,manual,0.2,3,1,8,3,W008;W031;W034,b7ad646fe3dc3b0d378e;3651a92290f6ddca5577;17be19782ab6f1fa54ca,1,2,False,False
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,3,1,8,2,W008;W031,8bdb2a37829bea126cde;06925f70038be9cf6628,1.33333333333,2.66666666667,True,False
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.05,3,2,8,1,W034,022a2edfc36f1862ff6d,2,,True,True
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.1,3,1,8,3,W008;W031;W034,8bdb2a37829bea126cde;06925f70038be9cf6628;022a2edfc36f1862ff6d,1,2,False,False
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,manual,0.2,3,1,8,3,W008;W031;W034,8bdb2a37829bea126cde;06925f70038be9cf6628;022a2edfc36f1862ff6d,1,2,False,False
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.05,1,1,8,1,W011,8768c3642fee588c06f4,1,,False,True
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.1,1,1,8,1,W011,8768c3642fee588c06f4,1,,False,True
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,manual,0.2,1,1,8,1,W011,8768c3642fee588c06f4,1,,False,True
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,5,1,8,2,W006;W010,9ba553c8c79977374da6;bd14297e6f34d6705898,2,4,True,False
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,5,2,8,2,W027;W028,a3e7b70ed81a76c41c0f;98fc2a900301cecb1f95,2,4,True,False
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.05,5,3,12,1,W030,d5c88ef7632f0c3ce88f,3,,False,True
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,5,1,8,4,W006;W010;W027;W028,9ba553c8c79977374da6;bd14297e6f34d6705898;a3e7b70ed81a76c41c0f;98fc2a900301cecb1f95,1.2,2.4,False,False
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.1,5,2,12,1,W030,d5c88ef7632f0c3ce88f,3,,False,True
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,5,1,8,4,W006;W010;W027;W028,9ba553c8c79977374da6;bd14297e6f34d6705898;a3e7b70ed81a76c41c0f;98fc2a900301cecb1f95,1.2,2.4,False,False
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,manual,0.2,5,2,12,1,W030,d5c88ef7632f0c3ce88f,3,,False,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.05,24,1,8,17,W002;W006;W008;W010;W012;W013;W014;W015;W017;W018;W027;W028;W031;W032;W034;W036;W037,f5958e31992e703a;59650fcf724f11bc;13d54802362fd649;84b0461c974c6f08;e43b14b1a0c01b0f;a73527487e1ba30e;9bf982556e9845da;6c26d77b8fe5e104;cbfa1db9b3b7ec4d;b86432f92a43add3;2099f09dd0969482;3040d441f80810e4;9c964b13299f32cb;6a317a400188cb9b;2c487c4855775399;4bfc0d70b116500c;922f49b7c63582f6,1.38888888889,2.77777777778,True,False
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.05,24,2,8,7,W001;W011;W021;W029;W030;W033;W035,9c8a68204bbf22bf;b36f0dc2bb36d9b6;9130e3a10b708f2c;be7a92e1f36d2292;674ea0b8b27fa7c7;5f9c3715d22ae336;f25bd8df99652c2b,3.125,6.25,True,False
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.1,24,1,8,24,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,9c8a68204bbf22bf;f5958e31992e703a;59650fcf724f11bc;13d54802362fd649;84b0461c974c6f08;b36f0dc2bb36d9b6;e43b14b1a0c01b0f;a73527487e1ba30e;9bf982556e9845da;6c26d77b8fe5e104;cbfa1db9b3b7ec4d;b86432f92a43add3;9130e3a10b708f2c;2099f09dd0969482;3040d441f80810e4;be7a92e1f36d2292;674ea0b8b27fa7c7;9c964b13299f32cb;6a317a400188cb9b;5f9c3715d22ae336;2c487c4855775399;f25bd8df99652c2b;4bfc0d70b116500c;922f49b7c63582f6,1,2,False,False
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,manual,0.2,24,1,8,24,W001;W002;W006;W008;W010;W011;W012;W013;W014;W015;W017;W018;W021;W027;W028;W029;W030;W031;W032;W033;W034;W035;W036;W037,9c8a68204bbf22bf;f5958e31992e703a;59650fcf724f11bc;13d54802362fd649;84b0461c974c6f08;b36f0dc2bb36d9b6;e43b14b1a0c01b0f;a73527487e1ba30e;9bf982556e9845da;6c26d77b8fe5e104;cbfa1db9b3b7ec4d;b86432f92a43add3;9130e3a10b708f2c;2099f09dd0969482;3040d441f80810e4;be7a92e1f36d2292;674ea0b8b27fa7c7;9c964b13299f32cb;6a317a400188cb9b;5f9c3715d22ae336;2c487c4855775399;f25bd8df99652c2b;4bfc0d70b116500c;922f49b7c63582f6,1,2,False,False
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.05,24,1,6,2,W028;W032,843ee33e6df34cd4;b8541e4707e39e94,8.33333333333,16.6666666667,False,False
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.05,24,2,8,1,W008,8a6c9350ded9f505,12.5,,True,True
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.05,24,3,8,1,W034,1bbc73c77d272720,12.5,,True,True
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.05,24,4,8,14,W002;W006;W010;W013;W014;W015;W017;W018;W021;W027;W031;W033;W035;W036,6d3c8739804e5920;3d27ec416166fb40;1106d9b3309125ae;e13f31dcfeca786f;c98ff21fd3ac34dc;ed7c1f77254fbb2a;f9d6980bfc9259bd;dee69b2b7ab15827;d46ea988f490ef0f;243708573fc746f4;5ff7ca831e9c5ad8;4d2388c60747a53d;c4bc31bc73053a93;e2305061fc73b67a,1.66666666667,3.33333333333,True,False
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.05,24,5,8,2,W001;W030,babc4e1b7d60b5ce;c0d2a3ea11db107a,8.33333333333,16.6666666667,True,False
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.05,24,6,8,1,W012,38972f7a8ac6e59e,12.5,,True,True
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.05,24,7,8,1,W037,e805d3344d24834a,12.5,,True,True
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.05,24,8,8,1,W029,618e8cec7d276f9c,12.5,,True,True
7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,semi,0.05,24,9,12,1,W011,b11846422ee8df2c,12.5,,False,True
