building,n_train,n_test,train_labels,test_labels
2t7WUuJeko7,101,5,"[47, 38, 16]","[2, 3, 0]"
7y3sRwLe3Va,102,4,"[49, 37, 16]","[0, 4, 0]"
B6ByNegPMKs,103,3,"[46, 41, 16]","[3, 0, 0]"
S9hNv5qa7GM,101,5,"[44, 41, 16]","[5, 0, 0]"
VFuaQ6m2Qom,100,6,"[49, 41, 10]","[0, 0, 6]"
Z6MFQCViBuw,102,4,"[45, 41, 16]","[4, 0, 0]"
e9zR4mvMWw7,99,7,"[42, 41, 16]","[7, 0, 0]"
jtcxE69GiFV,101,5,"[49, 36, 16]","[0, 5, 0]"
pa4otMbVnkk,100,6,"[49, 35, 16]","[0, 6, 0]"
rPc6DW4iMge,103,3,"[46, 41, 16]","[3, 0, 0]"
uNb9QFRL6hY,66,40,"[37, 21, 8]","[12, 20, 8]"
wc2JMjhGNzB,92,14,"[40, 38, 14]","[9, 3, 2]"
yqstnuAEVhm,102,4,"[45, 41, 16]","[4, 0, 0]"
