fold_id,design,n_train_tagged,n_test_tagged,train_labels,test_labels
building:wc2JMjhGNzB,leave_building,92,14,"[40, 38, 14]","[9, 3, 2]"
building:X7HyMhZNoso,leave_building,106,0,"[49, 41, 16]","[0, 0, 0]"
building:7y3sRwLe3Va,leave_building,102,4,"[49, 37, 16]","[0, 4, 0]"
building:pa4otMbVnkk,leave_building,100,6,"[49, 35, 16]","[0, 6, 0]"
building:jh4fc5c5qoQ,leave_building,106,0,"[49, 41, 16]","[0, 0, 0]"
building:pRbA3pwrgk9,leave_building,106,0,"[49, 41, 16]","[0, 0, 0]"
building:q9vSo1VnCiC,leave_building,106,0,"[49, 41, 16]","[0, 0, 0]"
building:S9hNv5qa7GM,leave_building,101,5,"[44, 41, 16]","[5, 0, 0]"
building:zsNo4HB9uLZ,leave_building,106,0,"[49, 41, 16]","[0, 0, 0]"
building:B6ByNegPMKs,leave_building,103,3,"[46, 41, 16]","[3, 0, 0]"
building:VFuaQ6m2Qom,leave_building,100,6,"[49, 41, 10]","[0, 0, 6]"
building:x8F5xyUWy9e,leave_building,106,0,"[49, 41, 16]","[0, 0, 0]"
building:UwV83HsGsw3,leave_building,106,0,"[49, 41, 16]","[0, 0, 0]"
building:b8cTxDM8gDG,leave_building,106,0,"[49, 41, 16]","[0, 0, 0]"
building:Z6MFQCViBuw,leave_building,102,4,"[45, 41, 16]","[4, 0, 0]"
building:VLzqgDo317F,leave_building,106,0,"[49, 41, 16]","[0, 0, 0]"
building:ZMojNkEp431,leave_building,106,0,"[49, 41, 16]","[0, 0, 0]"
building:uNb9QFRL6hY,leave_building,66,40,"[37, 21, 8]","[12, 20, 8]"
building:2t7WUuJeko7,leave_building,101,5,"[47, 38, 16]","[2, 3, 0]"
building:rPc6DW4iMge,leave_building,103,3,"[46, 41, 16]","[3, 0, 0]"
building:e9zR4mvMWw7,leave_building,99,7,"[42, 41, 16]","[7, 0, 0]"
building:kEZ7cmS4wCh,leave_building,106,0,"[49, 41, 16]","[0, 0, 0]"
building:rqfALeAoiTq,leave_building,106,0,"[49, 41, 16]","[0, 0, 0]"
building:yqstnuAEVhm,leave_building,102,4,"[45, 41, 16]","[4, 0, 0]"
building:jtcxE69GiFV,leave_building,101,5,"[49, 36, 16]","[0, 5, 0]"
view:2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:2t7WUuJeko7_8d51f41d9ce04dfdaae944da9c6d3847,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:2t7WUuJeko7_a3297c84260041288c5c38c0d1aa0a9a,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:2t7WUuJeko7_073656b4030d4389ba7f304298be1d73,leave_supported_room_conservative,101,0,"[47, 38, 16]","[0, 0, 0]"
view:2t7WUuJeko7_edc7b2c25f054ce8992ae3fb66e80881,same_room_leave_view,4,1,"[2, 2, 0]","[0, 1, 0]"
view:2t7WUuJeko7_8898d3cea28d404f8f69c3a3bce52371,same_room_leave_view,4,1,"[2, 2, 0]","[0, 1, 0]"
view:2t7WUuJeko7_383d84c26afa4fae9e68b89d445e091e,same_room_leave_view,4,1,"[2, 2, 0]","[0, 1, 0]"
view:2t7WUuJeko7_218fdf5321f9482e85e828c56f2c0c94,same_room_leave_view,4,1,"[1, 3, 0]","[1, 0, 0]"
view:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,same_room_leave_view,4,1,"[1, 3, 0]","[1, 0, 0]"
room:supported_component:2t7WUuJeko7_1a0d730696cc4057b0037a75c8ef6b59,leave_supported_room_conservative,101,5,"[47, 38, 16]","[2, 3, 0]"
view:2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:2t7WUuJeko7_27af7fd637014142a4f530cfd4557189,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:2t7WUuJeko7_27af7fd637014142a4f530cfd4557189,leave_supported_room_conservative,101,0,"[47, 38, 16]","[0, 0, 0]"
view:2t7WUuJeko7_5db6d45b905f458a8290e69ff3e8d820,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:2t7WUuJeko7_b72b7b78675f429a9f382a44e551cffc,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:2t7WUuJeko7_53937db036374126830e0f1203b04ead,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:2t7WUuJeko7_cc34e9176bfe47ebb23c58c165203134,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:2t7WUuJeko7_53937db036374126830e0f1203b04ead,leave_supported_room_conservative,101,0,"[47, 38, 16]","[0, 0, 0]"
view:2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:2t7WUuJeko7_9039d42e4ef4406fa57a2fbd2daba6cf,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,leave_supported_room_conservative,101,0,"[47, 38, 16]","[0, 0, 0]"
view:7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:7y3sRwLe3Va_1679b5de39e548d38ba240f2fd99cae9,leave_supported_room_conservative,102,0,"[49, 37, 16]","[0, 0, 0]"
view:7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,leave_supported_room_conservative,102,0,"[49, 37, 16]","[0, 0, 0]"
view:7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:7y3sRwLe3Va_99b1210b63c94f9184a9f06032a2ea4a,leave_supported_room_conservative,102,0,"[49, 37, 16]","[0, 0, 0]"
view:7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:7y3sRwLe3Va_dd83fb40a2e14ac99de9fe9bcfaf44df,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:7y3sRwLe3Va_dfe1f8e8b58d4da49f0c73516e7a4b67,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,leave_supported_room_conservative,102,0,"[49, 37, 16]","[0, 0, 0]"
view:B6ByNegPMKs_8c889fb13bce4bcebdac872570cb5381,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5,leave_supported_room_conservative,103,0,"[46, 41, 16]","[0, 0, 0]"
view:B6ByNegPMKs_ce2f5a74556c4be192df3ca7a178cefb,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:B6ByNegPMKs_1bf33cdff9a54d65a9be6889eb912fb5,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:B6ByNegPMKs_1bf33cdff9a54d65a9be6889eb912fb5,leave_supported_room_conservative,103,0,"[46, 41, 16]","[0, 0, 0]"
view:B6ByNegPMKs_3ed1f9b2f3c341d68c6d42895f56f7f9,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:B6ByNegPMKs_c36b46ddcadf4896a2aa0abca657f33d,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:B6ByNegPMKs_3ed1f9b2f3c341d68c6d42895f56f7f9,leave_supported_room_conservative,103,0,"[46, 41, 16]","[0, 0, 0]"
view:B6ByNegPMKs_8b4e1e0ada214ee68dc9e0350cbad884,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:B6ByNegPMKs_ce6c6753bebe462e804ec5a2fc8b0580,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:B6ByNegPMKs_8b4e1e0ada214ee68dc9e0350cbad884,leave_supported_room_conservative,103,0,"[46, 41, 16]","[0, 0, 0]"
view:S9hNv5qa7GM_27869fb0e3414f2687b9580b335ec615,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:S9hNv5qa7GM_743e6d37beae4b6482a43ae41e634e67,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:S9hNv5qa7GM_27869fb0e3414f2687b9580b335ec615,leave_supported_room_conservative,101,0,"[44, 41, 16]","[0, 0, 0]"
view:S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:S9hNv5qa7GM_ed36c0b595de42f0a4e13ba5d332814a,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:S9hNv5qa7GM_8b55e4f095374cfe8ddb0fda0f0dfa02,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:S9hNv5qa7GM_322a5d3bbca1428fb92d39bfc6e603ee,leave_supported_room_conservative,101,0,"[44, 41, 16]","[0, 0, 0]"
view:S9hNv5qa7GM_dbcf0a37c275473094e1160770291679,same_room_leave_view,4,1,"[4, 0, 0]","[1, 0, 0]"
view:S9hNv5qa7GM_e5e6c99e38014827b50ad33cd22e3c9d,same_room_leave_view,4,1,"[4, 0, 0]","[1, 0, 0]"
view:S9hNv5qa7GM_674b3b6705604a4c8b89182edee11e54,same_room_leave_view,4,1,"[4, 0, 0]","[1, 0, 0]"
view:S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,same_room_leave_view,4,1,"[4, 0, 0]","[1, 0, 0]"
view:S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636,same_room_leave_view,4,1,"[4, 0, 0]","[1, 0, 0]"
room:supported_component:S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636,leave_supported_room_conservative,101,5,"[44, 41, 16]","[5, 0, 0]"
view:UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:UwV83HsGsw3_16af52545aff47afb4d7b330a49091a2,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:UwV83HsGsw3_b979526475874ad68ae33f02d407a1fc,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:UwV83HsGsw3_0f1385fc03994285ad8253b49516d77b,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:VFuaQ6m2Qom_8a4ee4cfaba847cc8e68500039c9a916,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:VFuaQ6m2Qom_93510fabb581438887c1d3e65093b7ae,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:VFuaQ6m2Qom_381ce3cd69b846c3b920be16d29ed48e,leave_supported_room_conservative,100,0,"[49, 41, 10]","[0, 0, 0]"
view:X7HyMhZNoso_0e0c08b705704f80b5f31c2bd3a40583,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:X7HyMhZNoso_f03d055128104fd486151e54c9e4a32a,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:X7HyMhZNoso_e40ff9839f0b4a35a25e9dc16d391ae4,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:X7HyMhZNoso_e9ae19c83e6243dd81b7213ba5f8c329,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:X7HyMhZNoso_0e0c08b705704f80b5f31c2bd3a40583,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:X7HyMhZNoso_215ab480f5084ac992c0d0e6b3e82268,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:X7HyMhZNoso_a60fbec046b04e5bb256d4a665219f35,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:X7HyMhZNoso_2b16acff0dc042a1a75816a1fbd0a302,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:X7HyMhZNoso_215ab480f5084ac992c0d0e6b3e82268,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:X7HyMhZNoso_f59aa4dda2024d88ac3f9b22331b475b,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:X7HyMhZNoso_28ada927582d4d6ea7cf44cabf31527a,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:X7HyMhZNoso_445ae0203f294b5c9889505576e37998,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:X7HyMhZNoso_ecda3dd2f5a44ac3a7b365de9e13c09b,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:X7HyMhZNoso_2bb4931911e4412cb51f6437a82c5b6c,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:X7HyMhZNoso_84cc1504051f4b1c9492dfab5dce84f9,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:X7HyMhZNoso_2bb4931911e4412cb51f6437a82c5b6c,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:ZMojNkEp431_1223ee164fc040c0bd13c366f7a22059,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:ZMojNkEp431_f1bb3acca4ed4aada739514b1f2a44bd,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:ZMojNkEp431_1223ee164fc040c0bd13c366f7a22059,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:b8cTxDM8gDG_ddc9afa8e031453abd45c783fbfeb4aa,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:b8cTxDM8gDG_184a9b92b85840d88bf5793da9aa9cba,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:b8cTxDM8gDG_184a9b92b85840d88bf5793da9aa9cba,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:b8cTxDM8gDG_b15db460058c41e8aa0c0720344daa30,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:b8cTxDM8gDG_8316e9313299447bb1f574aaf8cbec73,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:b8cTxDM8gDG_298a2386166a43c8a04e1c24433f7d15,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:b8cTxDM8gDG_3892d409b66644439f5afcf3d296efbf,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:b8cTxDM8gDG_bcd82ce0da1846a58f9d97b00e022af2,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:b8cTxDM8gDG_3892d409b66644439f5afcf3d296efbf,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:b8cTxDM8gDG_f339391e9479496e8652c972953f0ce4,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:b8cTxDM8gDG_51c90ec9afc4495ab3788c6badc303df,leave_supported_room_conservative,106,0,"[49, 41, 16]","[0, 0, 0]"
view:e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:e9zR4mvMWw7_d88c41884dc24efbb5c1b7dcf97998e9,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:e9zR4mvMWw7_ac03b99e3f3642be80b4d24fde0af03a,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:e9zR4mvMWw7_0ee61863ec0c4c06bac95fb886e98945,leave_supported_room_conservative,99,0,"[42, 41, 16]","[0, 0, 0]"
view:e9zR4mvMWw7_192fb2a16486430a96b34dffc2e8cbbc,same_room_leave_view,6,1,"[6, 0, 0]","[1, 0, 0]"
view:e9zR4mvMWw7_83347153d2184d33869626c6c83318f9,same_room_leave_view,6,1,"[6, 0, 0]","[1, 0, 0]"
view:e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,same_room_leave_view,6,1,"[6, 0, 0]","[1, 0, 0]"
view:e9zR4mvMWw7_891cb55a08dd4aea9ee76656f6b4850d,same_room_leave_view,6,1,"[6, 0, 0]","[1, 0, 0]"
view:e9zR4mvMWw7_2e52341d21b940b5b38a9e26c4cf4200,same_room_leave_view,6,1,"[6, 0, 0]","[1, 0, 0]"
view:e9zR4mvMWw7_1cbe7276fcee411c8695f5f11ac45eb5,same_room_leave_view,6,1,"[6, 0, 0]","[1, 0, 0]"
view:e9zR4mvMWw7_1f8ee74dbb254dff85771776279eae94,same_room_leave_view,6,1,"[6, 0, 0]","[1, 0, 0]"
room:supported_component:e9zR4mvMWw7_12c84e77f6564013a032220e8f9037e8,leave_supported_room_conservative,99,7,"[42, 41, 16]","[7, 0, 0]"
view:e9zR4mvMWw7_cd47116ee6264bc691811409bf779f34,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:e9zR4mvMWw7_4984fc9f1fdf4ff7887430f71b9ae392,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:e9zR4mvMWw7_16eb46a968384060821cb59d0e04f4dd,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:e9zR4mvMWw7_16eb46a968384060821cb59d0e04f4dd,leave_supported_room_conservative,99,0,"[42, 41, 16]","[0, 0, 0]"
view:e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
view:e9zR4mvMWw7_8783add8825d4ecf8eb1f2af3c22b8df,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
room:supported_component:e9zR4mvMWw7_1daae4b7becc43949516096170ce2a76,leave_supported_room_conservative,99,0,"[42, 41, 16]","[0, 0, 0]"
view:e9zR4mvMWw7_4fb8c9be319e4784b4b66f9ca5d839ab,same_room_leave_view,0,0,"[0, 0, 0]","[0, 0, 0]"
