id,image_id,code,building,worker,condition,stage,exposure,analysis_status,geometry_eligible,normalization_reason,inventory_calculation_included,raw_points,effective_points,processing_status,confirmation_source,imputed_point,exclusion_reason,raw_export_path,annotation_identity
4d3e4911d8f07aa2,7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,7y3sRwLe3Va-12,7y3sRwLe3Va,W037,oos,P1,none,geometry_unavailable,False,odd_keypoint_count,True,11,11.0,unconfirmed_odd_unchanged,,False,,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-41-at-2026-06-28-05-13-8641854f.json,P1|0|41|3176|37|4454
f6bfdcf15004e457,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,B6ByNegPMKs-33,B6ByNegPMKs,W032,manual,P1,none,geometry_unavailable,False,odd_keypoint_count,True,9,9.0,unconfirmed_odd_unchanged,,False,,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-39-at-2026-06-28-05-14-65ca3316.json,P1|0|39|3129|32|4253
3a3dec28a207f0a0,UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,UwV83HsGsw3-08,UwV83HsGsw3,W028,oos,P1,none,geometry_unavailable,False,odd_keypoint_count,True,17,17.0,unconfirmed_odd_unchanged,,False,,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-41-at-2026-06-28-05-13-8641854f.json,P1|0|41|3177|28|3949
cd5abe0f20e47f74,b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,b8cTxDM8gDG-19,b8cTxDM8gDG,W037,oos,P1,none,geometry_unavailable,False,odd_keypoint_count,True,9,9.0,unconfirmed_odd_unchanged,,False,,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-41-at-2026-06-28-05-13-8641854f.json,P1|0|41|3173|37|4451
80a4655a847e5a65,e9zR4mvMWw7_f7ab5b3ece274b48be57eb65bb6d4814,e9zR4mvMWw7-39,e9zR4mvMWw7,W017,semi,P1,model_preannotation,geometry_unavailable,False,odd_keypoint_count,True,9,9.0,unconfirmed_odd_unchanged,,False,,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-29-at-2026-06-30-09-00-e7ea6931.json,P1|0|29|3089|17|3392
3d1c6d9fda198b1b,rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,rPc6DW4iMge-17,rPc6DW4iMge,W017,semi,P1,model_preannotation,geometry_unavailable,False,odd_keypoint_count,True,13,13.0,unconfirmed_odd_unchanged,,False,,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-29-at-2026-06-30-09-00-e7ea6931.json,P1|0|29|3091|17|3394
adb443cf2cd44a01,rPc6DW4iMge_acbe920a0c5d4c018b1803ee9b1f331a,rPc6DW4iMge-17,rPc6DW4iMge,W036,semi,P1,model_preannotation,geometry_unavailable,False,odd_keypoint_count,True,15,15.0,unconfirmed_odd_unchanged,,False,,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-40-at-2026-06-28-05-14-bb74a057.json,P1|0|40|3163|36|4687
9b8f8bec4da82b48,rPc6DW4iMge_fbc169773c954580baea6d2798c0d486,rPc6DW4iMge-22,rPc6DW4iMge,W018,manual,P1,none,geometry_unavailable,False,out_of_range,False,21,21.0,unconfirmed_odd_unchanged,,False,coordinate_invalid,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-28-at-2026-07-01-07-14-56a198ba.json,P1|0|28|3081|18|4784
2559d23544f7b937,uNb9QFRL6hY_978d7a8eb0794936bd8fd092306e1dc5,uNb9QFRL6hY-47,uNb9QFRL6hY,W002,manual,P1,none,geometry_unavailable,False,odd_keypoint_count,True,17,17.0,unconfirmed_odd_unchanged,,False,,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-28-at-2026-07-01-07-14-56a198ba.json,P1|0|28|3080|2|4737
9117118c1ce15fc9,uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,uNb9QFRL6hY-52,uNb9QFRL6hY,W037,oos,P1,none,geometry_unavailable,False,odd_keypoint_count,True,11,11.0,unconfirmed_odd_unchanged,,False,,analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-41-at-2026-06-28-05-13-8641854f.json,P1|0|41|3174|37|4452
