route,image_id,condition,missing,consequence
"C,D",7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce,oos_geometry,DINO vector/Gram for omitted OOS image not in restored205 pool,Not in DINO prediction/neighbor comparison; four other model outputs recovered and verified unchanged at latest directory trees
"C,D",7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09,oos_geometry,DINO vector/Gram for omitted OOS image not in restored205 pool,Not in DINO prediction/neighbor comparison; four other model outputs recovered and verified unchanged at latest directory trees
"C,D",UwV83HsGsw3_528d342bf5494b3b94983545d6a1a282,oos_geometry,DINO vector/Gram for omitted OOS image not in restored205 pool,Not in DINO prediction/neighbor comparison; four other model outputs recovered and verified unchanged at latest directory trees
"C,D",UwV83HsGsw3_71ada030981d4468b76dcebc1b6fb940,oos_geometry,DINO vector/Gram for omitted OOS image not in restored205 pool,Not in DINO prediction/neighbor comparison; four other model outputs recovered and verified unchanged at latest directory trees
"C,D",UwV83HsGsw3_fcd79f4b6a6642e99227caffb51bf407,oos_geometry,DINO vector/Gram for omitted OOS image not in restored205 pool,Not in DINO prediction/neighbor comparison; four other model outputs recovered and verified unchanged at latest directory trees
"C,D",b8cTxDM8gDG_f63819c407e64c2897b703080766cb60,oos_geometry,DINO vector/Gram for omitted OOS image not in restored205 pool,Not in DINO prediction/neighbor comparison; four other model outputs recovered and verified unchanged at latest directory trees
"C,D",q9vSo1VnCiC_69591068e5614642b710a8fb7733bdeb,oos_geometry,DINO vector/Gram for omitted OOS image not in restored205 pool,Not in DINO prediction/neighbor comparison; four other model outputs recovered and verified unchanged at latest directory trees
"C,D",uNb9QFRL6hY_a38a8c6dced34d8bb18fb67165c099f2,oos_geometry,DINO vector/Gram for omitted OOS image not in restored205 pool,Not in DINO prediction/neighbor comparison; four other model outputs recovered and verified unchanged at latest directory trees
"C,D",yqstnuAEVhm_66ecc07f3cda4d8ebaf84288325669f5,oos_geometry,DINO vector/Gram for omitted OOS image not in restored205 pool,Not in DINO prediction/neighbor comparison; four other model outputs recovered and verified unchanged at latest directory trees
all,,all,Completed user adjudication JSON not supplied,Current candidate analysis only; no reviewed-label scores
A,,all,New detailed local visual measurements not supplied,No new blind or high-resolution visual claims; initial traits retain co-linearity and provenance
C,,manual/semi,Original complete per-channel standardized high-D vectors for205 not restored,This run evaluates L2 kernels; no claim of repeating earlier z-score/PCA pipeline
E,,manual/semi,Full independent semantic correctness reference for scope directions,"S axes interpreted as acceptance/rejection direction, not rule-correctness truth; not a freeze of worker types"
"B,C",7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,manual/semi,ValueError('unusable model corner shape'),Only feedback-complete candidate excludes prediction with explicit status; deep/metadata coverage retained
"B,C",yqstnuAEVhm_e3face7b2196414d95ed97151aa13058,manual/semi,ValueError('unusable model corner shape'),Only feedback-complete candidate excludes prediction with explicit status; deep/metadata coverage retained
