image_id,condition,building,n_observed,n_valid,n_excluded,total_clusters,supported_clusters,singletons,singleton_share,supported_share,largest_share,point_count_disagreement,within_cluster_median,sizes_descending,min_supported_loo_jaccard,max_cross_compatible_share,weakly_separated_supported_pair,min_sub80_jaccard,review_draft_grade,review_draft_reason,full_p_by_8,core10_p_by_19,full_tail_no_gate,core_tail_10,late_quarter_new,late_half_new,late_quarter_structure,late_quarter_repartition,half_tv_all,half_tv_core,grade_v1,status_v1,cut,doubletons,effective_modes_simpson,entropy_bits,good_turing_missing_mass_proxy,chao_coverage_proxy,isolated_singletons,assignment_singletons_with_compatible_peer,supported_point_counts,source_split,scene_category,scene_source,main_space_raw,main_space_safe,main_space_source,main_space_basis,main_space_human,main_space_human_source,fine_human,fine_ai,doorway,room_id,room_status,floor_boundary,ceiling_boundary,corner_occlusion,connected_space,reflection_glass,low_contrast,floor_boundary_recheck,ceiling_boundary_recheck,corner_occlusion_recheck,connected_space_recheck,reflection_glass_recheck,low_contrast_recheck,resolution_rechecked,main_sleep,main_bathroom,main_kitchen,main_dining,main_living,main_work,main_circulation,main_storage,main_special,main_empty,position_entrance,position_window,position_edge,position_stair_landing,position_shower_interior,position_bath_tub,position_washing,position_mirrored,position_glass,position_fireplace,position_empty,position_shared_focus,main_semantic_key,main_function_primary,main_function_primary_source,review_status,reviewed_grade,full_requested8_exceeds_n,core_requested19_exceeds_n,expert_tag,comment_json,selection_record_json,display_group,group_comment,source,use
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,manual,7y3sRwLe3Va,6,6,0,3,1,2,0.333333333333,0.666666666667,0.666666666667,0.6,0.0177253478985,4;1;1,1,0,False,1,,short_horizon_or_unconfirmed_multi_pattern,0.665,1,0,0.86,0.345,0.368333333333,0.345,0,0.230833333333,0,,limited_horizon_or_order_sensitive,,,,,,,,,,test,开放复合空间,后续41图亲审.current_classification.coarse_type,壁炉沙发起居区,壁炉沙发起居区,AI_new_spatial_review,new_original,起居＋厨房；起居为主,后续41图亲审.current_classification.focus,起居、厨房,用途不明|起居休闲|通行,否,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,living,living,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f"", ""number"": 19, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,semi,7y3sRwLe3Va,4,4,0,1,1,0,0,1,1,0,0,4,1,0,False,1,simple_candidate,early_full_pattern_stable_in_observed_valid_pool,1,1,1,1,0,0,0,0,0,0,simple,assigned_observed_early,,,,,,,,,,test,开放复合空间,后续41图亲审.current_classification.coarse_type,壁炉沙发起居区,壁炉沙发起居区,AI_new_spatial_review,new_original,起居＋厨房；起居为主,后续41图亲审.current_classification.focus,起居、厨房,用途不明|起居休闲|通行,否,supported_component:7y3sRwLe3Va_54e499c336a0490d8cf1684049f36040,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,living,living,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True,中等,"{""note"": """"}","{""group"": ""G015"", ""image_id"": ""7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f"", ""number"": 19, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""中等"", ""note"": """", ""legacy_review"": null}",G015,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,manual,B6ByNegPMKs,24,23,1,11,5,6,0.260869565217,0.739130434783,0.217391304348,0.0869565217391,0.0410193457332,5;4;4;2;2;1;1;1;1;1;1,0.946894409938,0.75,True,0.751202501203,difficult_candidate,many_total_clusters_many_singletons_and_observed_late_change,0,0.145,0.04,0.245,0.215,0.229583333333,0.0450000000001,0.00581442809713,0.287272727273,0.202900729989,,invalid_response_evidence,,,,,,,,,,test,通行与连接,早期争议复核导出.user_type,红管走廊为主,红管走廊为主,AI_new_spatial_review,carried_visual_record,,未有人工作答,,用途不明|通行,否,supported_component:B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,overlap_with_pending_or_unsupported,present,partial,absent,present,present,absent,present,partial,absent,present,present,absent,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circulation,circulation,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,False,False,简单,"{""note"": """"}","{""group"": ""G036"", ""image_id"": ""B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993"", ""number"": 33, ""selection"": ""采用"", ""collection"": ""仅复用历史"", ""role"": ""待定"", ""target_band"": ""未定"", ""difficulty"": ""简单"", ""note"": """", ""legacy_review"": null}",G036,这图反而比我想象中的歧义要大,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,manual,B6ByNegPMKs,6,6,0,4,2,2,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.0278884200636,2;2;1;1,1,0,False,,,short_horizon_or_unconfirmed_multi_pattern,0,0.28,0,0,0.385,0.433333333333,0.1475,0,0.289166666667,0.241666666667,,limited_horizon_or_order_sensitive,,,,,,,,,,test,通行与连接,早期争议复核导出.user_type,红管走廊为主,红管走廊为主,AI_new_spatial_review,carried_visual_record,,未有人工作答,,用途不明|通行,否,supported_component:B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,overlap_with_pending_or_unsupported,present,partial,absent,present,present,absent,present,partial,absent,present,present,absent,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circulation,circulation,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True,简单,"{""note"": ""12人""}","{""group"": ""G036"", ""image_id"": ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37"", ""number"": 37, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""简单"", ""note"": ""12人"", ""legacy_review"": null}",G036,这图反而比我想象中的歧义要大,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37,semi,B6ByNegPMKs,4,4,0,3,1,2,0.5,0.5,0.5,0.5,0.0267439092136,2;1;1,1,0,False,,,short_horizon_or_unconfirmed_multi_pattern,0,0.46,0,0.105,0.46,0.5525,0.235,0,0.3175,0.165,,limited_horizon_or_order_sensitive,,,,,,,,,,test,通行与连接,早期争议复核导出.user_type,红管走廊为主,红管走廊为主,AI_new_spatial_review,carried_visual_record,,未有人工作答,,用途不明|通行,否,supported_component:B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993,overlap_with_pending_or_unsupported,present,partial,absent,present,present,absent,present,partial,absent,present,present,absent,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,circulation,circulation,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True,简单,"{""note"": ""12人""}","{""group"": ""G036"", ""image_id"": ""B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37"", ""number"": 37, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""9–15人"", ""difficulty"": ""简单"", ""note"": ""12人"", ""legacy_review"": null}",G036,这图反而比我想象中的歧义要大,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf,manual,S9hNv5qa7GM,20,20,0,2,1,1,0.05,0.95,0.95,0,0.0360594464715,19;1,0.997368421053,0,False,,,order_partition_or_count_boundary,0.095,1,0.65,0.945,0,0,0,0.0146800936164,0.05,0,medium,assigned_observed_later,,,,,,,,,,valid,卧室,早期争议复核导出.user_type,主卧镜面床尾侧,主卧镜面床尾侧,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卧室,否,supported_component:S9hNv5qa7GM_3c496aedd9d645a5b8d7a7b1b53f0636,supported_component,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,sleep,sleep,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,False,False,简单,"{""note"": """"}","{""group"": ""G047"", ""image_id"": ""S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf"", ""number"": 15, ""selection"": ""采用"", ""collection"": ""仅复用历史"", ""role"": ""待定"", ""target_band"": ""0–8人"", ""difficulty"": ""简单"", ""note"": """", ""legacy_review"": null}",G047,简单房间,metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,manual,VFuaQ6m2Qom,2,2,0,2,0,2,1,0,0.5,1,,1;1,,0,False,,,too_few_valid_people,,,,,,,,,,,,insufficient_people,,,,,,,,,,valid,卫浴,早期争议复核导出.user_type,中央椭圆浴缸主卫,中央椭圆浴缸主卫,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卫浴,否,supported_component:VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,bathroom,bathroom,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True,困难,"{""note"": """"}","{""group"": ""G057"", ""image_id"": ""VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a"", ""number"": 1, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""16–20人"", ""difficulty"": ""困难"", ""note"": """", ""legacy_review"": null}",G057,"这房间较难,出现不同标法的情况多见",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85,manual,VFuaQ6m2Qom,7,7,0,3,2,1,0.142857142857,0.857142857143,0.571428571429,0.666666666667,0.0564633984323,4;2;1,1,0,False,1,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,0.585,0.565,0,0,0.165,0.22625,0.165,0,0.25,0.1775,,limited_horizon_or_order_sensitive,,,,,,,,,,valid,卫浴,早期争议复核导出.user_type,主卫浴缸窗侧,主卫浴缸窗侧,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卫浴,否,supported_component:VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,bathroom,bathroom,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True,困难,"{""note"": """"}","{""group"": ""G057"", ""image_id"": ""VFuaQ6m2Qom_5fb269a812f349b4bc2ad5dfac000b85"", ""number"": 4, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""16–20人"", ""difficulty"": ""困难"", ""note"": """", ""legacy_review"": null}",G057,"这房间较难,出现不同标法的情况多见",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d,manual,VFuaQ6m2Qom,20,19,1,6,4,2,0.105263157895,0.894736842105,0.421052631579,0.719298245614,0.0382801226227,8;5;2;2;1;1,1,0,False,1,medium_candidate,supported_clusters_repeat;proportion_stability_reported_separately,0,0.77,0.28,0.43,0.071,0.1075,0.071,0,0.202076023392,0.160873015873,,invalid_response_evidence,,,,,,,,,,valid,卫浴,早期争议复核导出.user_type,主卫近淋浴,主卫近淋浴,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卫浴,否,supported_component:VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bathroom,bathroom,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,False,False,困难,"{""note"": ""这张图历史的分歧都有点大""}","{""group"": ""G057"", ""image_id"": ""VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d"", ""number"": 7, ""selection"": ""采用"", ""collection"": ""仅复用历史"", ""role"": ""待定"", ""target_band"": ""未定"", ""difficulty"": ""困难"", ""note"": ""这张图历史的分歧都有点大"", ""legacy_review"": null}",G057,"这房间较难,出现不同标法的情况多见",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8,manual,VFuaQ6m2Qom,5,5,0,4,1,3,0.6,0.4,0.4,0.9,0.0794784990697,2;1;1;1,1,0,False,1,,short_horizon_or_unconfirmed_multi_pattern,0,0.585,0,0.095,0.645,0.698333333334,0.645,0,0.479,0.3,,limited_horizon_or_order_sensitive,,,,,,,,,,valid,卫浴,早期争议复核导出.user_type,主卫洗手台侧,主卫洗手台侧,AI_new_spatial_review,carried_visual_record,,未有人工作答,,卫浴|用途不明,否,supported_component:VFuaQ6m2Qom_109e18c64a614dc49e41a33ae979f98a,overlap_with_pending_or_unsupported,partial,present,present,present,present,absent,partial,present,present,present,present,absent,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,bathroom,bathroom,explicit first-clause keyword derivation; not human/adjudicated semantics,not_provided,,True,True,困难,"{""note"": """"}","{""group"": ""G057"", ""image_id"": ""VFuaQ6m2Qom_f0be18aa2f1d4aa2b6adf355a86f34b8"", ""number"": 10, ""selection"": ""采用"", ""collection"": ""需要新增标注"", ""role"": ""待定"", ""target_band"": ""16–20人"", ""difficulty"": ""困难"", ""note"": """", ""legacy_review"": null}",G057,"这房间较难,出现不同标法的情况多见",metadata/spatial_history.jsonl.gz#/latest_selection_record,independent contrast only; never tiers or predictors
