annotator_id,language,expected_manual,expected_semi,expected_oos,expected_total,will_continue,dropout,known_bad_or_process_risk,exclude_from_primary_candidate,completion_status_override,notes
1,zh,30,18,9,57,true,false,false,false,,listed in Chinese worker roster; no current canonical rows
2,zh,30,18,9,57,true,false,false,false,,listed in Chinese worker roster; partial current canonical rows
6,zh,30,18,9,57,true,false,false,false,,listed in Chinese worker roster
7,zh,30,18,9,57,false,true,false,true,,matched dropout form: 23软工陈德昕
8,zh,30,18,9,57,true,false,false,false,,listed in Chinese worker roster
9,zh,30,18,9,57,false,true,false,true,,matched dropout form: 24级王皓
10,zh,30,18,9,57,true,false,false,false,,listed in Chinese worker roster
11,zh,30,18,9,57,true,false,false,false,,current export complete; retained in completion denominator per fixed closeout roster
12,zh,30,18,9,57,true,false,false,false,,listed in Chinese worker roster
13,zh,30,18,9,57,true,false,false,false,,listed in Chinese worker roster
14,zh,30,18,9,57,true,false,false,false,,listed in Chinese worker roster
15,zh,30,18,9,57,true,false,false,false,,listed in Chinese worker roster
16,zh,30,18,9,57,false,true,false,true,,dropout/no future completion per fixed closeout roster
17,zh,30,18,9,57,true,false,false,false,,listed in Chinese worker roster
18,zh,30,18,9,57,true,false,false,false,,listed in Chinese worker roster; pending manual completion in current export
19,zh,30,18,9,57,true,false,true,true,,listed as process risk in Chinese worker roster
21,zh,30,18,9,57,true,false,true,true,known_bad_complete,confirmed process-risk / suspected copied annotation / manually excluded before Stage 2
26,en,30,18,9,57,false,false,true,true,incomplete_excluded,known bad / bad annotation / will not complete remaining manual task
27,en,30,18,9,57,true,false,false,false,,listed in foreign worker roster
28,en,30,18,9,57,true,false,false,false,,listed in foreign worker roster
29,en,30,18,9,57,true,false,false,false,,listed in foreign worker roster
30,en,30,18,9,57,true,false,false,false,,listed in foreign worker roster
31,en,30,18,9,57,true,false,false,false,,foreign roster note mentions active-time collection risk; no mean imputation permitted
32,en,30,18,9,57,true,false,false,false,,listed in foreign worker roster
33,en,30,18,9,57,true,false,false,false,,listed in foreign worker roster
34,en,30,18,9,57,true,false,false,false,,listed in foreign worker roster
35,en,30,18,9,57,true,false,false,false,,listed in foreign worker roster
36,en,30,18,9,57,true,false,false,false,,listed in foreign worker roster
37,en,30,18,9,57,true,false,false,false,,listed in foreign worker roster
