round_id,worker_id,task_id,base_task_id,task_stratum,assignment_batch,c2_component,design_id,design_manifest_sha256
C2-B,1,485,wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be,pairs_5_6,C2-B,common_anchor,rehearsal_a2_b2_u6,553e097acb6238c93bec9c93320ba78dbf3a855e0f3ef3be8af65671b0111f58
C2-B,1,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,pairs_7_8,C2-B,common_anchor,rehearsal_a2_b2_u6,553e097acb6238c93bec9c93320ba78dbf3a855e0f3ef3be8af65671b0111f58
C2-B,10,485,wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be,pairs_5_6,C2-B,common_anchor,rehearsal_a2_b2_u6,553e097acb6238c93bec9c93320ba78dbf3a855e0f3ef3be8af65671b0111f58
C2-B,10,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,pairs_7_8,C2-B,common_anchor,rehearsal_a2_b2_u6,553e097acb6238c93bec9c93320ba78dbf3a855e0f3ef3be8af65671b0111f58
C2-B,11,485,wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be,pairs_5_6,C2-B,common_anchor,rehearsal_a2_b2_u6,553e097acb6238c93bec9c93320ba78dbf3a855e0f3ef3be8af65671b0111f58
C2-B,11,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,pairs_7_8,C2-B,common_anchor,rehearsal_a2_b2_u6,553e097acb6238c93bec9c93320ba78dbf3a855e0f3ef3be8af65671b0111f58
C2-B,12,485,wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be,pairs_5_6,C2-B,common_anchor,rehearsal_a2_b2_u6,553e097acb6238c93bec9c93320ba78dbf3a855e0f3ef3be8af65671b0111f58
C2-B,12,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,pairs_7_8,C2-B,common_anchor,rehearsal_a2_b2_u6,553e097acb6238c93bec9c93320ba78dbf3a855e0f3ef3be8af65671b0111f58
C2-B,13,485,wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be,pairs_5_6,C2-B,common_anchor,rehearsal_a2_b2_u6,553e097acb6238c93bec9c93320ba78dbf3a855e0f3ef3be8af65671b0111f58
C2-B,13,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,pairs_7_8,C2-B,common_anchor,rehearsal_a2_b2_u6,553e097acb6238c93bec9c93320ba78dbf3a855e0f3ef3be8af65671b0111f58
C2-B,14,485,wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be,pairs_5_6,C2-B,common_anchor,rehearsal_a2_b2_u6,553e097acb6238c93bec9c93320ba78dbf3a855e0f3ef3be8af65671b0111f58
C2-B,14,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,pairs_7_8,C2-B,common_anchor,rehearsal_a2_b2_u6,553e097acb6238c93bec9c93320ba78dbf3a855e0f3ef3be8af65671b0111f58
C2-B,15,485,wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be,pairs_5_6,C2-B,common_anchor,rehearsal_a2_b2_u6,553e097acb6238c93bec9c93320ba78dbf3a855e0f3ef3be8af65671b0111f58
C2-B,15,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,kEZ7cmS4wCh_6811d52593b740cb9047202ce1e8a1e4,pairs_7_8,C2-B,common_anchor,rehearsal_a2_b2_u6,553e097acb6238c93bec9c93320ba78dbf3a855e0f3ef3be8af65671b0111f58
C2-B,17,485,wc2JMjhGNzB_6e491bc8576345bda3cdde9ab216b7be,pairs_5_6,C2-B,common_anchor,rehearsal_a2_b2_u6,553e097acb6238c93bec9c93320ba78dbf3a855e0f3ef3be8af65671b0111f58
