relative_path,git_status,size_bytes,project_line_guess,tracked_artifact_type,recommended_action,reason,referenced_by_code_or_test,referenced_by_manifest,referenced_by_docs,risk_level,safe_to_git_rm_cached_later,suggested_archive_root,notes
.gitignore,M,4457,unknown,non_artifact_or_unknown,keep_tracked,current source/test/protocol/config/import truth-source path,false,false,false,low,false,,
.vscode/settings.json,clean,4,unknown,structured_data_or_output,keep_tracked,not identified as a local/generated artifact by this tracked-only pass,false,false,false,low,false,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/active_logs/active_times_2025-12-03.jsonl,clean,352,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/active_logs/active_times_2025-12-20.jsonl,clean,1918,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/active_logs/active_times_2025-12-22.jsonl,clean,3940,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/active_logs/active_times_2026-01-15.jsonl,clean,8708,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/active_logs/active_times_2026-01-16.jsonl,clean,80968,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/active_logs/active_times_2026-01-17.jsonl,clean,6955,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/active_logs/active_times_2026-01-19.jsonl,clean,653,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/active_logs/active_times_2026-01-20.jsonl,clean,10625,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/active_logs/active_times_2026-01-30.jsonl,clean,23173,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/active_logs/active_times_2026-02-08.jsonl,clean,25068,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/active_logs/active_times_2026-02-09.jsonl,clean,9677,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/active_logs/active_times_2026-02-15.jsonl,clean,93,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/active_logs/active_times_2026-02-19.jsonl,clean,15340,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/active_logs/active_times_2026-02-20.jsonl,clean,260,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/active_logs/active_times_2026-02-24.jsonl,clean,3959,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/active_logs/active_times_2026-02-28.jsonl,clean,46559,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/new_server/active_logs/active_times_2025-12-03.jsonl,clean,352,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/new_server/active_logs/active_times_2025-12-20.jsonl,clean,1918,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/new_server/active_logs/active_times_2025-12-22.jsonl,clean,3940,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/new_server/active_logs/active_times_2026-01-15.jsonl,clean,8708,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/new_server/active_logs/active_times_2026-01-16.jsonl,clean,80968,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/new_server/active_logs/active_times_2026-01-17.jsonl,clean,6955,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/new_server/active_logs/active_times_2026-01-19.jsonl,clean,653,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/new_server/active_logs/active_times_2026-01-20.jsonl,clean,10625,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/new_server/active_logs/active_times_2026-01-30.jsonl,clean,23173,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/new_server/active_logs/active_times_2026-02-08.jsonl,clean,25068,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/new_server/active_logs/active_times_2026-02-09.jsonl,clean,9677,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
active_logs/new_server/active_logs/active_times_2026-02-15.jsonl,clean,93,shared,active_time_log,git_rm_cached_keep_local,active_logs are local runtime logs; keep local but remove Git tracking later,false,false,false,medium,true,,repo_cleanup_plan=keep_tracked; inventory_category=structured_manifest_or_output
