worker_id,admission_status,r_u_0,r_u_0_basis,geometry_quality_summary,scope_quality_summary,blind_trust_summary,completion_summary,active_time_source_tier,fallback_watch,undercoverage_watch,duplicate_copy_watch,c1_priority_note
1,pass,0.973639,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=42;undercoverage_high=0;undercoverage_medium=1,correct_in_scope=47;false_positive=1;false_negative=1,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,active_log_primary,False,False,False,standard_C1_entry
2,pass,0.989583,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=42;undercoverage_high=0;undercoverage_medium=0,correct_in_scope=47;false_positive=1;false_negative=0,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,active_log_primary,False,False,False,standard_C1_entry
6,pass_with_watch,0.90319,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=42;undercoverage_high=0;undercoverage_medium=2,correct_in_scope=44;false_positive=4;false_negative=5,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,active_log_primary,False,False,True,copy_audit_watch
7,fail,,not_applicable_excluded,,,semi_issue_review_sidecar_ready_not_scored_in_screening,dropout_no_future;observed=0/57,mixed_or_partial_active_time,False,False,False,excluded_from_C1
8,pass_with_watch,0.926587,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=42;undercoverage_high=1;undercoverage_medium=1,correct_in_scope=48;false_positive=0;false_negative=6,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,mixed_or_partial_active_time,False,True,True,undercoverage_watch;duplicate_audit_watch
9,fail,,not_applicable_excluded,,,semi_issue_review_sidecar_ready_not_scored_in_screening,dropout_no_future;observed=0/57,mixed_or_partial_active_time,False,False,False,excluded_from_C1
10,pass,0.930403,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=42;undercoverage_high=0;undercoverage_medium=2,correct_in_scope=46;false_positive=2;false_negative=4,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,active_log_primary,False,False,False,standard_C1_entry
11,pass,0.882143,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=42;undercoverage_high=0;undercoverage_medium=3,correct_in_scope=40;false_positive=8;false_negative=2,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,active_log_primary,False,False,False,standard_C1_entry
12,pass_with_watch,0.888814,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=42;undercoverage_high=1;undercoverage_medium=4,correct_in_scope=45;false_positive=3;false_negative=5,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,lead_time_fallback_sensitivity_only,True,True,False,fallback_watch;undercoverage_watch
13,pass_with_watch,0.881851,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=42;undercoverage_high=1;undercoverage_medium=2,correct_in_scope=43;false_positive=5;false_negative=5,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,active_log_primary,False,True,True,undercoverage_watch;copy_audit_watch
14,pass_with_watch,0.90619,p1_proxy_scope_geometry_not_formal_r_u,alignment_available=42;undercoverage_high=1;undercoverage_medium=2,correct_in_scope=43;false_positive=5;false_negative=2,semi_issue_review_sidecar_ready_not_scored_in_screening,complete;observed=57/57,lead_time_fallback_sensitivity_only,True,True,False,fallback_watch;undercoverage_watch
