heldout_building,config,status,classified,sizes
2t7WUuJeko7,Q_2,historical_candidate_only,24,"[6, 18]"
2t7WUuJeko7,Q_3,historical_candidate_only,24,"[6, 16, 2]"
2t7WUuJeko7,QT_2,historical_candidate_only,23,"[13, 10]"
2t7WUuJeko7,QT_3,historical_candidate_only,23,"[6, 7, 10]"
2t7WUuJeko7,QTSB_3,historical_candidate_only,23,"[10, 3, 10]"
2t7WUuJeko7,TRI_3,historical_candidate_only,19,"[3, 7, 9]"
7y3sRwLe3Va,Q_2,historical_candidate_only,24,"[6, 18]"
7y3sRwLe3Va,Q_3,historical_candidate_only,24,"[6, 16, 2]"
7y3sRwLe3Va,QT_2,historical_candidate_only,23,"[12, 11]"
7y3sRwLe3Va,QT_3,historical_candidate_only,23,"[6, 6, 11]"
7y3sRwLe3Va,QTSB_3,historical_candidate_only,23,"[10, 7, 6]"
7y3sRwLe3Va,TRI_3,historical_candidate_only,19,"[3, 7, 9]"
B6ByNegPMKs,Q_2,historical_candidate_only,24,"[6, 18]"
B6ByNegPMKs,Q_3,historical_candidate_only,24,"[6, 13, 5]"
B6ByNegPMKs,QT_2,historical_candidate_only,23,"[14, 9]"
B6ByNegPMKs,QT_3,historical_candidate_only,23,"[7, 7, 9]"
B6ByNegPMKs,QTSB_3,historical_candidate_only,23,"[10, 7, 6]"
B6ByNegPMKs,TRI_3,historical_candidate_only,19,"[3, 7, 9]"
S9hNv5qa7GM,Q_2,historical_candidate_only,24,"[6, 18]"
S9hNv5qa7GM,Q_3,historical_candidate_only,24,"[6, 16, 2]"
S9hNv5qa7GM,QT_2,historical_candidate_only,23,"[13, 10]"
S9hNv5qa7GM,QT_3,historical_candidate_only,23,"[6, 7, 10]"
S9hNv5qa7GM,QTSB_3,historical_candidate_only,23,"[10, 3, 10]"
S9hNv5qa7GM,TRI_3,historical_candidate_only,19,"[3, 7, 9]"
UwV83HsGsw3,Q_2,historical_candidate_only,24,"[6, 18]"
UwV83HsGsw3,Q_3,historical_candidate_only,24,"[6, 16, 2]"
UwV83HsGsw3,QT_2,historical_candidate_only,23,"[13, 10]"
UwV83HsGsw3,QT_3,historical_candidate_only,23,"[6, 7, 10]"
UwV83HsGsw3,QTSB_3,historical_candidate_only,23,"[10, 3, 10]"
UwV83HsGsw3,TRI_3,historical_candidate_only,19,"[3, 9, 7]"
VFuaQ6m2Qom,Q_2,historical_candidate_only,24,"[6, 18]"
VFuaQ6m2Qom,Q_3,historical_candidate_only,24,"[6, 16, 2]"
VFuaQ6m2Qom,QT_2,historical_candidate_only,23,"[13, 10]"
VFuaQ6m2Qom,QT_3,historical_candidate_only,23,"[6, 7, 10]"
VFuaQ6m2Qom,QTSB_3,historical_candidate_only,23,"[10, 7, 6]"
VFuaQ6m2Qom,TRI_3,historical_candidate_only,19,"[3, 7, 9]"
VLzqgDo317F,Q_2,historical_candidate_only,24,"[6, 18]"
VLzqgDo317F,Q_3,historical_candidate_only,24,"[6, 16, 2]"
VLzqgDo317F,QT_2,historical_candidate_only,23,"[13, 10]"
VLzqgDo317F,QT_3,historical_candidate_only,23,"[6, 7, 10]"
VLzqgDo317F,QTSB_3,historical_candidate_only,23,"[10, 7, 6]"
VLzqgDo317F,TRI_3,historical_candidate_only,19,"[3, 7, 9]"
X7HyMhZNoso,Q_2,historical_candidate_only,24,"[6, 18]"
X7HyMhZNoso,Q_3,historical_candidate_only,24,"[6, 16, 2]"
X7HyMhZNoso,QT_2,historical_candidate_only,23,"[13, 10]"
X7HyMhZNoso,QT_3,historical_candidate_only,23,"[6, 7, 10]"
