unit,key,code,building,config,qualified_pool,valid_teams,validation_workers
4,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a|manual,7y3sRwLe3Va-04,7y3sRwLe3Va,QTSB_3,19,3876,W013|W033|W032|W037
4,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a|manual,7y3sRwLe3Va-04,7y3sRwLe3Va,QT_2,19,3876,W013|W033|W032|W037
4,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a|manual,7y3sRwLe3Va-04,7y3sRwLe3Va,QT_3,19,3876,W013|W033|W032|W037
4,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a|manual,7y3sRwLe3Va-04,7y3sRwLe3Va,Q_2,20,4845,W013|W033|W032|W037
4,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a|manual,7y3sRwLe3Va-04,7y3sRwLe3Va,Q_3,20,4845,W013|W033|W032|W037
4,7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a|manual,7y3sRwLe3Va-04,7y3sRwLe3Va,TRI_3,15,1365,W013|W033|W032|W037
18,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086|manual,B6ByNegPMKs-11,B6ByNegPMKs,QTSB_3,19,3876,W034|W033|W037|W032
18,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086|manual,B6ByNegPMKs-11,B6ByNegPMKs,QT_2,19,3876,W034|W033|W037|W032
18,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086|manual,B6ByNegPMKs-11,B6ByNegPMKs,QT_3,19,3876,W034|W033|W037|W032
18,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086|manual,B6ByNegPMKs-11,B6ByNegPMKs,Q_2,20,4845,W034|W033|W037|W032
18,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086|manual,B6ByNegPMKs-11,B6ByNegPMKs,Q_3,20,4845,W034|W033|W037|W032
18,B6ByNegPMKs_4b983544c13946e3a3a518c565ad1086|manual,B6ByNegPMKs-11,B6ByNegPMKs,TRI_3,16,1820,W034|W033|W037|W032
24,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993|manual,B6ByNegPMKs-33,B6ByNegPMKs,QTSB_3,18,3060,W015|W012|W010|W029
24,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993|manual,B6ByNegPMKs-33,B6ByNegPMKs,QT_2,18,3060,W015|W012|W010|W029
24,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993|manual,B6ByNegPMKs-33,B6ByNegPMKs,QT_3,18,3060,W015|W012|W010|W029
24,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993|manual,B6ByNegPMKs-33,B6ByNegPMKs,Q_2,19,3876,W015|W012|W010|W029
24,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993|manual,B6ByNegPMKs-33,B6ByNegPMKs,Q_3,19,3876,W015|W012|W010|W029
24,B6ByNegPMKs_b8e1ecf1bd044e7292581a66683e7993|manual,B6ByNegPMKs-33,B6ByNegPMKs,TRI_3,15,1365,W015|W012|W010|W029
27,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624|manual,B6ByNegPMKs-40,B6ByNegPMKs,QTSB_3,19,3876,W017|W028|W032|W034
27,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624|manual,B6ByNegPMKs-40,B6ByNegPMKs,QT_2,19,3876,W017|W028|W032|W034
27,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624|manual,B6ByNegPMKs-40,B6ByNegPMKs,QT_3,19,3876,W017|W028|W032|W034
27,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624|manual,B6ByNegPMKs-40,B6ByNegPMKs,Q_2,20,4845,W017|W028|W032|W034
27,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624|manual,B6ByNegPMKs-40,B6ByNegPMKs,Q_3,20,4845,W017|W028|W032|W034
27,B6ByNegPMKs_cee80ced97274e248d4ccaa582e12624|manual,B6ByNegPMKs-40,B6ByNegPMKs,TRI_3,16,1820,W017|W028|W032|W034
31,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e|manual,S9hNv5qa7GM-01,S9hNv5qa7GM,QTSB_3,15,1365,W034|W028|W012|W035
31,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e|manual,S9hNv5qa7GM-01,S9hNv5qa7GM,QT_2,15,1365,W034|W028|W012|W035
31,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e|manual,S9hNv5qa7GM-01,S9hNv5qa7GM,QT_3,15,1365,W034|W028|W012|W035
31,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e|manual,S9hNv5qa7GM-01,S9hNv5qa7GM,Q_2,15,1365,W034|W028|W012|W035
31,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e|manual,S9hNv5qa7GM-01,S9hNv5qa7GM,Q_3,15,1365,W034|W028|W012|W035
31,S9hNv5qa7GM_0c2a97f049db4a429776940850fedf2e|manual,S9hNv5qa7GM-01,S9hNv5qa7GM,TRI_3,14,1001,W034|W028|W012|W035
36,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf|manual,S9hNv5qa7GM-15,S9hNv5qa7GM,QTSB_3,16,1820,W034|W010|W033|W008
36,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf|manual,S9hNv5qa7GM-15,S9hNv5qa7GM,QT_2,16,1820,W034|W010|W033|W008
36,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf|manual,S9hNv5qa7GM-15,S9hNv5qa7GM,QT_3,16,1820,W034|W010|W033|W008
36,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf|manual,S9hNv5qa7GM-15,S9hNv5qa7GM,Q_2,16,1820,W034|W010|W033|W008
36,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf|manual,S9hNv5qa7GM-15,S9hNv5qa7GM,Q_3,16,1820,W034|W010|W033|W008
36,S9hNv5qa7GM_bd9faec23bb3462c94a5fbc6c0a3d5cf|manual,S9hNv5qa7GM-15,S9hNv5qa7GM,TRI_3,13,715,W034|W010|W033|W008
45,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65|manual,UwV83HsGsw3-09,UwV83HsGsw3,QTSB_3,19,3876,W030|W029|W006|W008
45,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65|manual,UwV83HsGsw3-09,UwV83HsGsw3,QT_2,19,3876,W030|W029|W006|W008
45,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65|manual,UwV83HsGsw3-09,UwV83HsGsw3,QT_3,19,3876,W030|W029|W006|W008
45,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65|manual,UwV83HsGsw3-09,UwV83HsGsw3,Q_2,20,4845,W030|W029|W006|W008
45,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65|manual,UwV83HsGsw3-09,UwV83HsGsw3,Q_3,20,4845,W030|W029|W006|W008
45,UwV83HsGsw3_7482b1a2655e4655ae4ab58749f43f65|manual,UwV83HsGsw3-09,UwV83HsGsw3,TRI_3,15,1365,W030|W029|W006|W008
46,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596|manual,UwV83HsGsw3-10,UwV83HsGsw3,QTSB_3,19,3876,W032|W010|W029|W027
46,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596|manual,UwV83HsGsw3-10,UwV83HsGsw3,QT_2,19,3876,W032|W010|W029|W027
46,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596|manual,UwV83HsGsw3-10,UwV83HsGsw3,QT_3,19,3876,W032|W010|W029|W027
46,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596|manual,UwV83HsGsw3-10,UwV83HsGsw3,Q_2,20,4845,W032|W010|W029|W027
46,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596|manual,UwV83HsGsw3-10,UwV83HsGsw3,Q_3,20,4845,W032|W010|W029|W027
46,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596|manual,UwV83HsGsw3-10,UwV83HsGsw3,TRI_3,15,1365,W032|W010|W029|W027
50,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,UwV83HsGsw3-17,UwV83HsGsw3,QTSB_3,18,3060,W032|W012|W035|W030
50,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,UwV83HsGsw3-17,UwV83HsGsw3,QT_2,18,3060,W032|W012|W035|W030
50,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,UwV83HsGsw3-17,UwV83HsGsw3,QT_3,18,3060,W032|W012|W035|W030
50,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,UwV83HsGsw3-17,UwV83HsGsw3,Q_2,19,3876,W032|W012|W035|W030
50,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,UwV83HsGsw3-17,UwV83HsGsw3,Q_3,19,3876,W032|W012|W035|W030
50,UwV83HsGsw3_bc29294428a647038f70e0ea31ea8972|manual,UwV83HsGsw3-17,UwV83HsGsw3,TRI_3,16,1820,W032|W012|W035|W030
56,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d|manual,VFuaQ6m2Qom-07,VFuaQ6m2Qom,QTSB_3,15,1365,W030|W008|W001|W037
56,VFuaQ6m2Qom_ad4c387f8175498491966703c8441e0d|manual,VFuaQ6m2Qom-07,VFuaQ6m2Qom,QT_2,15,1365,W030|W008|W001|W037
