image_id,building_id,position,canonical_annotation_id,worker_id,effective_point_count,q_geometry_valid
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,0,17be19782ab6f1fa54ca,34,8,True
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,1,3651a92290f6ddca5577,31,8,True
2t7WUuJeko7_3be66dc4f0fb46449d63b07d92c74f3f,2t7WUuJeko7,2,b7ad646fe3dc3b0d378e,8,8,True
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,0,022a2edfc36f1862ff6d,34,8,True
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,1,06925f70038be9cf6628,31,8,True
2t7WUuJeko7_7b017f053981438a9c075e599f2c5866,2t7WUuJeko7,2,8bdb2a37829bea126cde,8,8,True
2t7WUuJeko7_976c954bc5944db493d6149ee4bc7a2a,2t7WUuJeko7,0,8768c3642fee588c06f4,11,8,True
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,0,98fc2a900301cecb1f95,28,8,True
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,1,9ba553c8c79977374da6,6,8,True
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,2,a3e7b70ed81a76c41c0f,27,8,True
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,3,bd14297e6f34d6705898,10,8,True
7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,4,d5c88ef7632f0c3ce88f,30,12,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,0,13d54802362fd649,8,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,1,2099f09dd0969482,27,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,2,2c487c4855775399,34,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,3,3040d441f80810e4,28,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,4,4bfc0d70b116500c,36,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,5,59650fcf724f11bc,6,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,6,5f9c3715d22ae336,33,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,7,674ea0b8b27fa7c7,30,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,8,6a317a400188cb9b,32,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,9,6c26d77b8fe5e104,15,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,10,84b0461c974c6f08,10,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,11,9130e3a10b708f2c,21,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,12,922f49b7c63582f6,37,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,13,9bf982556e9845da,14,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,14,9c8a68204bbf22bf,1,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,15,9c964b13299f32cb,31,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,16,a73527487e1ba30e,13,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,17,b36f0dc2bb36d9b6,11,8,True
7y3sRwLe3Va_1410b021e1c14f529188eb026fbb369a,7y3sRwLe3Va,18,b86432f92a43add3,18,8,True
