condition,outer_building,worker_id,support,log_count_relative,top_relative,bottom_relative,peer_distance_relative,squared_count_relative
manual,2t7WUuJeko7,W001,70,0.09755276138515188,0.0037483513471553453,-0.0018482030755157287,0.03605772537388289,0.06456662116711563
manual,2t7WUuJeko7,W002,63,0.08319967328179673,0.002109168176288431,-0.0005398423030667408,-0.04085460507954322,0.04371723083254899
manual,2t7WUuJeko7,W006,69,0.022919670431799224,-0.003831373851996105,0.0019956219074084725,-0.01867582749262786,0.058207091891604834
manual,2t7WUuJeko7,W008,68,-0.0759394089139976,0.002727846232896886,0.0031216947924164024,-0.0431052807598496,0.0645416479817108
manual,2t7WUuJeko7,W010,69,-0.03197310768540271,-0.006821185726750355,0.0032099611189399173,-0.03261487313818876,0.02873102786851811
manual,2t7WUuJeko7,W011,69,0.05000745373073466,0.0021317148751216976,0.001295421984243946,-0.029943587526315797,0.0733242865220468
manual,2t7WUuJeko7,W012,68,0.04313717882304474,0.006808540467729268,-0.009266160709211267,0.01463270642930641,0.02862046055592492
manual,2t7WUuJeko7,W013,68,-0.013921301206616521,0.002152338940905874,-0.0022558608075114598,-0.04893349334864565,0.03032693513799613
manual,2t7WUuJeko7,W014,58,-0.023525140469743896,0.00518459904042168,-0.0043270840243528124,-0.0426921142137572,0.04378001479880918
manual,2t7WUuJeko7,W015,70,0.0287725815166414,0.020143605861729075,-0.021942277435025994,-0.046340395471088085,0.017074093494303996
manual,2t7WUuJeko7,W017,68,0.0808441034430046,0.0016106331892789395,-0.0010032234288064148,-0.03364287463597476,0.03976544447692586
manual,2t7WUuJeko7,W018,57,0.016048830415412146,-0.00046982590189250664,7.115736902521327e-05,-0.007872133598931913,0.0315405042610371
manual,2t7WUuJeko7,W021,30,0.02181330916734628,0.023523777048357508,-0.024301848939866956,-0.03777059511466905,0.022357521340930425
manual,2t7WUuJeko7,W027,58,0.08576064282270515,-0.009151003869753463,0.0036204572852412444,0.015231989717495606,0.06340485038417255
manual,2t7WUuJeko7,W028,67,0.05036175999208589,-0.014265443910196013,0.011379150890673765,0.0008271931602252965,0.06410970041124822
manual,2t7WUuJeko7,W029,68,-0.13974728198930528,0.006192952039199472,0.0014590292537681182,-0.013670873022696442,0.09137339545584502
manual,2t7WUuJeko7,W030,68,-0.012744934512576002,0.014851287597569169,-0.008852065446462267,0.009353820527667625,0.059294778666735715
manual,2t7WUuJeko7,W031,72,-0.006569161220399591,0.004149217160568966,-0.0028548818741155543,0.001200296067811767,0.03732912780749224
manual,2t7WUuJeko7,W032,70,0.051784162816611405,0.014362360808808861,-0.014476050708773761,0.0740152934229892,0.05525012657997747
manual,2t7WUuJeko7,W033,70,0.022065723095376518,0.014006947203671984,-0.012240872530010828,-0.017220015142915848,0.0480520480939906
manual,2t7WUuJeko7,W034,86,-0.0987551583605941,-0.0022035444160988646,-0.000757634692505815,0.10198807838626103,0.08986510195273185
manual,2t7WUuJeko7,W035,68,-0.020949222838929867,0.030650266025612154,-0.02437136294257226,0.009276020055674112,0.04773661555254009
manual,2t7WUuJeko7,W036,70,-0.014418750035885006,-0.0011395961231558116,0.003918395458119111,-0.016730364207212717,0.03910710275394737
manual,2t7WUuJeko7,W037,69,-0.03197712500997762,0.016180534743410475,-0.020701035553936747,0.1157134697958433,0.06443839128685401
manual,7y3sRwLe3Va,W001,67,0.0999672481651299,0.004102171935495556,-0.002592239525929106,0.03993415289837366,0.06698330919882318
manual,7y3sRwLe3Va,W002,60,0.08522948569633032,0.0014129930350556838,0.00019144377205521906,-0.03935951146428317,0.04546286952923087
manual,7y3sRwLe3Va,W006,66,0.02384884626011541,-0.003535074575903727,0.0017649598999999873,-0.015194981818953419,0.06056683886018341
manual,7y3sRwLe3Va,W008,68,-0.0759394089139976,0.0011806273182999925,0.004959280713631871,-0.04054214306020439,0.0645416479817108
manual,7y3sRwLe3Va,W010,66,-0.033269314753729844,-0.00664483438402873,0.0030567560429133754,-0.029704074840659827,0.02989579926859317
