condition,outer_building,worker_id,n_types,type_id,support
manual,2t7WUuJeko7,W001,2,0,70
manual,2t7WUuJeko7,W001,3,0,70
manual,2t7WUuJeko7,W001,4,0,70
manual,2t7WUuJeko7,W002,2,0,63
manual,2t7WUuJeko7,W002,3,0,63
manual,2t7WUuJeko7,W002,4,0,63
manual,2t7WUuJeko7,W006,2,0,69
manual,2t7WUuJeko7,W006,3,0,69
manual,2t7WUuJeko7,W006,4,0,69
manual,2t7WUuJeko7,W008,2,0,68
manual,2t7WUuJeko7,W008,3,1,68
manual,2t7WUuJeko7,W008,4,1,68
manual,2t7WUuJeko7,W010,2,0,69
manual,2t7WUuJeko7,W010,3,0,69
manual,2t7WUuJeko7,W010,4,0,69
manual,2t7WUuJeko7,W011,2,0,69
manual,2t7WUuJeko7,W011,3,0,69
manual,2t7WUuJeko7,W011,4,0,69
manual,2t7WUuJeko7,W012,2,0,68
manual,2t7WUuJeko7,W012,3,0,68
manual,2t7WUuJeko7,W012,4,0,68
manual,2t7WUuJeko7,W013,2,0,68
manual,2t7WUuJeko7,W013,3,0,68
manual,2t7WUuJeko7,W013,4,0,68
manual,2t7WUuJeko7,W014,2,0,58
manual,2t7WUuJeko7,W014,3,0,58
manual,2t7WUuJeko7,W014,4,0,58
manual,2t7WUuJeko7,W015,2,1,70
manual,2t7WUuJeko7,W015,3,2,70
manual,2t7WUuJeko7,W015,4,2,70
manual,2t7WUuJeko7,W017,2,0,68
manual,2t7WUuJeko7,W017,3,0,68
manual,2t7WUuJeko7,W017,4,0,68
manual,2t7WUuJeko7,W018,2,0,57
manual,2t7WUuJeko7,W018,3,0,57
manual,2t7WUuJeko7,W018,4,0,57
manual,2t7WUuJeko7,W021,2,1,30
manual,2t7WUuJeko7,W021,3,2,30
manual,2t7WUuJeko7,W021,4,2,30
manual,2t7WUuJeko7,W027,2,0,58
manual,2t7WUuJeko7,W027,3,0,58
manual,2t7WUuJeko7,W027,4,0,58
manual,2t7WUuJeko7,W028,2,0,67
manual,2t7WUuJeko7,W028,3,0,67
manual,2t7WUuJeko7,W028,4,0,67
manual,2t7WUuJeko7,W029,2,0,68
manual,2t7WUuJeko7,W029,3,1,68
manual,2t7WUuJeko7,W029,4,1,68
manual,2t7WUuJeko7,W030,2,0,68
manual,2t7WUuJeko7,W030,3,0,68
manual,2t7WUuJeko7,W030,4,0,68
manual,2t7WUuJeko7,W031,2,0,72
manual,2t7WUuJeko7,W031,3,0,72
manual,2t7WUuJeko7,W031,4,0,72
manual,2t7WUuJeko7,W032,2,1,70
manual,2t7WUuJeko7,W032,3,2,70
manual,2t7WUuJeko7,W032,4,3,70
manual,2t7WUuJeko7,W033,2,0,70
manual,2t7WUuJeko7,W033,3,0,70
manual,2t7WUuJeko7,W033,4,0,70
manual,2t7WUuJeko7,W034,2,0,86
manual,2t7WUuJeko7,W034,3,1,86
manual,2t7WUuJeko7,W034,4,1,86
manual,2t7WUuJeko7,W035,2,1,68
manual,2t7WUuJeko7,W035,3,2,68
manual,2t7WUuJeko7,W035,4,2,68
manual,2t7WUuJeko7,W036,2,0,70
manual,2t7WUuJeko7,W036,3,0,70
manual,2t7WUuJeko7,W036,4,0,70
manual,2t7WUuJeko7,W037,2,1,69
manual,2t7WUuJeko7,W037,3,2,69
manual,2t7WUuJeko7,W037,4,3,69
manual,7y3sRwLe3Va,W001,2,0,67
manual,7y3sRwLe3Va,W001,3,0,67
manual,7y3sRwLe3Va,W001,4,0,67
manual,7y3sRwLe3Va,W002,2,0,60
manual,7y3sRwLe3Va,W002,3,0,60
manual,7y3sRwLe3Va,W002,4,0,60
manual,7y3sRwLe3Va,W006,2,0,66
manual,7y3sRwLe3Va,W006,3,0,66
manual,7y3sRwLe3Va,W006,4,0,66
manual,7y3sRwLe3Va,W008,2,0,68
manual,7y3sRwLe3Va,W008,3,1,68
manual,7y3sRwLe3Va,W008,4,1,68
manual,7y3sRwLe3Va,W010,2,0,66
manual,7y3sRwLe3Va,W010,3,0,66
manual,7y3sRwLe3Va,W010,4,2,66
manual,7y3sRwLe3Va,W011,2,0,66
manual,7y3sRwLe3Va,W011,3,0,66
manual,7y3sRwLe3Va,W011,4,0,66
