condition,target,feature,controls,n,buildings,slope,cluster_se,lo,hi,partial_rho,status
manual,cdf_early7,trait__floor_boundary__partial,none,42,15,-0.27,0.119589447073,-0.504395316262,-0.0356046837377,-0.282707546229,descriptive_not_causal
manual,cdf_early7,trait__floor_boundary__partial,n,42,15,-0.312403272475,0.102805176886,-0.513901419171,-0.110905125779,-0.378069721583,descriptive_not_causal
manual,cdf_early7,trait__floor_boundary__partial,n_building_scene,42,15,-0.0885784980551,0.169299666646,-0.420405844682,0.243248848571,0.0404408785153,descriptive_not_causal
manual,cdf_early7,trait__floor_boundary__present,none,42,15,0.27,0.119589447073,0.0356046837377,0.504395316262,0.282707546229,descriptive_not_causal
manual,cdf_early7,trait__floor_boundary__present,n,42,15,0.312403272475,0.102805176886,0.110905125779,0.513901419171,0.378069721583,descriptive_not_causal
manual,cdf_early7,trait__floor_boundary__present,n_building_scene,42,15,0.0885784980551,0.169299666646,-0.243248848571,0.420405844682,-0.0326606694222,descriptive_not_causal
manual,cdf_early7,trait__ceiling_boundary__partial,none,42,15,0.036,0.159564246442,-0.276745923026,0.348745923026,0.00972102598901,descriptive_not_causal
manual,cdf_early7,trait__ceiling_boundary__partial,n,42,15,-0.0200393372163,0.110739950327,-0.237089639858,0.197010965425,0.0187108491066,descriptive_not_causal
manual,cdf_early7,trait__ceiling_boundary__partial,n_building_scene,42,15,-0.239061833263,0.157801793511,-0.548353348546,0.070229682019,-0.17942380176,descriptive_not_causal
manual,cdf_early7,trait__ceiling_boundary__present,none,42,15,-0.036,0.159564246442,-0.348745923026,0.276745923026,-0.00972102598901,descriptive_not_causal
manual,cdf_early7,trait__ceiling_boundary__present,n,42,15,0.0200393372163,0.110739950327,-0.197010965425,0.237089639858,-0.0187108491066,descriptive_not_causal
manual,cdf_early7,trait__ceiling_boundary__present,n_building_scene,42,15,0.239061833263,0.157801793511,-0.070229682019,0.548353348546,0.181781343707,descriptive_not_causal
manual,cdf_early7,trait__corner_occlusion__absent,none,42,15,0.27,0.119589447073,0.0356046837377,0.504395316262,0.282707546229,descriptive_not_causal
