id,code,image_id,building,condition,stage,worker,view,cut,N,singleton,peer_singleton_rate,within_image_centered_singleton,no_same_count_peer,close_neighbors,singleton_despite_close_peer
9ba553c8c79977374da6,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W006,count_only,0.0,5,0,0.25,-0.25,False,3,False
bd14297e6f34d6705898,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W010,count_only,0.0,5,0,0.25,-0.25,False,3,False
a3e7b70ed81a76c41c0f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W027,count_only,0.0,5,0,0.25,-0.25,False,3,False
98fc2a900301cecb1f95,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W028,count_only,0.0,5,0,0.25,-0.25,False,3,False
d5c88ef7632f0c3ce88f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W030,count_only,0.0,5,1,0.0,1.0,True,0,False
9ba553c8c79977374da6,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W006,split_fixed,6.0,5,0,0.5,-0.5,False,2,False
bd14297e6f34d6705898,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W010,split_fixed,6.0,5,0,0.5,-0.5,False,2,False
a3e7b70ed81a76c41c0f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W027,split_fixed,6.0,5,1,0.25,0.75,False,0,False
98fc2a900301cecb1f95,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W028,split_fixed,6.0,5,0,0.5,-0.5,False,2,False
d5c88ef7632f0c3ce88f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W030,split_fixed,6.0,5,1,0.25,0.75,True,0,False
9ba553c8c79977374da6,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W006,split_fixed,9.0,5,0,0.25,-0.25,False,3,False
bd14297e6f34d6705898,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W010,split_fixed,9.0,5,0,0.25,-0.25,False,3,False
a3e7b70ed81a76c41c0f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W027,split_fixed,9.0,5,0,0.25,-0.25,False,3,False
98fc2a900301cecb1f95,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W028,split_fixed,9.0,5,0,0.25,-0.25,False,3,False
d5c88ef7632f0c3ce88f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W030,split_fixed,9.0,5,1,0.0,1.0,True,0,False
9ba553c8c79977374da6,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W006,split_fixed,12.0,5,0,0.25,-0.25,False,3,False
bd14297e6f34d6705898,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W010,split_fixed,12.0,5,0,0.25,-0.25,False,3,False
a3e7b70ed81a76c41c0f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W027,split_fixed,12.0,5,0,0.25,-0.25,False,3,False
98fc2a900301cecb1f95,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W028,split_fixed,12.0,5,0,0.25,-0.25,False,3,False
d5c88ef7632f0c3ce88f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W030,split_fixed,12.0,5,1,0.0,1.0,True,0,False
9ba553c8c79977374da6,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W006,bound_fixed,6.0,5,0,0.5,-0.5,False,2,False
bd14297e6f34d6705898,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W010,bound_fixed,6.0,5,0,0.5,-0.5,False,2,False
a3e7b70ed81a76c41c0f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W027,bound_fixed,6.0,5,1,0.25,0.75,False,0,False
98fc2a900301cecb1f95,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W028,bound_fixed,6.0,5,0,0.5,-0.5,False,2,False
d5c88ef7632f0c3ce88f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W030,bound_fixed,6.0,5,1,0.25,0.75,True,0,False
9ba553c8c79977374da6,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W006,bound_fixed,9.0,5,0,0.25,-0.25,False,3,False
bd14297e6f34d6705898,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W010,bound_fixed,9.0,5,0,0.25,-0.25,False,3,False
a3e7b70ed81a76c41c0f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W027,bound_fixed,9.0,5,0,0.25,-0.25,False,3,False
98fc2a900301cecb1f95,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W028,bound_fixed,9.0,5,0,0.25,-0.25,False,3,False
d5c88ef7632f0c3ce88f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W030,bound_fixed,9.0,5,1,0.0,1.0,True,0,False
9ba553c8c79977374da6,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W006,bound_fixed,12.0,5,0,0.25,-0.25,False,3,False
bd14297e6f34d6705898,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W010,bound_fixed,12.0,5,0,0.25,-0.25,False,3,False
a3e7b70ed81a76c41c0f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W027,bound_fixed,12.0,5,0,0.25,-0.25,False,3,False
98fc2a900301cecb1f95,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W028,bound_fixed,12.0,5,0,0.25,-0.25,False,3,False
d5c88ef7632f0c3ce88f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W030,bound_fixed,12.0,5,1,0.0,1.0,True,0,False
9ba553c8c79977374da6,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W006,split_cyclic,6.0,5,0,0.5,-0.5,False,2,False
bd14297e6f34d6705898,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W010,split_cyclic,6.0,5,0,0.5,-0.5,False,2,False
a3e7b70ed81a76c41c0f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W027,split_cyclic,6.0,5,1,0.25,0.75,False,0,False
98fc2a900301cecb1f95,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W028,split_cyclic,6.0,5,0,0.5,-0.5,False,2,False
d5c88ef7632f0c3ce88f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W030,split_cyclic,6.0,5,1,0.25,0.75,True,0,False
9ba553c8c79977374da6,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W006,split_cyclic,9.0,5,0,0.25,-0.25,False,3,False
bd14297e6f34d6705898,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W010,split_cyclic,9.0,5,0,0.25,-0.25,False,3,False
a3e7b70ed81a76c41c0f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W027,split_cyclic,9.0,5,0,0.25,-0.25,False,3,False
98fc2a900301cecb1f95,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W028,split_cyclic,9.0,5,0,0.25,-0.25,False,3,False
d5c88ef7632f0c3ce88f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W030,split_cyclic,9.0,5,1,0.0,1.0,True,0,False
9ba553c8c79977374da6,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W006,split_cyclic,12.0,5,0,0.25,-0.25,False,3,False
bd14297e6f34d6705898,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W010,split_cyclic,12.0,5,0,0.25,-0.25,False,3,False
a3e7b70ed81a76c41c0f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W027,split_cyclic,12.0,5,0,0.25,-0.25,False,3,False
98fc2a900301cecb1f95,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W028,split_cyclic,12.0,5,0,0.25,-0.25,False,3,False
d5c88ef7632f0c3ce88f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W030,split_cyclic,12.0,5,1,0.0,1.0,True,0,False
9ba553c8c79977374da6,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W006,bound_cyclic,6.0,5,0,0.5,-0.5,False,2,False
bd14297e6f34d6705898,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W010,bound_cyclic,6.0,5,0,0.5,-0.5,False,2,False
a3e7b70ed81a76c41c0f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W027,bound_cyclic,6.0,5,1,0.25,0.75,False,0,False
98fc2a900301cecb1f95,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W028,bound_cyclic,6.0,5,0,0.5,-0.5,False,2,False
d5c88ef7632f0c3ce88f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W030,bound_cyclic,6.0,5,1,0.25,0.75,True,0,False
9ba553c8c79977374da6,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W006,bound_cyclic,9.0,5,0,0.25,-0.25,False,3,False
bd14297e6f34d6705898,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W010,bound_cyclic,9.0,5,0,0.25,-0.25,False,3,False
a3e7b70ed81a76c41c0f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W027,bound_cyclic,9.0,5,0,0.25,-0.25,False,3,False
98fc2a900301cecb1f95,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W028,bound_cyclic,9.0,5,0,0.25,-0.25,False,3,False
d5c88ef7632f0c3ce88f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W030,bound_cyclic,9.0,5,1,0.0,1.0,True,0,False
9ba553c8c79977374da6,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W006,bound_cyclic,12.0,5,0,0.25,-0.25,False,3,False
bd14297e6f34d6705898,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W010,bound_cyclic,12.0,5,0,0.25,-0.25,False,3,False
a3e7b70ed81a76c41c0f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W027,bound_cyclic,12.0,5,0,0.25,-0.25,False,3,False
98fc2a900301cecb1f95,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W028,bound_cyclic,12.0,5,0,0.25,-0.25,False,3,False
d5c88ef7632f0c3ce88f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W030,bound_cyclic,12.0,5,1,0.0,1.0,True,0,False
9ba553c8c79977374da6,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W006,split_free,6.0,5,0,0.5,-0.5,False,2,False
bd14297e6f34d6705898,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W010,split_free,6.0,5,0,0.5,-0.5,False,2,False
a3e7b70ed81a76c41c0f,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W027,split_free,6.0,5,1,0.25,0.75,False,0,False
98fc2a900301cecb1f95,7y3sRwLe3Va-03,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual,C1,W028,split_free,6.0,5,0,0.5,-0.5,False,2,False
